excel_col,period_index,operating_period_index,cf_r69_actual_cfads_keur,macro_r49_cfads_keur,macro_r49_formula,macro_r50_sizing_cfads_keur,macro_r50_is_hardcoded,cf_r69_minus_r50_delta_keur,ds_r19_target_dscr,ds_r20_debt_service_capacity_keur,ds_r20_formula,classification,notes
G,1,0,0.0,0.0,=CF!G69,0.0,True,0.0,1.2,0.0,=(G17/G19+SUM(CF!G73:G73))*G9*$B20,PPA/Contracted,construction period
H,2,1,3070.1758,3070.1758,=CF!H69,2539.6337,True,530.5422,1.2,2116.3614,=(H17/H19+SUM(CF!H73:H73))*H9*$B20,PPA/Contracted,
I,3,1,3121.0627,3121.0627,=CF!I69,2581.727,True,539.3357,1.2,2151.4392,=(I17/I19+SUM(CF!I73:I73))*I9*$B20,PPA/Contracted,
J,4,2,3111.6498,3111.6498,=CF!J69,2573.6301,True,538.0197,1.2,2144.6917,=(J17/J19+SUM(CF!J73:J73))*J9*$B20,PPA/Contracted,
K,5,2,3163.2241,3163.2241,=CF!K69,2616.2869,True,546.9372,1.2,2180.2391,=(K17/K19+SUM(CF!K73:K73))*K9*$B20,PPA/Contracted,
L,6,3,3121.1366,3121.1366,=CF!L69,2573.8969,True,547.2397,1.2,2144.9141,=(L17/L19+SUM(CF!L73:L73))*L9*$B20,PPA/Contracted,
M,7,3,3155.4348,3155.4348,=CF!M69,2602.1815,True,553.2533,1.2,2168.4845,=(M17/M19+SUM(CF!M73:M73))*M9*$B20,PPA/Contracted,
N,8,4,3156.8324,3156.8324,=CF!N69,2603.1732,True,553.6592,1.2,2169.311,=(N17/N19+SUM(CF!N73:N73))*N9*$B20,PPA/Contracted,
O,9,4,3209.1556,3209.1556,=CF!O69,2646.3197,True,562.8359,1.2,2205.2664,=(O17/O19+SUM(CF!O73:O73))*O9*$B20,PPA/Contracted,
P,10,5,3194.7767,3194.7767,=CF!P69,2633.9749,True,560.8017,1.2,2194.9791,=(P17/P19+SUM(CF!P73:P73))*P9*$B20,PPA/Contracted,
Q,11,5,3247.7288,3247.7288,=CF!Q69,2677.632,True,570.0968,1.2,2231.36,=(Q17/Q19+SUM(CF!Q73:Q73))*Q9*$B20,PPA/Contracted,
R,12,6,3200.0232,3200.0232,=CF!R69,2627.9016,True,572.1216,1.2,2189.918,=(R17/R19+SUM(CF!R73:R73))*R9*$B20,PPA/Contracted,
S,13,6,3253.0622,3253.0622,=CF!S69,2671.4579,True,581.6043,1.2,2226.2149,=(S17/S19+SUM(CF!S73:S73))*S9*$B20,PPA/Contracted,
T,14,7,3276.6068,3276.6068,=CF!T69,2691.7722,True,584.8346,1.2,2243.1435,=(T17/T19+SUM(CF!T73:T73))*T9*$B20,PPA/Contracted,
U,15,7,3312.6135,3312.6135,=CF!U69,2721.3522,True,591.2614,1.2,2267.7935,=(U17/U19+SUM(CF!U73:U73))*U9*$B20,PPA/Contracted,
V,16,8,3340.2197,3340.2197,=CF!V69,2745.1896,True,595.0301,1.2,2287.658,=(V17/V19+SUM(CF!V73:V73))*V9*$B20,PPA/Contracted,
W,17,8,3395.5825,3395.5825,=CF!W69,2790.69,True,604.8924,1.2,2325.575,=(W17/W19+SUM(CF!W73:W73))*W9*$B20,PPA/Contracted,
X,18,9,3418.1201,3418.1201,=CF!X69,2810.5474,True,607.5727,1.2,2342.1228,=(X17/X19+SUM(CF!X73:X73))*X9*$B20,PPA/Contracted,
Y,19,9,3474.774,3474.774,=CF!Y69,2857.1311,True,617.643,1.2,2380.9426,=(Y17/Y19+SUM(CF!Y73:Y73))*Y9*$B20,PPA/Contracted,
Z,20,10,3494.0372,3494.0372,=CF!Z69,2874.1337,True,619.9036,1.2,2395.1114,=(Z17/Z19+SUM(CF!Z73:Z73))*Z9*$B20,PPA/Contracted,
AA,21,10,3551.9495,3551.9495,=CF!AA69,2921.7713,True,630.1782,1.2,2434.8094,=(AA17/AA19+SUM(CF!AA73:AA73))*AA9*$B20,PPA/Contracted,
AB,22,11,3556.8298,3556.8298,=CF!AB69,2923.0465,True,633.7833,1.2,2435.8721,=(AB17/AB19+SUM(CF!AB73:AB73))*AB9*$B20,PPA/Contracted,
AC,23,11,3595.9158,3595.9158,=CF!AC69,2955.1679,True,640.7479,1.2,2462.6399,=(AC17/AC19+SUM(CF!AC73:AC73))*AC9*$B20,PPA/Contracted,
