field,current_runtime_owner,future_runtime_owner,audit_or_runtime,transition_phase,upstream_dependency,downstream_dependency,fallback_allowed,hidden_coupling_risk,current_status,notes
distribution_keur,WaterfallEngine,DistributionAccount (alias),runtime,A→C,cf_after_reserves, Sponsor/HoldCo,HIGH,"If both WE and DA produce values simultaneously, dual ownership risk","AUTHORITATIVE (Phase A)","Single runtime source now — must transition cleanly to DA"
equity_distribution_paid_keur,DistributionAccountEngine (audit),DistributionAccountEngine (runtime),audit,A→C,"cash_for_dist, gate results",distribution_keur alias,NO,"If WE still authoritative during transition, two sources exist","AUDIT ONLY (Phase A)",Gate-driven now (PR #144), becomes authoritative in Phase C
equity_distribution_candidate_keur,DistributionAccountEngine (audit),DistributionAccountEngine (audit),audit,A,post_shl_cash,equity_paid calc,NO,None,"AUDIT ONLY","Theoretical max — audit only, never runtime authoritative"
cash_swept_to_shl_keur,DistributionAccountEngine (audit),DistributionAccountEngine (audit),audit,A,gate results,SHL r102_candidate,N/A,"SHL port unconnected","AUDIT ONLY","Not wired to SHL in this branch"
r99_gate_result,DistributionAccountEngine (audit),DistributionAccountEngine (audit),audit,A,actual_dscr,distribution decision,N/A,"Always BLOCKED in audit-only","AUDIT ONLY","R99 not promoted — gate audit only"
r102_gate_result,DistributionAccountEngine (audit),DistributionAccountEngine (audit),audit,A,actual_dscr,SHL sweep,NO,"Always BLOCKED in audit-only","AUDIT ONLY","R102 not promoted — gate audit only"
dscr_gate_result,DistributionAccountEngine (audit),DistributionAccountEngine (audit),audit,A,actual_dscr,equity_paid gate,NO,None,"AUDIT ONLY","Operational gate — DSCR check"
lockup_gate_result,DistributionAccountEngine (audit),DistributionAccountEngine (audit),audit,A,period_index+reserves,equity_paid gate,NO,None,"AUDIT ONLY","Operational gate — lockup check"
cash_gate_result,DistributionAccountEngine (audit),DistributionAccountEngine (audit),audit,A,cash_available,equity_paid gate,NO,None,"AUDIT ONLY","Operational gate — cash check"
r99_fcf_for_distribution_keur,R99InputResult (audit),R99InputResult (audit),audit,A,actual_cfads,R99 gate input,NO,"Excel comparison only","AUDIT ONLY","Audit benchmark — not runtime"
r102_fcf_for_shl_keur,R102InputResult (audit),R102InputResult (audit),audit,A,actual_cfads,R102 gate input,NO,"Excel comparison only","AUDIT ONLY","Audit benchmark — not runtime"
distribution_account_r102_sweep_candidate_keur,ShlEngine (port,unconnected),DistributionAccountEngine (output),audit,A,DA gate results,SHL available cash,NO,"Port exists but never wired in waterfall_core","UNCONNECTED","SHL input port — needs Phase B/C wiring"
Sponsor.allocated_per_sponsor_keur,SponsorWaterfallTier (adapter),SponsorWaterfallTier (adapter),runtime,A→C,distribution_keur,LP/GP capital accounts,NO,"If WE and DA produce different values, ambiguity","DERIVED (Phase A)","Tuple derived from distribution_keur — needs Phase C transition"
HoldCo.spv_distribution_keur,HoldCoRunner (adapter),HoldCoRunner (adapter),runtime,A,distribution_keur,HoldCo overlay,NO,None,"ADAPTER (Phase A)","HOLDCO_SAFE — overlay already runtime"
cf_after_tax,TaxEngine (runtime),TaxEngine (runtime),runtime,STATIC,cf_after_reserves - tax,actual_cfads,NO,None,"RUNTIME (STATIC)","Unaffected by DA transition"
actual_dscr,WaterfallEngine (runtime),WaterfallEngine (runtime),runtime,STATIC,ebitda,DA gate inputs,NO,None,"RUNTIME (STATIC)","Unaffected by DA transition"
closing_distribution_account_balance_keur,DistributionAccountEngine (audit),DistributionAccountEngine (audit),audit,A,opening+retained+dsra_topup,audit only,NO,None,"AUDIT ONLY","Balance tracking — audit only"
