period,date,calibrated_reference_cashflow_keur,shl_plus_dividends_cashflow_keur,delta_keur,cumulative_delta_keur,distribution_keur,shl_interest_keur,shl_principal_keur,shl_pik_keur,wht_keur,investment_or_injection_keur,notes
2,2030-06-30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-33203.69,initial_investment
3,2030-12-31,0.00,1307.36,1307.36,1307.36,0.00,1307.36,1813.72,0.00,0.00,0.00,shi_phase
4,2031-06-30,0.00,1214.72,1214.72,2522.08,0.00,1214.72,1890.65,0.00,0.00,0.00,shi_phase
5,2031-12-31,0.00,1159.27,1159.27,3681.35,0.00,1159.27,1997.57,0.00,0.00,0.00,shi_phase
6,2032-06-30,0.00,1064.77,1064.77,4746.12,0.00,1064.77,2085.66,0.00,0.00,0.00,shi_phase
7,2032-12-31,0.00,993.32,993.32,5739.44,0.00,993.32,2191.73,0.00,0.00,0.00,shi_phase
8,2033-06-30,0.00,893.61,893.61,6633.06,0.00,893.61,2285.60,0.00,0.00,0.00,shi_phase
9,2033-12-31,0.00,817.06,817.06,7450.12,0.00,817.06,2414.85,0.00,0.00,0.00,shi_phase
10,2034-06-30,0.00,708.77,708.77,8158.89,0.00,708.77,2501.27,0.00,0.00,0.00,shi_phase
11,2034-12-31,0.00,620.53,620.53,8779.42,0.00,620.53,2642.72,0.00,0.00,0.00,shi_phase
12,2035-06-30,0.00,506.49,506.49,9285.91,0.00,506.49,2765.72,0.00,0.00,0.00,shi_phase
13,2035-12-31,0.00,404.32,404.32,9690.23,0.00,404.32,2922.12,0.00,0.00,0.00,shi_phase
14,2036-06-30,0.00,283.61,283.61,9973.84,0.00,283.61,3057.62,0.00,0.00,0.00,shi_phase
15,2036-12-31,0.00,164.83,164.83,10138.67,2993.79,164.83,2993.79,0.00,0.00,0.00,shi_phase
16,2037-06-30,0.00,3351.73,3351.73,13490.40,3351.73,44.86,1140.66,0.00,0.00,0.00,dist_phase
17,2037-12-31,0.00,3226.38,3226.38,16716.79,3226.38,0.00,0.00,0.00,0.00,0.00,dist_phase
18,2038-06-30,0.00,3466.06,3466.06,20182.85,3466.06,0.00,0.00,0.00,0.00,0.00,dist_phase
19,2038-12-31,0.00,3289.95,3289.95,23472.80,3289.95,0.00,0.00,0.00,0.00,0.00,dist_phase
20,2039-06-30,0.00,3533.18,3533.18,27005.98,3533.18,0.00,0.00,0.00,0.00,0.00,dist_phase
21,2039-12-31,0.00,3351.36,3351.36,30357.33,3351.36,0.00,0.00,0.00,0.00,0.00,dist_phase
22,2040-06-30,0.00,3607.95,3607.95,33965.29,3607.95,0.00,0.00,0.00,0.00,0.00,dist_phase
23,2040-12-31,0.00,3401.30,3401.30,37366.59,3401.30,0.00,0.00,0.00,0.00,0.00,dist_phase
24,2041-06-30,0.00,3667.64,3667.64,41034.22,3667.64,0.00,0.00,0.00,0.00,0.00,dist_phase
25,2041-12-31,0.00,3474.37,3474.37,44508.59,3474.37,0.00,0.00,0.00,0.00,0.00,dist_phase
26,2042-06-30,0.00,6140.28,6140.28,50648.88,6140.28,0.00,0.00,0.00,0.00,0.00,dist_phase
27,2042-12-31,0.00,5736.64,5736.64,56385.52,5736.64,0.00,0.00,0.00,0.00,0.00,dist_phase
28,2043-06-30,0.00,6115.46,6115.46,62500.97,6115.46,0.00,0.00,0.00,0.00,0.00,dist_phase
29,2043-12-31,0.00,5713.92,5713.92,68214.90,5713.92,0.00,0.00,0.00,0.00,0.00,dist_phase
30,2044-06-30,0.00,6187.85,6187.85,74402.74,6187.85,0.00,0.00,0.00,0.00,0.00,dist_phase
31,2044-12-31,0.00,5748.72,5748.72,80151.47,5748.72,0.00,0.00,0.00,0.00,0.00,dist_phase
32,2045-06-30,0.00,6221.79,6221.79,86373.26,6221.79,0.00,0.00,0.00,0.00,0.00,dist_phase
33,2045-12-31,0.00,5811.21,5811.21,92184.46,5811.21,0.00,0.00,0.00,0.00,0.00,dist_phase
34,2046-06-30,0.00,6419.49,6419.49,98603.95,6419.49,0.00,0.00,0.00,0.00,0.00,dist_phase
35,2046-12-31,0.00,5992.09,5992.09,104596.04,5992.09,0.00,0.00,0.00,0.00,0.00,dist_phase
36,2047-06-30,0.00,6570.29,6570.29,111166.32,6570.29,0.00,0.00,0.00,0.00,0.00,dist_phase
37,2047-12-31,0.00,6130.06,6130.06,117296.38,6130.06,0.00,0.00,0.00,0.00,0.00,dist_phase
38,2048-06-30,0.00,6735.89,6735.89,124032.27,6735.89,0.00,0.00,0.00,0.00,0.00,dist_phase
39,2048-12-31,0.00,6247.38,6247.38,130279.65,6247.38,0.00,0.00,0.00,0.00,0.00,dist_phase
40,2049-06-30,0.00,6868.64,6868.64,137148.29,6868.64,0.00,0.00,0.00,0.00,0.00,dist_phase
41,2049-12-31,0.00,6403.02,6403.02,143551.31,6403.02,0.00,0.00,0.00,0.00,0.00,dist_phase
42,2050-06-30,0.00,7018.60,7018.60,150569.92,7018.60,0.00,0.00,0.00,0.00,0.00,dist_phase
43,2050-12-31,0.00,6540.23,6540.23,157110.14,6540.23,0.00,0.00,0.00,0.00,0.00,dist_phase
44,2051-06-30,0.00,7168.19,7168.19,164278.33,7168.19,0.00,0.00,0.00,0.00,0.00,dist_phase
45,2051-12-31,0.00,6677.09,6677.09,170955.41,6677.09,0.00,0.00,0.00,0.00,0.00,dist_phase
46,2052-06-30,0.00,7375.59,7375.59,178331.00,7375.59,0.00,0.00,0.00,0.00,0.00,dist_phase
47,2052-12-31,0.00,6829.44,6829.44,185160.44,6829.44,0.00,0.00,0.00,0.00,0.00,dist_phase
48,2053-06-30,0.00,7485.20,7485.20,192645.64,7485.20,0.00,0.00,0.00,0.00,0.00,dist_phase
49,2053-12-31,0.00,6967.13,6967.13,199612.77,6967.13,0.00,0.00,0.00,0.00,0.00,dist_phase
50,2054-06-30,0.00,7616.44,7616.44,207229.21,7616.44,0.00,0.00,0.00,0.00,0.00,dist_phase
51,2054-12-31,0.00,7087.20,7087.20,214316.41,7087.20,0.00,0.00,0.00,0.00,0.00,dist_phase
52,2055-06-30,0.00,7804.73,7804.73,222121.14,7804.73,0.00,0.00,0.00,0.00,0.00,dist_phase
53,2055-12-31,0.00,7259.47,7259.47,229380.61,7259.47,0.00,0.00,0.00,0.00,0.00,dist_phase
54,2056-06-30,0.00,7951.81,7951.81,237332.41,7951.81,0.00,0.00,0.00,0.00,0.00,dist_phase
55,2056-12-31,0.00,7353.73,7353.73,244686.15,7353.73,0.00,0.00,0.00,0.00,0.00,dist_phase
56,2057-06-30,0.00,8017.06,8017.06,252703.21,8017.06,0.00,0.00,0.00,0.00,0.00,dist_phase
57,2057-12-31,0.00,7453.74,7453.74,260156.95,7453.74,0.00,0.00,0.00,0.00,0.00,dist_phase
58,2058-06-30,0.00,8093.73,8093.73,268250.68,8093.73,0.00,0.00,0.00,0.00,0.00,dist_phase
59,2058-12-31,0.00,7523.88,7523.88,275774.55,7523.88,0.00,0.00,0.00,0.00,0.00,dist_phase
60,2059-06-30,0.00,8114.09,8114.09,283888.64,8114.09,0.00,0.00,0.00,0.00,0.00,dist_phase
61,2059-12-31,0.00,7542.51,7542.51,291431.15,7542.51,0.00,0.00,0.00,0.00,0.00,dist_phase
62,2060-01-01,0.00,56.12,56.12,291487.27,56.12,0.00,0.00,0.00,0.00,0.00,dist_phase
