period,date,legacy_distribution_keur,da_distribution_keur,delta_keur,actual_dscr,target_dscr,lockup_within_senior_tenor,lockup_details,cash_available_keur,senior_tenor_years,period_index,shl_balance_keur,senior_balance_keur
2,2030-06-30,3070.19,0.0,-3070.19,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3070.19,14,0,0.0,0.0
3,2030-12-31,3121.08,0.0,-3121.08,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3121.08,14,1,0.0,0.0
4,2031-06-30,3105.37,0.0,-3105.37,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3105.37,14,2,0.0,0.0
5,2031-12-31,3156.84,0.0,-3156.84,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3156.84,14,3,0.0,0.0
6,2032-06-30,3150.43,0.0,-3150.43,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3150.43,14,4,0.0,0.0
7,2032-12-31,3185.05,0.0,-3185.05,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3185.05,14,5,0.0,0.0
8,2033-06-30,3179.22,0.0,-3179.22,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3179.22,14,6,0.0,0.0
9,2033-12-31,3231.91,0.0,-3231.91,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3231.91,14,7,0.0,0.0
10,2034-06-30,3210.04,0.0,-3210.04,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3210.04,14,8,0.0,0.0
11,2034-12-31,3263.25,0.0,-3263.25,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3263.25,14,9,0.0,0.0
12,2035-06-30,3272.21,0.0,-3272.21,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3272.21,14,10,0.0,0.0
13,2035-12-31,3326.44,0.0,-3326.44,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3326.44,14,11,0.0,0.0
14,2036-06-30,3341.23,0.0,-3341.23,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3341.23,14,12,0.0,0.0
15,2036-12-31,3158.61,3158.61,0.0,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3158.61,14,13,0.0,0.0
16,2037-06-30,3396.59,3396.59,0.0,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3396.59,14,14,0.0,0.0
17,2037-12-31,3226.38,3226.38,0.0,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3226.38,14,15,0.0,0.0
18,2038-06-30,3466.06,3466.06,0.0,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3466.06,14,16,0.0,0.0
19,2038-12-31,3289.95,3289.95,0.0,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3289.95,14,17,0.0,0.0
20,2039-06-30,3533.18,3533.18,0.0,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3533.18,14,18,0.0,0.0
21,2039-12-31,3351.36,3351.36,0.0,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3351.36,14,19,0.0,0.0
22,2040-06-30,3607.95,3607.95,0.0,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3607.95,14,20,0.0,0.0
