module,runtime_capable,default_off,runtime_override,audit_only,source_of_truth,downstream_impacts,validation_status,promotion_status,notes
domain/shl/canonical_wiring.py,TRUE,TRUE,SHL-specific fields (total_shl_balance_keur, _canonical_shl_wiring),TRUE,legacy waterfall SHL path,SHL balance,PIK,SHL sweep cash cap,VALIDATED,STABLE,Post-processing adapter; runs after waterfall; does not affect FCF
domain/shl/runtime_adapter.py,TRUE,TRUE,SHL-specific fields (same as canonical_wiring),TRUE,legacy waterfall SHL path,SHL balance,PIK,SHL sweep,VALIDATED,STABLE,Legacy SHL adapter path; orthogonal to canonical_wiring
domain/depreciation/canonical_wiring.py,TRUE,TRUE,depreciation_keur, tax_depreciation_audit_keur (audit fields only),TRUE,legacy CapexItem depreciation path,CIT (TaxBridge owns via fixture),VALIDATED,STABLE,NOT CIT source; canonical DepreciationEngine overrides book/tax depreciation as audit only; TaxBridge owns CIT computation path
domain/tax/tuho_tax_bridge_runtime.py,TRUE,TRUE,CIT cash tax (TUHO only),FALSE,TaxBridge fixture ledger,CIT, cash tax, distributions (indirect),VALIDATED,STABLE,TUHO-only; uses own independent depreciation ledger; Oborovo blocked
domain/senior_debt_sizing/canonical_wiring.py,FALSE (audit only),TRUE,NONE — audit/diagnostic output,TRUE,legacy waterfall (ebitda*(1-tax) proxy),None — not wired to runtime,VALIDATED,BLOCKED_AUDIT_ONLY,Current wiring is audit-only; does NOT override senior debt, DSCR, or distributions; sizing_cfads is proxy; Macro!R50 not yet wired
domain/senior_debt_sizing/engine.py,FALSE (isolated),TRUE,NONE,TRUE,isolated,None,ISOLATED,NOT_WIRED,Standalone canonical engine; input to canonical_wiring.py; not connected to waterfall_core directly
domain/distribution_account/engine.py,FALSE (audit stub),TRUE,NONE,TRUE,legacy waterfall R99/R102 computation,None — not wired to runtime,ISOLATED,BLOCKED_AUDIT_ONLY,Audit stub computing R99/R102; no DistributionAccount class exists; no equity distribution output; no SHL sweep routing; BLOCKED
domain/distribution_account/result.py,FALSE (dataclass),TRUE,NONE,TRUE,N/A,N/A,ISOLATED,BLOCKED_AUDIT_ONLY,R99InputResult dataclass; only holds audit values; not connected to waterfall
domain/waterfall/waterfall_engine.py,TRUE,FALSE (default path),senior debt sculpting (dscr_sculpt),FALSE,closed_form_sculpt() with ebitda*(1-tax),senior debt, debt service, DSCR,VALIDATED,STABLE,Source of truth for senior debt; cross-module validation confirms stable; debt sizing uses proxy CFADS
domain/depreciation/engine.py,ISOLATED,FALSE,None,ISOLATED,isolated offline only,None,ISOLATED,NOT_WIRED,Canonical DepreciationEngine; isolated offline computation; input to canonical_wiring.py
domain/tax/tax_bridge.py,ISOLATED,FALSE,None,ISOLATED,isolated,None,ISOLATED,NOT_WIRED,TaxBridge isolated offline module; input to tuho_tax_bridge_runtime.py
app/waterfall_core.py,FALSE (orchestrator),FALSE (orchestrator),orchestrates all adapters,FALSE,runs waterfall then applies adapters in order,senior debt, SHL, depreciation, tax,ISOLATED,STABLE,Runs legacy waterfall then calls adapters; order: waterfall → TaxBridge → canonical adapters; no new runtime ownership
app/waterfall_runner.py,FALSE (config),FALSE (config),config propagation,FALSE,builds WaterfallRunConfig from inputs,propagates flags to waterfall_core,ISOLATED,STABLE,Flag propagation only; no direct runtime ownership
domain/inputs.py (ProjectInfo flags),FALSE (metadata),MIXED,None,FALSE,N/A,flags only,ISOLATED,STABLE,Stores flag defaults; flag behavior determined by waterfall_core wiring
domain/shl/engine.py,ISOLATED,FALSE,None,ISOLATED,isolated,None,ISOLATED,NOT_WIRED,SHL engine; called by legacy path; canonical wiring overrides output fields post-waterfall
domain/shl/result.py,FALSE (dataclass),FALSE,None,FALSE,N/A,N/A,ISOLATED,STABLE,ShlEngineResult dataclass; legacy output format
domain/distribution_account/,STUB_ONLY,TRUE,NONE,TRUE,audit only,R99/R102 audit fields,ISOLATED,BLOCKED_AUDIT_ONLY,No DistributionAccount class; R99/R102 BLOCKED pending DistributionAccount implementation
R99 audit field (WaterfallPeriod),FALSE,FALSE,NONE,TRUE,domain/distribution_account/engine,None (audit only),ISOLATED,BLOCKED_AUDIT_ONLY,r99_fcf_for_distribution_keur in WaterfallPeriod; computed but not wired to any router
R102 audit field (WaterfallPeriod),FALSE,FALSE,NONE,TRUE,domain/distribution_account/engine,None (audit only),ISOLATED,BLOCKED_AUDIT_ONLY,r102_fcf_for_shl_keur in WaterfallPeriod; computed but not wired to SHL sweep
sizing_cfads (current proxy),TRUE (proxy),FALSE,None,FALSE,legacy ebitda*(1-tax) formula,debt sizing (indirect),VALIDATED,PROXY_ONLY,sizing_cfads currently derived from ebitda*(1-tax); NOT from Macro!R50; Macro!R50 wiring is FUTURE_WORK
sizing_cfads (future: Macro!R50),FUTURE,FUTURE,NONE,FUTURE,Macro!R50 Excel cell (future),debt sizing (future),NOT_STARTED,FUTURE_WORK,Macro!R50 explicit sizing CFADS per period; required before SeniorDebtSizing becomes calibration reference; orthogonal to R99/R102
actual_cfads (CF!R69),TRUE,FALSE,None,FALSE,full model run (CF!R69),debt sizing,VALIDATED,STABLE,Computed from full model; CF!R69 = actual_cfads; kept separate from sizing_cfads invariant
