category,metric,row_type,source,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,total,notes
Revenue,Electricity Revenue,Excel,result.periods[i].revenue_keur,4061.0,4128.3,4118.2,4186.5,4188.8,4234.8,4237.9,4308.2,4292.6,4363.8,4379.3,4451.8,4476.6,4525.8,4554.6,4630.1,4650.6,4727.7,4745.0,4823.6,4851.2,4904.5,4936.3,5018.1,7438.6,7561.9,7444.2,7567.6,7551.8,7634.7,7614.2,7740.4,7845.1,7975.1,8030.1,8163.2,8235.1,8325.6,8400.0,8539.2,8587.4,8729.7,8775.6,8921.0,9027.3,9126.5,9173.4,9325.4,9346.9,9501.9,9578.9,9737.7,9776.2,9883.6,9883.0,10046.8,10007.8,10173.6,10077.9,10244.9,423787.5,
Revenue,Electricity Revenue,Python,result.periods[i].revenue_keur,4061.0,4128.3,4118.2,4186.5,4188.8,4234.8,4237.9,4308.2,4292.6,4363.8,4379.3,4451.8,4476.6,4525.8,4554.6,4630.1,4650.6,4727.7,4745.0,4823.6,4851.2,4904.5,4936.3,5018.1,7438.6,7561.9,7444.2,7567.6,7551.8,7634.7,7614.2,7740.4,7845.1,7975.1,8030.1,8163.2,8235.1,8325.6,8400.0,8539.2,8587.4,8729.7,8775.6,8921.0,9027.3,9126.5,9173.4,9325.4,9346.9,9501.9,9578.9,9737.7,9776.2,9883.6,9883.0,10046.8,10007.8,10173.6,10077.9,10244.9,423787.5,
Revenue,Electricity Revenue,Delta,result.periods[i].revenue_keur,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
OPEX,Total OPEX,Excel,result.periods[i].opex_keur,990.8,1007.2,1006.6,1023.3,1067.7,1079.4,1081.1,1099.0,1097.8,1116.0,1179.2,1198.8,1200.0,1213.1,1214.4,1234.5,1232.5,1252.9,1251.0,1271.7,1294.4,1308.6,1310.0,1331.8,1329.6,1351.7,1349.6,1372.0,1359.9,1374.9,1401.9,1425.1,1422.8,1446.4,1444.2,1468.1,1470.0,1486.2,1488.2,1512.8,1552.9,1578.6,1576.0,1602.1,1604.0,1621.6,1623.6,1650.5,1648.1,1675.4,1711.0,1739.3,1741.3,1760.5,1762.5,1791.7,1789.1,1818.7,1816.1,1846.3,84674.8,
OPEX,Total OPEX,Python,result.periods[i].opex_keur,990.8,1007.2,1012.9,1029.6,1038.4,1049.8,1058.7,1076.3,1082.6,1100.5,1107.0,1125.4,1135.3,1147.8,1158.0,1177.2,1184.5,1204.2,1211.8,1231.9,1243.3,1256.9,1268.7,1289.7,1298.3,1319.8,1328.8,1350.8,1363.9,1378.9,1392.4,1415.5,1425.6,1449.3,1459.8,1484.0,1499.2,1515.7,1531.4,1556.8,1568.8,1594.8,1607.4,1634.0,1651.7,1669.9,1688.2,1716.1,1730.5,1759.2,1774.2,1803.6,1824.4,1844.4,1865.9,1896.8,1914.0,1945.7,1963.8,1996.3,85408.3,
OPEX,Total OPEX,Delta,result.periods[i].opex_keur,-0.0,-0.0,6.3,6.4,-29.3,-29.6,-22.4,-22.8,-15.3,-15.5,-72.2,-73.4,-64.6,-65.3,-56.4,-57.3,-47.9,-48.7,-39.1,-39.8,-51.1,-51.7,-41.4,-42.1,-31.3,-31.9,-20.9,-21.2,4.0,4.0,-9.5,-9.7,2.8,2.8,15.7,15.9,29.2,29.5,43.2,43.9,15.9,16.2,31.4,31.9,47.7,48.2,64.6,65.6,82.4,83.7,63.2,64.2,83.0,83.9,103.4,105.1,125.0,127.0,147.6,150.1,2754.2,
EBITDA,EBITDA,Excel,result.periods[i].ebitda_keur,3070.2,3121.1,3111.6,3163.2,3121.1,3155.4,3156.8,3209.2,3194.8,3247.7,3200.0,3253.1,3276.6,3312.6,3340.2,3395.6,3418.1,3474.8,3494.0,3551.9,3556.8,3595.9,3626.3,3686.4,6108.9,6210.2,6094.6,6195.6,6191.8,6259.9,6212.3,6315.3,6422.3,6528.7,6585.9,6695.1,6765.1,6839.4,6911.8,7026.4,7034.5,7151.1,7199.6,7318.9,7423.3,7504.9,7549.8,7674.9,7698.8,7826.4,7867.9,7998.3,8034.8,8123.1,8120.4,8255.0,8218.7,8354.9,8261.7,8398.6,339112.7,
EBITDA,EBITDA,Python,result.periods[i].ebitda_keur,3070.2,3121.1,3105.4,3156.8,3150.4,3185.1,3179.2,3231.9,3210.0,3263.2,3272.2,3326.4,3341.2,3377.9,3396.6,3452.9,3466.1,3523.5,3533.2,3591.7,3608.0,3647.6,3667.6,3728.4,6140.3,6242.1,6115.5,6216.8,6187.8,6255.8,6221.8,6324.9,6419.5,6525.9,6570.3,6679.2,6735.9,6809.9,6868.6,6982.5,7018.6,7134.9,7168.2,7287.0,7375.6,7456.6,7485.2,7609.3,7616.4,7742.7,7804.7,7934.1,7951.8,8039.2,8017.1,8149.9,8093.7,8227.9,8114.1,8248.6,338379.2,
EBITDA,EBITDA,Delta,result.periods[i].ebitda_keur,0.0,0.0,-6.3,-6.4,29.3,29.6,22.4,22.8,15.3,15.5,72.2,73.4,64.6,65.3,56.4,57.3,47.9,48.7,39.1,39.8,51.1,51.7,41.4,42.1,31.3,31.9,20.9,21.2,-4.0,-4.0,9.5,9.7,-2.8,-2.8,-15.7,-15.9,-29.2,-29.5,-43.2,-43.9,-15.9,-16.2,-31.4,-31.9,-47.7,-48.2,-64.6,-65.6,-82.4,-83.7,-63.2,-64.2,-83.0,-83.9,-103.4,-105.1,-125.0,-127.0,-147.6,-150.1,2754.2,
Free Cash Flow,FCF for Banks,Excel,result.periods[i].cf_after_tax_keur,3070.2,3121.1,3111.6,3163.2,3121.1,3155.4,3156.8,3209.2,3194.8,3247.7,3200.0,3253.1,3276.6,3312.6,3340.2,3395.6,3418.1,3474.8,3494.0,3551.9,3556.8,3595.9,3626.3,3686.4,6108.9,6090.0,6094.6,5240.4,6191.8,5175.3,6212.3,5090.8,6422.3,5092.5,6585.9,5050.2,6765.1,5028.2,6911.8,5155.1,7037.2,4599.5,7202.3,4707.4,7426.0,4819.6,7552.5,4936.2,7701.5,5033.7,7870.7,5144.2,8037.6,5216.5,8123.2,5309.2,8221.4,5373.4,8264.4,5401.6,300926.8,Python uses cf_after_tax_keur as proxy
Free Cash Flow,FCF for Banks,Python,result.periods[i].cf_after_tax_keur,3070.2,3121.1,3105.4,3156.8,3150.4,3185.1,3179.2,3231.9,3210.0,3263.2,3272.2,3326.4,3341.2,3377.9,3396.6,3452.9,3466.1,3523.5,3533.2,3591.7,3608.0,3647.6,3667.6,3728.4,6140.3,4761.5,6115.5,4636.8,6187.8,4549.0,6221.8,4473.2,6419.5,4466.9,6570.3,4416.2,6735.9,4385.5,6868.6,4503.1,7018.6,4601.1,7168.2,4698.9,7375.6,4800.7,7485.2,4906.1,7616.4,4991.9,7804.7,5114.9,7951.8,5174.6,8017.1,5253.7,8093.7,5303.8,8114.1,5317.1,294866.9,Python uses cf_after_tax_keur as proxy
Free Cash Flow,FCF for Banks,Delta,result.periods[i].cf_after_tax_keur,0.0,0.0,-6.3,-6.4,29.3,29.6,22.4,22.8,15.3,15.5,72.2,73.4,64.6,65.3,56.4,57.3,47.9,48.7,39.1,39.8,51.1,51.7,41.4,42.1,31.3,-1328.5,20.9,-603.6,-4.0,-626.3,9.5,-617.5,-2.8,-625.6,-15.7,-634.0,-29.2,-642.7,-43.2,-652.0,-18.6,1.6,-34.1,-8.5,-50.4,-18.9,-67.3,-30.2,-85.1,-41.8,-65.9,-29.3,-85.8,-41.8,-106.1,-55.5,-127.7,-69.6,-150.3,-84.5,7958.5,Python uses cf_after_tax_keur as proxy
Free Cash Flow,FCF for Distribution,Excel,result.periods[i].r98_distribution_accou,953.8,969.6,967.0,983.0,976.2,987.0,987.5,1003.9,999.8,1016.4,1010.1,1026.8,1033.5,1044.8,1052.6,1070.0,1076.0,1093.8,1098.9,1117.1,1121.0,1133.3,1141.8,1160.7,3233.6,3167.0,3265.3,2395.6,6191.8,5175.3,6212.3,5090.8,6422.3,5092.5,6585.9,5050.2,6765.1,5028.2,6911.8,5155.1,7037.2,4599.5,7202.3,4707.4,7426.0,4819.6,7552.5,4936.2,7701.5,5033.7,7870.7,5144.2,8037.6,5216.5,8123.2,5309.2,8221.4,5373.4,8264.4,5401.6,234745.4,
Free Cash Flow,FCF for Distribution,Python,result.periods[i].r98_distribution_accou,1081.1,1099.0,1093.5,1111.6,1109.3,1121.5,1119.5,1138.0,1130.3,1149.1,1152.2,1171.3,1176.5,1189.5,1196.0,1215.8,1220.5,1240.7,1244.1,1264.7,1270.4,1284.4,1291.5,1312.9,2760.6,1325.8,2749.5,1215.0,6187.8,4549.0,6221.8,4473.2,6419.5,4466.9,6570.3,4416.2,6735.9,4385.5,6868.6,4503.1,7018.6,4601.1,7168.2,4698.9,7375.6,4800.7,7485.2,4906.1,7616.4,4991.9,7804.7,5114.9,7951.8,5174.6,8017.1,5253.7,8093.7,5303.8,8114.1,5317.1,229040.5,
Free Cash Flow,FCF for Distribution,Delta,result.periods[i].r98_distribution_accou,127.3,129.4,126.5,128.6,133.1,134.6,132.0,134.1,130.5,132.7,142.1,144.5,143.1,144.6,143.5,145.8,144.5,146.9,145.2,147.6,149.5,151.1,149.7,152.2,-473.0,-1841.2,-515.8,-1180.6,-4.0,-626.3,9.5,-617.5,-2.8,-625.6,-15.7,-634.0,-29.2,-642.7,-43.2,-652.0,-18.6,1.6,-34.1,-8.5,-50.4,-18.9,-67.3,-30.2,-85.1,-41.8,-65.9,-29.3,-85.8,-41.8,-106.1,-55.5,-127.7,-69.6,-150.3,-84.5,12445.2,
Depreciation,Book Depreciation,Excel,result.periods[i].depreciation_keur,1845.4,1876.0,1845.4,1876.0,1850.6,1870.9,1845.4,1876.0,1845.4,1876.0,1845.4,1876.0,1850.6,1870.9,1845.4,1876.0,1845.4,1876.0,1845.4,1876.0,1850.6,1870.9,1845.4,1876.0,1756.5,1785.6,1756.5,1785.6,1761.3,1780.7,1756.5,1785.6,1756.5,1785.6,1756.5,1785.6,1761.3,1780.7,1756.5,1785.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72993.7,
Depreciation,Book Depreciation,Python,result.periods[i].depreciation_keur,1168.5,1187.9,1168.5,1187.9,1171.8,1184.6,1168.5,1187.9,1168.5,1187.9,1168.5,1187.9,1171.8,1184.6,1168.5,1187.9,1168.5,1187.9,1168.5,1187.9,1171.8,1184.6,1168.5,1187.9,1168.5,1187.9,1168.5,1187.9,1171.8,1184.6,1168.5,1187.9,1168.5,1187.9,1168.5,1187.9,1171.8,1184.6,1168.5,1187.9,1168.5,1187.9,1168.5,1187.9,1171.8,1184.6,1168.5,1187.9,1168.5,1187.9,1168.5,1187.9,1171.8,1184.6,1168.5,1187.9,1168.5,1187.9,1168.5,1187.9,70691.5,
Depreciation,Book Depreciation,Delta,result.periods[i].depreciation_keur,-676.9,-688.2,-676.9,-688.2,-678.8,-686.3,-676.9,-688.2,-676.9,-688.2,-676.9,-688.2,-678.8,-686.3,-676.9,-688.2,-676.9,-688.2,-676.9,-688.2,-678.8,-686.3,-676.9,-688.2,-587.9,-597.7,-587.9,-597.7,-589.6,-596.1,-587.9,-597.7,-587.9,-597.7,-587.9,-597.7,-589.6,-596.1,-587.9,-597.7,1168.5,1187.9,1168.5,1187.9,1171.8,1184.6,1168.5,1187.9,1168.5,1187.9,1168.5,1187.9,1171.8,1184.6,1168.5,1187.9,1168.5,1187.9,1168.5,1187.9,49429.9,
Depreciation,Unlevered Depreciation,Excel,N/A,1752.8,1781.8,1752.8,1781.8,1757.6,1776.9,1752.8,1781.8,1752.8,1781.8,1752.8,1781.8,1757.6,1776.9,1752.8,1781.8,1752.8,1781.8,1752.8,1781.8,1757.6,1776.9,1752.8,1781.8,1752.8,1781.8,1752.8,1781.8,1757.6,1776.9,1752.8,1781.8,1752.8,1781.8,1752.8,1781.8,1757.6,1776.9,1752.8,1781.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70691.5,Python does not compute unlevered depreciation separately
Depreciation,Unlevered Depreciation,Python,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Python does not compute unlevered depreciation separately
Depreciation,Unlevered Depreciation,Delta,N/A,-1752.8,-1781.8,-1752.8,-1781.8,-1757.6,-1776.9,-1752.8,-1781.8,-1752.8,-1781.8,-1752.8,-1781.8,-1757.6,-1776.9,-1752.8,-1781.8,-1752.8,-1781.8,-1752.8,-1781.8,-1757.6,-1776.9,-1752.8,-1781.8,-1752.8,-1781.8,-1752.8,-1781.8,-1757.6,-1776.9,-1752.8,-1781.8,-1752.8,-1781.8,-1752.8,-1781.8,-1757.6,-1776.9,-1752.8,-1781.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70691.5,Python does not compute unlevered depreciation separately
Senior Debt,Senior Interest,Excel,result.periods[i].interest_senior_keur,1297.1,1293.7,1246.9,1240.3,1198.5,1182.9,1134.1,1121.5,1070.8,1054.3,1001.9,982.4,934.3,904.8,849.2,819.6,761.1,725.7,664.3,622.7,561.4,510.6,443.9,389.2,318.9,246.5,162.4,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22822.8,
