period,date,excel_shl_balance_keur,model_shl_balance_keur,balance_delta_keur,excel_shl_interest_keur,model_shl_interest_keur,interest_delta_keur,excel_shl_principal_keur,model_shl_principal_keur,principal_delta_keur,excel_pik_keur,model_pik_keur,excel_dividend_keur,model_distribution_keur,dividend_delta_keur,classification,notes
0,2028-06-30,-29135.18,0,-29135.18,0,0,0,-29135.18,0,-29135.18,0,0,-500,0,-500,construction_investment,"t0 construction: excel_bal=-29135, model=N/A"
1,2030-07-01,959.08,30930.2,-29971.11,959.08,1296.7,-337.62,0,1773.49,-1773.49,0,0,0,0,0,principal_timing_gap,"Model repays shp=1773.49, Excel shp=0 (PIK phase)"
2,2031-01-01,969.7,29035.5,-28065.8,969.7,1226.38,-256.69,0,1894.7,-1894.7,0,0,0,0,0,principal_timing_gap,"Model repays shp=1894.70, Excel shp=0 (PIK phase)"
3,2031-07-01,966.96,27081.38,-26114.43,966.96,1151.26,-184.3,0,1954.11,-1954.11,0,0,0,0,0,principal_timing_gap,"Model repays shp=1954.11, Excel shp=0 (PIK phase)"
4,2032-01-01,983.01,24998.32,-24015.31,983.01,1073.78,-90.77,0,2083.06,-2083.06,0,0,0,0,0,principal_timing_gap,"Model repays shp=2083.06, Excel shp=0 (PIK phase)"
5,2032-07-01,976.22,22839.07,-21862.85,976.22,991.18,-14.96,0,2159.25,-2159.25,0,0,0,0,0,principal_timing_gap,"Model repays shp=2159.25, Excel shp=0 (PIK phase)"
6,2033-01-01,987.04,20559.58,-19572.54,987.04,905.57,81.47,0,2279.48,-2279.48,0,0,0,0,0,principal_timing_gap,"Model repays shp=2279.48, Excel shp=0 (PIK phase)"
7,2033-07-01,987.52,18195.55,-17208.03,987.52,815.19,172.33,0,2364.03,-2364.03,0,0,0,0,0,principal_timing_gap,"Model repays shp=2364.03, Excel shp=0 (PIK phase)"
8,2034-01-01,1003.96,15685.1,-14681.14,1003.96,721.45,282.5,0,2510.46,-2510.46,0,0,0,0,0,principal_timing_gap,"Model repays shp=2510.46, Excel shp=0 (PIK phase)"
9,2034-07-01,999.8,13096.97,-12097.17,999.8,621.91,377.88,0,2588.13,-2588.13,0,0,0,0,0,principal_timing_gap,"Model repays shp=2588.13, Excel shp=0 (PIK phase)"
