canonical_field_id,runtime_binding_status,excel_mapping_status,runtime_validation_status,scenario_mapping_status,registry_field_id,snapshot_key,engine_path,registry_excel_hint_tuho,registry_excel_hint_oborovo,verified_tuho_input_cell,verified_oborovo_input_cell,verified_tuho_scenario_cell,verified_tuho_scenario_range,verified_oborovo_scenario_cell,verified_oborovo_scenario_range,test_evidence,test_evidence_scope,adapter_path,adapter_evidence_type,projectinputs_path
registry.project_setup.identity.project_name,RUNTIME_FULLY_BOUND,VERIFIED_BOTH_MODELS,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,project_setup.identity.project_name,project_name,info.name,Inputs!B2,Inputs!B2,D2,D2,,,,,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,app/input_adapter.py::_resolve_user_inputs,INLINE_LOGIC,ProjectInputs.info.name
registry.project_setup.identity.project_type,TEMPLATE_LOCKED,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,project_setup.identity.project_type,project_type,,Inputs!B3,Inputs!B3,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.project_setup.identity.country_market,RUNTIME_PARTIALLY_BOUND,VERIFIED_BOTH_MODELS,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,project_setup.identity.country_market,country_market,info.country_iso,Inputs!B4,Inputs!B4,D5,D5,,,,,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,app/input_adapter.py::_resolve_user_inputs,INLINE_LOGIC,ProjectInputs.info.country_iso
registry.project_setup.identity.currency,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,project_setup.identity.currency,currency,,Inputs!B5,Inputs!B5,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.project_setup.identity.scenario,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,project_setup.identity.scenario,scenario,,,,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.project_setup.technical.capacity_mw,RUNTIME_FULLY_BOUND,VERIFIED_BOTH_MODELS,GENERIC_ROUTE_ONLY,VERIFIED_TUHO_ONLY,project_setup.technical.capacity_mw,capacity_mw,technical.capacity_mw,Inputs!H7,Inputs!H7,D51,D51,E9,G9:L9,,,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,app/input_adapter.py::_set_technical_capacity,EXACT_SYMBOL,ProjectInputs.technical.capacity_mw
registry.project_setup.technical.p50_hours,RUNTIME_FULLY_BOUND,VERIFIED_BOTH_MODELS,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,project_setup.technical.p50_hours,p50_hours,technical.operating_hours_p50,Inputs!H8,Inputs!H8,D67,D64,,,,,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,app/input_adapter.py::_set_technical_p50_hours,EXACT_SYMBOL,ProjectInputs.technical.operating_hours_p50
registry.project_setup.technical.capacity_factor,DISPLAY_ONLY,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,project_setup.technical.capacity_factor,capacity_factor,,,,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.project_setup.technical.cod_date,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,project_setup.technical.cod_date,cod_date,info.cod_date,Inputs!H9,Inputs!H9,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,app/input_adapter.py::_resolve_user_inputs,INLINE_LOGIC,ProjectInputs.info.cod_date
registry.project_setup.technical.construction_months,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,project_setup.technical.construction_months,construction_months,info.construction_months,Inputs!H10,Inputs!H10,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,app/input_adapter.py::_resolve_user_inputs,INLINE_LOGIC,ProjectInputs.info.construction_months
