section,metric,classification,why_unresolved,engineering_work_exists,evidence_missing,governance_decision_required,expected_roadmap_phase,recommended_action,notes
Revenue,CO2 Revenue,MISSING_EVIDENCE,Committed Excel extracts and runtime period fields do not expose CO2 separately.,no,yes,no,Phase 10,Keep as explicit evidence gap or add a dedicated CO2 source map branch.,Do not silently roll this into zero or total revenue.
Revenue,Balancing Revenue,MISSING_EVIDENCE,Balancing remains outside the committed extraction set and runtime summary exports.,no,yes,no,Phase 10,Treat as sub-line follow-up only if stakeholders require separate mapping.,Total revenue remains the authoritative comparable line.
OPEX,Total OPEX,WARN,Known local-tax and minor-row grouping residual from prior calibration review.,no,no,no,Phase 10,Keep grouped unless a dedicated OPEX sub-line evidence branch is requested.,Residual is documented rather than runtime-fixed here.
OPEX,Contingency,RUNTIME_BINDING_PENDING,Contingency is baked into deterministic OPEX logic but not exported as a separate period row.,yes,no,no,Phase 10,Add reporting-only breakout if lenders require contingency visibility.,Do not treat missing breakout as a zero contingency.
Senior Debt,Opening Balance,WARN,The committed Excel bridge and runtime schedule do not share the same opening-balance cut point for the operational horizon.,no,no,no,Phase 10,"Keep the opening balance row as a reconciliation aid and rely on principal, interest, and closing rows for authoritative debt behavior.",No debt sizing rewrite is implied.
Senior Debt,Interest,WARN,A small timing and day-count residual remains between the committed Excel extract and runtime debt schedule.,no,no,no,Phase 10,Document as a minor review residual unless lenders ask for a debt-source extraction refresh.,The residual is small relative to total debt service.
Senior Debt,Principal Repayment,WARN,The tiny principal delta is rounding-level drift between the committed extract and runtime precision.,no,no,no,Phase 10,Treat as immaterial unless an exact tie-out is required for a formal audit appendix.,No runtime debt behavior change is needed.
Senior Debt,Debt Service,WARN,Debt service inherits the same minor interest timing residual visible in the senior interest row.,no,no,no,Phase 10,Keep this as a transparent review delta rather than a model-fix candidate.,Derived from existing interest and principal rows.
Senior Debt,Closing Balance,WARN,Closing balance drift follows from the opening-balance cut-point difference carried through the operational bridge.,no,no,no,Phase 10,Use this row for reviewer traceability only; core runtime debt outputs remain unchanged.,No runtime change implied.
Senior Debt,DSCR,WARN,Distribution and downstream cash staging conventions still create a documented DSCR residual versus Excel.,no,no,no,Phase 10,Keep as calibration transparency item; do not rewrite debt logic in this branch.,"Known review residual, not a debt sizing bug."
SHL,Opening Balance,MISSING_EVIDENCE,The committed SHL bridge does not provide a full-horizon opening-balance series that can be lined up one-for-one with runtime periods.,no,yes,no,Phase 10,"Treat this as an evidence limitation and anchor review attention on principal, interest, and closing balance rows.",Missing evidence is not a zero opening balance.
SHL,Gross Accrued Interest,WARN,The remaining SHL gross-interest delta reflects timing and presentation differences between the committed bridge and the runtime accrued-interest schedule.,no,no,no,Phase 10,"Keep the row visible for reviewer scrutiny, but do not redesign SHL mechanics in this branch.",Gross accrued interest is the authoritative model-side SHL P&L bridge.
SHL,Cash Interest Paid,MISSING_EVIDENCE,"Committed Excel bridge evidences gross accrued SHL interest, not a separate cash-interest split.",no,yes,no,Phase 10,Keep separate from gross accrued interest and document as presentation gap.,Runtime field is real; Excel side is the missing piece.
SHL,PIK Capitalized,MISSING_EVIDENCE,PIK is not separately extractable from the committed Excel evidence set.,no,yes,no,Phase 10,Map Excel PIK rows only if stakeholders require the split.,Do not net PIK into cash interest.
SHL,Principal Repaid,WARN,"SHL principal timing moved closer to Excel after the controlled alignment work, but committed bridge totals still reflect a slightly different period framing.",no,no,no,Phase 10,Document as a timing reconciliation item and keep the runtime-alignment branch as the authoritative history.,No new SHL timing change is made here.
SHL,Closing Balance,MISSING_EVIDENCE,The committed SHL bridge does not provide a clean full-horizon closing-balance series that matches runtime period boundaries exactly.,no,yes,no,Phase 10,Keep as an evidence limitation and rely on the runtime balance schedule plus prior Phase 9 review workbook for detail.,"Explicit evidence gap, not a silent zero."
SHL,Total SHL Service,MISSING_EVIDENCE,"The runtime SHL service field exists, but the committed Excel evidence pack does not expose a separate total-service bridge row.",no,yes,no,Phase 10,Use the runtime service row for lender review and only add Excel-side extraction if stakeholders require a service split.,Expands runtime-side SHL visibility without changing mechanics.
Tax,Book Depreciation,MISSING_EVIDENCE,Book depreciation is available runtime-side but not committed Excel-side at full-horizon row granularity.,no,yes,no,Phase 10,Use the Phase 6/9 depreciation evidence branches for any future ledger-level parity work.,Explicitly kept separate from tax depreciation.
Tax,Tax Depreciation,MISSING_EVIDENCE,Tax depreciation evidence exists in prior diagnostics but not as a committed period-level Excel bridge row here.,no,yes,no,Phase 10,Leave as evidence gap unless a tax-specific parity branch is opened.,No silent zero-fill.
Tax,R35 Taxable Income Before Losses,WARN,Known governed Phase 6 residual; Excel-side R35 row ownership remains partially unmapped in committed extracts.,no,no,no,Phase 10,Keep governed residual explicit; do not hardcode a parity plug.,"Residual is documented, not runtime-fixed."
Tax,R67 CIT Cash,MISSING_EVIDENCE,Committed Excel extracts do not include a period-level R67 bridge in this pack.,no,yes,no,Phase 10,Carry forward as missing evidence rather than zero.,Runtime tax cash remains visible.
Tax,Losses Opening,MISSING_EVIDENCE,Loss bucket evidence is runtime-side only in this branch.,no,yes,no,Phase 10,Reference the dedicated Phase 6 loss-engine evidence if a reviewer asks for lineage.,Audit field available runtime-side.
Tax,Losses Used,MISSING_EVIDENCE,Committed Excel bridge does not expose period-level loss usage in this pack.,no,yes,no,Phase 10,Keep visible as runtime-only audit detail.,Do not synthesize Excel values.
Tax,Losses Closing,MISSING_EVIDENCE,Closing loss carryforward is visible in runtime audit fields but not committed Excel-side in this pack.,no,yes,no,Phase 10,Preserve as a runtime-backed evidence row and add Excel extraction only if deeper tax review is requested.,Improves tax loss visibility without fabricating Excel values.
