canonical_field_id,domain,concept,registry_field_id,snapshot_key,engine_path,runtime_binding_status,excel_mapping_status,runtime_validation_status,scenario_mapping_status,registry_excel_hint_tuho,registry_excel_hint_oborovo,verified_tuho_input_cell,verified_oborovo_input_cell,binding_status,kind,scenario_policy,source_of_truth,persisted,editable,runtime_only
registry.project_setup.identity.project_name,registry,Project Name,project_setup.identity.project_name,project_name,info.name,RUNTIME_FULLY_BOUND,VERIFIED_BOTH_MODELS,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,Inputs!B2,Inputs!B2,D2,D2,BOUND,INPUT,NOT_ALLOWED,INPUT_SET,True,,False
registry.project_setup.identity.project_type,registry,Project Type,project_setup.identity.project_type,project_type,,TEMPLATE_LOCKED,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,Inputs!B3,Inputs!B3,,,TEMPLATE_LOCKED,TEMPLATE_INPUT,NOT_ALLOWED,TEMPLATE,True,,False
registry.project_setup.identity.country_market,registry,Country / Market,project_setup.identity.country_market,country_market,info.country_iso,RUNTIME_PARTIALLY_BOUND,VERIFIED_BOTH_MODELS,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,Inputs!B4,Inputs!B4,D5,D5,PARTIAL,INPUT,NOT_ALLOWED,INPUT_SET,True,,False
registry.project_setup.identity.currency,registry,Currency,project_setup.identity.currency,currency,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,Inputs!B5,Inputs!B5,,,PARTIAL,INPUT,NOT_ALLOWED,INPUT_SET,True,,False
registry.project_setup.identity.scenario,registry,Scenario,project_setup.identity.scenario,scenario,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,PARTIAL,INPUT,NOT_ALLOWED,INPUT_SET,True,,False
registry.project_setup.technical.capacity_mw,registry,Installed Capacity,project_setup.technical.capacity_mw,capacity_mw,technical.capacity_mw,RUNTIME_FULLY_BOUND,VERIFIED_BOTH_MODELS,GENERIC_ROUTE_ONLY,VERIFIED_TUHO_ONLY,Inputs!H7,Inputs!H7,D51,D51,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.project_setup.technical.p50_hours,registry,P50 Operating Hours,project_setup.technical.p50_hours,p50_hours,technical.operating_hours_p50,RUNTIME_FULLY_BOUND,VERIFIED_BOTH_MODELS,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,Inputs!H8,Inputs!H8,D67,D64,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.project_setup.technical.capacity_factor,registry,Capacity Factor (P50),project_setup.technical.capacity_factor,capacity_factor,,DISPLAY_ONLY,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,DISPLAY_ONLY,DERIVED_DISPLAY,NOT_ALLOWED,DERIVED_UI,True,,False
registry.project_setup.technical.cod_date,registry,Commercial Operation Date,project_setup.technical.cod_date,cod_date,info.cod_date,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,Inputs!H9,Inputs!H9,,,BOUND,INPUT,NOT_ALLOWED,INPUT_SET,True,,False
registry.project_setup.technical.construction_months,registry,Construction Duration,project_setup.technical.construction_months,construction_months,info.construction_months,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,Inputs!H10,Inputs!H10,,,BOUND,INPUT,NOT_ALLOWED,INPUT_SET,True,,False
registry.project_setup.technical.horizon_years,registry,Project Horizon,project_setup.technical.horizon_years,horizon_years,info.horizon_years,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,Inputs!H11,Inputs!H11,,,BOUND,INPUT,NOT_ALLOWED,INPUT_SET,True,,False
registry.capex.C.epc_contract,registry,EPC Contract,capex.C.epc_contract,capex_epc_contract_keur,capex.epc_contract.amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,C.02.01,C.02.01,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.capex.C.production_units,registry,Production Units,capex.C.production_units,capex_production_units_keur,capex.production_units.amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,C.01.01,C.01.01,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.capex.C.epc_other,registry,EPC Other,capex.C.epc_other,capex_epc_other_keur,capex.epc_other.amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,C.02.02,C.02.02,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.capex.C.grid_connection,registry,Grid Connection,capex.C.grid_connection,capex_grid_connection_keur,capex.grid_connection.amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,C.03.01,C.03.01,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.capex.C.ops_preparation,registry,Operations Preparation,capex.C.ops_preparation,capex_ops_prep_keur,capex.ops_prep.amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,C.15.02,C.15.02,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.capex.C.insurances,registry,Insurances,capex.C.insurances,capex_insurances_keur,capex.insurances.amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,C.06.01,C.06.01,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.capex.C.lease_tax,registry,Lease & Tax,capex.C.lease_tax,capex_lease_tax_keur,capex.lease_tax.amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,C.07.01,C.07.01,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.capex.C.construction_mgmt_a,registry,Construction Management A,capex.C.construction_mgmt_a,capex_construction_mgmt_a_keur,capex.construction_mgmt_a.amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,C.09.01,C.09.01,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.capex.C.commissioning,registry,Commissioning,capex.C.commissioning,capex_commissioning_keur,capex.commissioning.amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,C.10.01,C.10.01,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.capex.C.contingencies,registry,Contingencies (C.13),capex.C.contingencies,capex_contingencies_keur,capex.contingencies.amount_keur,DISPLAY_ONLY,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,C.13.01,C.13.01,,,DISPLAY_ONLY,DERIVED_DISPLAY,NOT_ALLOWED,DERIVED_UI,True,,False
registry.capex.C.taxes,registry,Import Taxes,capex.C.taxes,capex_taxes_keur,capex.taxes.amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,C.14.01,C.14.01,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.capex.D.project_acquisition,registry,Project Acquisition,capex.D.project_acquisition,capex_project_acquisition_keur,capex.project_acquisition.amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,C.15.01,C.15.01,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.capex.D.project_rights,registry,Project Rights,capex.D.project_rights,capex_project_rights_keur,capex.project_rights.amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,C.16.01,C.16.01,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.capex.D.audit_legal,registry,Audit & Legal,capex.D.audit_legal,capex_audit_legal_keur,capex.audit_legal.amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,C.11.01,C.11.01,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.capex.D.construction_mgmt_b,registry,Construction Management B,capex.D.construction_mgmt_b,capex_construction_mgmt_b_keur,capex.construction_mgmt_b.amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,C.09.02,C.09.02,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.capex.F.idc,registry,IDC,capex.F.idc,capex_idc_keur,capex.idc_keur,DISPLAY_ONLY,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,C.17 / Financing!IDC,C.17 / Financing!IDC,,,DISPLAY_ONLY,DERIVED_DISPLAY,NOT_ALLOWED,ENGINE,True,,False
