project,flag_combo,period,operating_period_index,runtime_distribution_keur,da_paid_distribution_keur,delta_keur,delta_pct,classification,gates_passed,runtime_authoritative,r99_blocked,r102_blocked,dscr_passed,lockup_passed,oborovo_passed,blocked_reason,validation_error,notes
TUHO-WIND-1,baseline,2,2,3070.19,0.00,-3070.19,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,False,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,3,3,3121.08,0.00,-3121.08,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,False,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,4,4,3105.37,0.00,-3105.37,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,False,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,5,5,3156.84,0.00,-3156.84,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,False,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,6,6,3150.43,0.00,-3150.43,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,False,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,7,7,3185.05,0.00,-3185.05,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,False,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,8,8,3179.22,0.00,-3179.22,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,False,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,9,9,3231.91,0.00,-3231.91,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,False,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,10,10,3210.04,0.00,-3210.04,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,False,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,11,11,3263.25,0.00,-3263.25,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,False,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,12,12,3272.21,0.00,-3272.21,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,False,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,13,13,3326.44,0.00,-3326.44,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,False,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,14,14,3341.23,0.00,-3341.23,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,False,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,15,15,3158.61,0.00,-3158.61,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,16,16,3396.59,0.00,-3396.59,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,17,17,3226.38,0.00,-3226.38,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,18,18,3466.06,0.00,-3466.06,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,19,19,3289.95,0.00,-3289.95,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,20,20,3533.18,0.00,-3533.18,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,21,21,3351.36,0.00,-3351.36,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,22,22,3607.95,0.00,-3607.95,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,23,23,3401.30,0.00,-3401.30,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,24,24,3667.64,0.00,-3667.64,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,25,25,3474.37,0.00,-3474.37,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,26,26,6140.28,0.00,-6140.28,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,27,27,5736.64,0.00,-5736.64,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,28,28,6115.46,0.00,-6115.46,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,29,29,5713.92,0.00,-5713.92,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,30,30,6187.85,0.00,-6187.85,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,31,31,5748.72,0.00,-5748.72,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,32,32,6221.79,0.00,-6221.79,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,33,33,5811.21,0.00,-5811.21,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,34,34,6419.49,0.00,-6419.49,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,35,35,5992.09,0.00,-5992.09,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,36,36,6570.29,0.00,-6570.29,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,37,37,6130.06,0.00,-6130.06,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,38,38,6735.89,0.00,-6735.89,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
TUHO-WIND-1,baseline,39,39,6247.38,0.00,-6247.38,100.0000,EXPECTED_GATE_DIFFERENCE,False,True,True,True,True,True,True,R99 gate not promoted to runtime — audit-only,,
