area,current_behavior,proposed_behavior,rationale,implementation_phase,risk,notes
sidebar_navigation,"sidebar groups: Overview/Inputs/Financing/Outputs/Downloads/Governance as nav links","sidebar = project workspace panel: project selector, scenario selector, run buttons, downloads, governance status","Separates project-level controls from model-sheet navigation; more like a file/workspace browser",9.6,low,"Overview/Inputs/Financing/Outputs nav links move to top tabs"
sidebar_project_selector,"no project selector in sidebar (project_type is a form field)","project selector dropdown: TUHO / Oborovo / future projects","User should always know which project is active without hunting through the UI",9.7,low,"Already available via factories; just needs to be surfaced in sidebar"
sidebar_scenario_selector,"scenario is a form field inside the main form","scenario selector dropdown in sidebar + Duplicate Scenario button","Scenario switching is a first-class workflow; should be visible and fast",9.7,low,"Requires form state to persist across tabs"
sidebar_run_buttons,"Run Model / Compare / Download Excel are inside the form","Run Model / Compare / Export as prominent buttons in sidebar","Primary actions belong in workspace, not hidden inside a form",9.6,low,"HTMX form submit already wired; just move buttons"
sidebar_governance_status,"governance status shown in G20 BLOCKED banner in main content","governance panel in sidebar: G20 BLOCKED, R99/R102 NOT APPROVED, CO2 status","Governance status is persistent context; should always be visible in sidebar",9.6,low,"Read-only status badges; no interaction needed"
top_tabs,"none (content is shown as single-page scrollable form with details accordions)","horizontal tab bar below header with Excel-like sheet tabs","Two-tier nav (sidebar = workspace, top tabs = sheet) matches Excel workflow",9.6,medium,"Tab switching via JS; content panels for each tab"
tab_content,"all input/output sections shown as scrollable details accordions on one page","each tab has a dedicated content panel; only active tab's panel is visible","Reduces cognitive load; user sees only the sheet they're working on",9.7,medium,"Requires refactoring current accordion content into separate panel per tab"
tab_overview,"no dedicated overview tab","Overview tab shows KPI dashboard: IRR/DSCR/Debt/Revenue/Distributions","Overview = executive summary dashboard, not the detailed model sheet",9.7,low,"KPI data already available via HTMX swap"
tab_inputs,"inputs shown as details accordions in one long form","Inputs tab = master inputs table","Inputs tab is the master input sheet; all input groups in one place",9.8,medium,"Current accordion groups need decomposition per tab"
tab_construction,"construction_months is inside Dates / COD accordion","Construction tab = construction period schedule with horizontal periods","Construction period is a time-series section; deserves its own tab",9.8,low,"Simple — only 1 input currently"
tab_production,"production shown as P50 / capacity_factor in accordion","Production tab = production schedule with horizontal period columns","Production time series (P50 hours × capacity × availability) deserves period columns",9.9,low,"P50 and capacity factor are scalars for now"
tab_opex,"OPEX shown as single kEUR field in accordion","OPEX tab = OPEX schedule with Y1-Y30 horizontal period columns","OPEX is a recurring cost schedule; horizontal period layout like Excel",9.10,medium,"Factory default OPEX schedule; may need to build period projection"
tab_capex,"CAPEX shown as single kEUR field in accordion","CAPEX tab = CAPEX schedule; one-time cost displayed per period","CAPEX is typically one-time at construction; period layout useful for audit",9.8,low,"Single total_capex field; display as period row"
tab_senior_debt,"senior debt shown as sizing fields in accordion","Senior Debt tab = debt schedule with period columns + sizing inputs","Debt schedule is complex with drawdown/repayment periods; needs period columns",9.9,medium,"Current inputs are sizing scalars; schedule is computed"
tab_shl,"SHL shown as placeholder badge in accordion","SHL tab = SHL schedule with period columns","SHL has drawdown/repayment periods; needs period column display",9.9,medium,"SHL management is runtime; UI shows placeholder currently"
tab_tax,"Tax shown as placeholder badge in accordion","Tax tab = tax assumptions + period schedule","Tax is per-period with construction/operating phases",9.9,medium,"CIT schedule computed; placeholder in UI"
tab_outputs_pl,"P&L shown as output section below inputs","P&L tab = P&L statement with period columns","P&L is period-by-period; horizontal columns match Excel model",9.9,medium,"P&L outputs already computed; just needs period layout"
tab_outputs_cashflow,"Cash Flow shown as output section","Cash Flow tab = cash flow statement with period columns","Cash flow is per-period; horizontal columns match Excel",9.9,medium,"Cash flow already computed"
tab_outputs_balance,"Balance Sheet shown as output section","Balance Sheet tab = balance sheet with period columns","Balance sheet snapshots per period; period columns match Excel",9.9,high,"Balance sheet per period requires careful period mapping"
tab_distributions,"Distributions shown as placeholder badge","Distributions tab = distribution waterfall schedule","Distributions have complex waterfall logic; period columns needed",9.9,high,"DistributionAccount already implemented; needs period display"
tab_sponsor,"Sponsor / Equity shown as placeholder badge","Sponsor / Equity tab = sponsor cash flows, IRR, MOIC","Sponsor equity is a key output; IRR/MOIC per scenario",9.9,medium,"Sponsor cashflows already computed"
tab_audit,"Audit / Parity is a nav link scrolling to bottom section","Audit / Parity tab = parity tables with Excel comparison","Audit tables are detailed; deserve their own tab",9.8,low,"Audit content already exists; reorganize into tab"
tab_downloads,"Downloads shown as nav links in sidebar AND download section","Downloads tab = all download links + parity workbook","Downloads are a destination, not a sheet; but OK as tab for UX consistency",9.6,low,"Download items already exist; just organize"
content_period_columns,"current form is vertical stack of field groups","period columns Y1-Y30 displayed horizontally like Excel","Excel models show periods as columns; users expect this layout",9.10,medium,"Period formatting; may need sticky freeze panes"
content_sticky_headers,"no sticky headers in input forms","sticky top row (period headers) + sticky left column (line items)","Freeze pane effect helps navigation in wide period tables",9.11,low,"CSS position:sticky already available"
content_compact_formatting,"numbers shown with full precision","compact kEUR format, tabular numerics, no unnecessary decimals","Institutional PF models use compact formatting; matches Excel",9.10,low,"CSS font-variant-numeric: tabular-nums"
new_project_flow,"not available","modal dialog: New Project → choose technology/template → create","New project creation should be a first-class sidebar action",9.7,low,"Design only; no implementation required yet"
save_load_flow,"not available","sidebar has Save / Load actions; future DB-backed persistence","Save/load should be workspace actions; Phase 12 for DB",9.7,low,"Design only; documents Phase 12 path"
portfolio_view,"not available","Portfolio View in sidebar (future: multi-project view)","Portfolio view is a natural extension once projects are persisted",12.x,high,"Future feature; depends on persistence Phase 12"
