sheet_tab,purpose,primary_inputs,primary_outputs,current_source,implementation_status,notes
Overview,"Executive dashboard — KPI summary + governance gate","Project type, scenario, capacity","Equity IRR, Project IRR, Avg DSCR, Senior Debt, Total Revenue, EBITDA, Distributions, Warnings","KPIs already via HTMX swap",implemented,"KPI cards; G20 BLOCKED banner; governance badges"
Inputs,"Master inputs — all project assumptions in one sheet","project_type, scenario, capacity_mw, cod_date, construction_months, horizon_years, p50_hours, capacity_factor, tariff_eur_mwh, ppa_term_years, opex_y1_keur, total_capex_keur, gearing_pct, target_dscr, interest_rate_pct, tenor_years","Validation state","Current form fields",proposed_reorganization,"All input groups in one master table; organized per section"
Construction,"Construction period schedule","construction_months, cod_date","Construction end date, construction period schedule","construction_months field",proposed,"Simple — construction months → construction period; may show as period row"
Production,"Production time series","p50_hours, capacity_factor","Annual production (MWh) = p50 × capacity_factor × availability","p50_hours and capacity_factor fields",proposed,"Period columns Y1-Y30; production = f(p50, CF, availability)"
Revenue,"Revenue / tariff schedule","tariff_eur_mwh, ppa_term_years, production","Annual revenue = production × tariff; PPA expiry flag","tariff and production",proposed,"Period columns Y1-Y30; PPA expiry after ppa_term_years"
OPEX,"OPEX schedule","opex_y1_keur, inflation_pct","Annual OPEX per period","opex_y1_keur field + inflation",proposed,"Period columns Y1-Y30; OPEX escalation applied"
CAPEX,"CAPEX schedule","total_capex_keur","One-time CAPEX at construction","total_capex_keur field",proposed,"Single CAPEX row; may be all at construction period"
Senior_Debt,"Senior debt sizing and schedule","gearing_pct, target_dscr, interest_rate_pct, tenor_years, capex","Debt quantum, DSCR, debt schedule (drawdown/repayment)","senior_debt_sizing in core",proposed,"Debt schedule needs period columns; sizing inputs already exist"
SHL,"Subordinated Hybrid Loan schedule","shl_amount, shl_rate, opening_balance","SHL drawdown/repayment per period, accrued PIK","shl_engine in core",proposed,"Runtime-computed schedule; UI placeholder currently"
Tax,"Tax assumptions and schedule","cit_rate, atad_flag, loss_carry_forward","CIT per period, loss utilization","tax_bridge in core",proposed,"CIT schedule with construction/operating phases; R35/R69 mapping"
PL,"Profit & Loss statement","all inputs","EBIT, Financing Earnings, EBT, CIT, Net Income","pl_statement in core",proposed,"Period columns Y1-Y30; standard P&L format"
Cash_Flow,"Cash flow statement","all inputs","Operating CF, Financing CF, Debt Service, Net CF","cashflow_runner in core",proposed,"Period columns Y1-Y30; DSCR calculated per period"
Balance_Sheet,"Balance sheet snapshots","all inputs","Assets, Liabilities, Equity per period","balance_sheet in core",proposed,"Period snapshots Y1/Y5/Y10/Y15/Y20/Y25/Y30; complex"
Distributions,"Distribution waterfall","all inputs","Distribution per period per sponsor","distribution_account in core",proposed,"Period columns; sponsor waterfall tiers"
Sponsor_Equity,"Sponsor equity and returns","sponsor equity injection, distributions","Equity IRR, MOIC, sponsor cash flows","sponsor_cashflow_runner in core",proposed,"IRR/MOIC computed; time-series sponsor CF per period"
Audit_Parity,"Audit / parity tables","TUHO full semester horizontal parity workbook","Audit results: Senior Debt, SHL Opening, Equity IRR, Project IRR","audit tables in core",proposed,"Source map, gap register, TUHO parity tables"
Downloads,"Download all model outputs","project_type, scenario","Model Export .xlsx, Parity Workbook, Gap Register, Source Map","download endpoint",proposed,"Reorganize downloads into a tab; all download links in one place"
