label,meaning,reviewer_interpretation,runtime_implication,governance_implication,escalation_level,when_to_use,when_not_to_use,notes
PASS,Evidence and runtime output align within the pack tolerance.,No follow-up needed beyond normal review.,No runtime concern.,None.,informational,Committed evidence and runtime row are aligned and explained.,Any row still needing reviewer explanation or governance caution.,This does not by itself approve G20.
WARN,The row has a real but explainable residual that still deserves reviewer attention.,Review the explanation before relying on the row.,Usually no runtime rewrite implied.,May still matter in signoff discussion.,review,"Timing, rounding, or bridge-cut differences are visible but understood.",Pure evidence gaps or blocked governance items.,A WARN is not a hidden blocker.
FAIL,The row shows an unexplained or material divergence that needs action.,Do not rely on the row without further engineering review.,Potential runtime or extraction defect.,Can block reliance until resolved.,blocking,Residual is not explained within accepted tolerance.,Governance-only or evidence-only issues.,This branch does not introduce any new FAIL rows intentionally.
ACCEPTED_CONVENTION,"Difference is documented as a presentation, timing, or definition convention.","Treat as non-runtime-authoritative explanation, not approval.",No runtime formula change implied.,Still requires reviewers to agree on the reporting lens.,informational,"XIRR anchors, distribution labeling, or similar convention-driven differences.",Real runtime defects or blocked governance items.,Accepted convention does not mean approved runtime behavior.
MISSING_EXCEL_EVIDENCE,"Runtime-side value exists, but the committed Excel-side row is not available at the needed grain.",Do not infer zero; evidence is missing only on the Excel side.,Runtime field may still be authoritative.,Evidence completeness remains open.,review,Runtime audit fields or rows exist but committed Excel extracts do not.,Both sides are missing or only a scalar is missing.,This is the main replacement for overloaded legacy MISSING_EVIDENCE usage.
MISSING_REVIEW_SCALAR,"A reviewer-facing scalar, bridge, or dedicated reporting view is not yet implemented or approved.","Interpretation gap, not a forced runtime bug.",Runtime outputs may still exist separately.,Stakeholders may waive or request a later reporting-only enhancement.,review,Reconciliation IRR or similar scalar is still absent from the reporting layer.,Period rows with missing committed Excel evidence.,Useful for reviewer workflow and future signoff logic.
SOURCE_NOT_AVAILABLE,Neither side provides a defensible standalone source for the requested row.,Do not fabricate a split or placeholder value.,"Runtime total may exist, but not the requested sub-line source.",Evidence limitation remains explicit.,review,CO2 or balancing sub-lines are requested but unavailable as separate sources.,Grouped evidence exists or runtime breakout merely needs binding.,This is stronger than grouped-only and should stay explicit.
EVIDENCE_LIMITATION,"Evidence exists, but only at a broader level than the reviewer wants.",Review at the available aggregation level.,No runtime defect implied.,May still matter for closeout comfort.,review,Only aggregate revenue or tax evidence is available.,No source exists at all.,Distinct from missing evidence because something usable still exists.
GROUPED_SOURCE_ONLY,"Committed evidence supports only a grouped source row, not a defensible sub-line split.",Use the grouped row and avoid inferred allocations.,No runtime revenue defect implied.,Interpretation caution for reviewers.,review,Grouped revenue totals are available but CO2/balancing split is not.,Neither grouped nor separate source exists.,Often paired with revenue source-map caution.
RUNTIME_BINDING_PENDING,"Runtime logic or data exists, but the reporting breakout is not yet first-class in the pack.","Treat as reporting-surface follow-up, not a formula gap.",Runtime authority remains elsewhere.,Usually presentation-only.,review,Contingency or similar detail exists conceptually but is not exported as a dedicated row.,Excel-side evidence is the only missing piece.,Preferred label instead of overloading missing evidence for runtime export gaps.
GOVERNANCE_BLOCKER,Item is visible for review but cannot be treated as approved runtime authority.,Do not rely on the row as approved output.,No runtime promotion or authority change allowed.,Blocks approval or signoff.,blocking,R99/R102 or similar governed outputs are audit-only.,Evidence or convention issues that do not block approval directly.,This must remain visibly strong; do not soften it in UI or exports.
GOVERNANCE_REVIEW,"Reviewer interpretation or stakeholder acceptance is still needed, but the item is not itself a hard blocker.",Escalate for governance discussion before closeout comfort.,Usually no runtime defect implied.,Pending governance interpretation.,review,Equity IRR interpretation or similar governance-facing questions.,Hard approval blockers.,Useful bridge between convention and blocker states.
ENGINEERING_FOLLOWUP,"Future enhancement remains useful, but current runtime stability is not in question.",Carry forward to roadmap rather than escalate as a defect.,Future reporting/product work only.,None unless a future gate depends on it.,informational,Phase 11 carry-forward formatting or extraction improvements.,Current blockers or evidence gaps.,Separates enhancement work from defects.
STAKEHOLDER_DECISION,A reviewer or governance decision is still needed to close interpretation or acceptance.,Queue for signoff ownership rather than engineering triage.,None.,Decision pending.,blocking,Equity IRR acceptance or grouped revenue evidence acceptance.,Purely technical implementation gaps.,Important for future signoff workflows.
BLOCKED,High-level workflow or gate state is blocked.,The process cannot be treated as approved.,None by itself.,Gate or status remains blocked.,blocking,G20 state and similar workflow states.,Row-level evidence classifications.,"Status label, not a row-level reconciliation classification."
NOT_APPROVED,Governance has not approved the referenced runtime authority or feature.,Audit-only visibility; not approved for authoritative reliance.,No promotion allowed.,Approval remains outstanding.,blocking,R99/R102 posture and similar governed states.,Generic evidence or reconciliation rows.,"Status label, not a row-level reconciliation classification."
MISSING_EVIDENCE,Legacy umbrella label from earlier phases.,Do not use this label in new outputs; look for the split semantics instead.,Ambiguous if left unsplit.,Ambiguous if left unsplit.,legacy,Historical references only.,"Any new workbook, report, or UI output.",Superseded in Phase 12 governance semantics cleanup.
