workflow_step,tuho_status,oborovo_status,evidence_required,evidence_recorded,authority_boundary,notes
health_check,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"environment health is operational evidence only","Execution-ready placeholder only"
login,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"login success is not runtime authority","Execution-ready placeholder only"
project_select,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"project selection does not compute financial truth","Execution-ready placeholder only"
scenario_load_or_create,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"saved scenario boundary remains non-authoritative until explicit run","Execution-ready placeholder only"
supported_assumption_edit,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"draft edits are not runtime truth","Execution-ready placeholder only"
dirty_badge_observed,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"dirty-state signals protect authority boundaries","Execution-ready placeholder only"
unsaved_banner_observed,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"unsaved banner is descriptive only","Execution-ready placeholder only"
dirty_runtime_block,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"dirty drafts must not trigger runtime authority","Execution-ready placeholder only"
save_scenario,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"save does not run the model","Execution-ready placeholder only"
save_does_not_autorun,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"save must remain non-runtime-authoritative","Execution-ready placeholder only"
run_model,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"runtime remains backend-owned","Execution-ready placeholder only"
runtime_summary_observed,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"runtime summary is the financial truth surface","Execution-ready placeholder only"
workbook_export,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"workbook/export remains descriptive only","Execution-ready placeholder only"
workbook_readable,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"readability does not imply authority","Execution-ready placeholder only"
export_lineage_observed,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"provenance and lineage remain descriptive only","Execution-ready placeholder only"
scenario_compare,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"compare remains descriptive only","Execution-ready placeholder only"
compare_descriptive_only,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"compare must not become runtime authority","Execution-ready placeholder only"
governance_labels_checked,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"checking labels does not alter approval state","G20 remains BLOCKED; R99/R102 remain NOT APPROVED"
backup_or_not_applicable,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"backup remains operational recovery only","Execution-ready placeholder only"
feedback_logged,NOT_EXECUTED_IN_THIS_ENVIRONMENT,NOT_EXECUTED_IN_THIS_ENVIRONMENT,yes,no,"feedback records remain non-authoritative","Execution-ready placeholder only"
