excel_col,period_index,operating_period_index,period_eop_date,target_dscr,fcf_for_banks_keur,ds_r57_debt_service_keur,senior_opening_balance_keur,senior_principal_keur,senior_net_interest_keur,senior_gross_interest_keur,senior_closing_balance_keur,source_sheet,source_ds_period
H,7,0,2030-12-31,1.15,2575.0034,2239.1334,42852.2788,935.6501,1303.4833,1303.4833,41916.6286,DS,1
I,8,1,2031-06-30,1.15,2533.0197,2202.6258,41916.6286,948.3916,1254.2342,1254.2342,40968.237,DS,2
J,9,2,2031-12-31,1.15,2576.6038,2240.525,40968.237,1018.0204,1222.5046,1222.5046,39950.2166,DS,3
K,10,3,2032-06-30,1.15,2610.8186,2270.277,39950.2166,1091.1084,1179.1686,1179.1686,38859.1082,DS,4
L,11,4,2032-12-31,1.15,2637.7505,2293.6961,38859.1082,1142.947,1150.7491,1150.7491,37716.1612,DS,5
M,12,5,2033-06-30,1.15,2648.8703,2303.3655,37716.1612,1204.6733,1098.6922,1098.6922,36511.488,DS,6
N,13,6,2033-12-31,1.15,2677.4502,2328.2175,36511.488,1248.8256,1079.3919,1079.3919,35262.6623,DS,7
O,14,7,2034-06-30,1.15,2666.494,2318.6904,35262.6623,1293.2145,1025.4759,1025.4759,33969.4478,DS,8
P,15,8,2034-12-31,1.15,2717.7436,2363.2553,33969.4478,1357.9722,1005.2831,1005.2831,32611.4756,DS,9
Q,16,9,2035-06-30,1.15,2684.0332,2333.9419,32611.4756,1384.5816,949.3603,949.3603,31226.894,DS,10
R,17,10,2035-12-31,1.15,2751.1022,2392.2628,31226.894,1466.0353,926.2274,926.2274,29760.8587,DS,11
S,18,11,2036-06-30,1.15,2709.2582,2355.8767,29760.8587,1482.7286,873.148,873.148,28278.13,DS,12
T,19,12,2036-12-31,1.15,2800.1463,2434.9098,28278.13,1593.8222,841.0876,841.0876,26684.3079,DS,13
U,20,13,2037-06-30,1.15,2717.3449,2362.9086,26684.3079,1582.1672,780.7415,780.7415,25102.1407,DS,14
V,21,14,2037-12-31,1.15,2842.2728,2471.5416,25102.1407,1723.0404,748.5012,748.5012,23379.1003,DS,15
W,22,15,2038-06-30,1.15,2732.6335,2376.203,23379.1003,1690.4459,685.7571,685.7571,21688.6544,DS,16
X,23,16,2038-12-31,1.15,2885.0281,2508.72,21688.6544,1860.6461,648.074,648.074,19828.0083,DS,17
Y,24,17,2039-06-30,1.15,2746.8512,2388.5663,19828.0083,1805.7498,582.8165,582.8165,18022.2585,DS,18
Z,25,18,2039-12-31,1.15,2920.4198,2539.4955,18022.2585,2000.0257,539.4698,539.4698,16022.2328,DS,19
@A,26,19,2040-06-30,1.15,2768.396,2407.3009,16022.2328,1932.912,474.3889,474.3889,14089.3208,DS,20
@B,27,20,2040-12-31,1.15,2776.9576,2414.7457,14089.3208,1992.5533,422.1924,422.1924,12096.7675,DS,21
@C,28,21,2041-06-30,1.15,2618.7706,2277.1918,12096.7675,1920.6172,356.5747,356.5747,10176.1503,DS,22
@D,29,22,2041-12-31,1.15,2821.6534,2453.6116,10176.1503,2148.7164,304.8952,304.8952,8027.4339,DS,23
@E,30,23,2042-06-30,1.15,2631.1685,2287.9726,8027.4339,2051.3782,236.5945,236.5945,5976.0557,DS,24
@F,31,24,2042-12-31,1.35,2279.7871,1688.7312,5976.0557,1509.8981,178.8331,178.8331,4466.1577,DS,25
@G,32,25,2043-06-30,1.35,2103.8436,1558.4027,4466.1577,1426.9322,131.4704,131.4704,3039.2254,DS,26
@H,33,26,2043-12-31,1.35,2248.7629,1665.7503,3039.2254,1575.0216,90.7287,90.7287,1464.2038,DS,27
@I,34,27,2044-06-30,1.35,2057.7804,1507.4389,1464.2038,1464.2038,43.2351,43.2351,0.0,DS,28
@J,35,28,2044-12-31,1.35,2226.7693,0.0,0.0,0.0,0.0,0.0,0.0,DS,29
@K,36,29,2045-06-30,1.35,1906.9195,0.0,0.0,0.0,0.0,0.0,0.0,DS,30
@L,37,30,2045-12-31,1.35,2062.0105,0.0,0.0,0.0,0.0,0.0,0.0,DS,31
@M,38,31,2046-06-30,1.35,1968.643,0.0,0.0,0.0,0.0,0.0,0.0,DS,32
@N,39,32,2046-12-31,1.35,2112.5869,0.0,0.0,0.0,0.0,0.0,0.0,DS,33
@O,40,33,2047-06-30,1.35,2008.2991,0.0,0.0,0.0,0.0,0.0,0.0,DS,34
@P,41,34,2047-12-31,1.35,2156.6475,0.0,0.0,0.0,0.0,0.0,0.0,DS,35
@Q,42,35,2048-06-30,1.35,2053.936,0.0,0.0,0.0,0.0,0.0,0.0,DS,36
@R,43,36,2048-12-31,1.35,2212.3179,0.0,0.0,0.0,0.0,0.0,0.0,DS,37
@S,44,37,2049-06-30,1.35,2087.2093,0.0,0.0,0.0,0.0,0.0,0.0,DS,38
@T,45,38,2049-12-31,1.35,2261.8624,0.0,0.0,0.0,0.0,0.0,0.0,DS,39
@U,46,39,2050-06-30,1.35,2126.8,0.0,0.0,0.0,0.0,0.0,0.0,DS,40
@V,47,40,2050-12-31,1.35,2311.6216,0.0,0.0,0.0,0.0,0.0,0.0,DS,41
@W,48,41,2051-06-30,1.35,1866.9949,0.0,0.0,0.0,0.0,0.0,0.0,DS,42
@X,49,42,2051-12-31,1.35,2334.4257,0.0,0.0,0.0,0.0,0.0,0.0,DS,43
