artifact_name,category,project_scope,format,runtime_or_preview,governance_sensitive,current_status,notes
TUHO full line-item horizontal review workbook,parity,TUHO,xlsx,review,yes,accepted_with_minor_follow_up,Primary parity evidence base; G20 still requires stakeholder gate sign-off.
TUHO final parity closeout status,governance,TUHO,csv,review,yes,g20_blocked_pending_stakeholder_acceptance,No runtime approval implied.
Phase 10 runtime summary export,runtime,"TUHO, Oborovo",csv,runtime,yes,foundation,Values are sourced from existing runtime outputs.
Phase 10 institutional workbook skeleton,workbook,"TUHO, Oborovo",xlsx,runtime,yes,runtime_binding_in_progress,"Runtime workbook / lender pack foundation with standardized metadata, reviewer navigation, and explicit runtime-versus-review boundaries."
Phase 10 calibration reconciliation pack,audit,TUHO,xlsx,review,yes,review_evidence_pack,"Executive / lender / audit review workbook with institutional navigation, print-ready formatting, and explicit governance framing; G20 remains blocked and R99/R102 remain not approved."
Phase 10 runtime binding inventory,source_map,TUHO,csv,review,yes,evidence_expansion,Helps distinguish true evidence gaps from reporting-layer binding gaps.
Phase 10 evidence coverage summary,validation,TUHO,csv,review,yes,evidence_expansion,Used by the Executive Dashboard to quantify review maturity without overstating certainty.
Phase 10 export registry,validation,portfolio,csv,review,no,foundation,Centralizes artifact metadata for reviewer workflows.
TUHO horizontal source map,source_map,TUHO,csv,review,yes,available,Keeps missing evidence explicit rather than silently filling values.
TUHO horizontal gap analysis,audit,TUHO,csv,review,yes,available,G20 and R99/R102 rows remain governance blockers.
Financial statements audit workbook,workbook,"TUHO, Oborovo",xlsx,audit,yes,available,Existing Stage 4 export helper; not rewritten in this branch.
