field_name,runtime_bound,backend_function,schema_layer,model_layer,kpi_output,verified_by
tariff_eur_mwh,YES,_build_schema_from_form → RevenueInput(tariff_eur_mwh=),build_projectinputs → _set_revenue_tariff,run_project → ppa_base_tariff override,total_revenue_keur / net_revenue_keur,Code inspection confirmed. run_project called with project_inputs_override. Runtime test pending.
opex_y1_keur,YES,_build_schema_from_form → OpexInput(y1_total_keur=),build_projectinputs → _set_opex_y1_scale,run_project → scales all opex items,total_opex_keur / EBITDA,Code inspection confirmed. Proportional scaling applied to all line items.
p50_hours,YES,_build_schema_from_form → TechInput(operating_hours_p50=),build_projectinputs → _set_technical_p50_hours,run_project → p50 override,energy_production_kwh / revenue_keur,Code inspection confirmed. Used in revenue calculation (energy = hours * capacity).
gearing_pct,YES,_build_schema_from_form → SeniorDebtInput(gearing_ratio=),build_projectinputs → _set_senior_debt_gearing,run_project → debt sizing,risk_profile / debt_service_coverage,Code inspection confirmed. Mapped to SeniorDebtInput.gearing_ratio.
target_dscr,YES,_build_schema_from_form → SeniorDebtInput(target_dscr=),build_projectinputs → _set_senior_debt_dscr,run_project → debt sizing constraint,dscr_min / avg_dscr,Code inspection confirmed. Mapped to SeniorDebtInput.target_dscr.
interest_rate_pct,YES,_build_schema_from_form → SeniorDebtInput(base_rate=),build_projectinputs → _set_senior_debt_rate,run_project → interest cost,total_interest_keur / debt_service_keur,Code inspection confirmed. Overrides base lending rate.
tenor_years,YES,_build_schema_from_form → SeniorDebtInput(senior_tenor_years=),build_projectinputs → _set_senior_debt_tenor,run_project → debt schedule length,debt_balance_keur / tenor_years,Code inspection confirmed. Mapped to SeniorDebtInput.senior_tenor_years.
ppa_term_years,NO,NOT in _build_schema_from_form schema fields,N/A,N/A,N/A,"Label changed to 'Preview only — not runtime-bound yet.' Field is collected in _collect_form_snapshot and saved to DB but has no handler in schema builder."
construction_months,NO,NOT in _build_schema_from_form tech schema,N/A,N/A,N/A,"Label changed to 'Preview only — not runtime-bound yet.' No handler in _set_technical_* functions."
capacity_mw,NO,Not in _build_schema_from_form at all,N/A,N/A,N/A,"Saved to DB via _collect_form_snapshot, displayed in project_ctx, but not passed to runtime schema. Documented as gap."
cod_date,NO,Not editable per-user,project_ctx defaults,N/A,N/A,"Timeline display field. Set from project_ctx at page render. Not a per-scenario editable input."
