P_index,period_label,year,half,PnL_R35_TI,PnL_R36_LossN1,PnL_R37_AllocLoss,PnL_R38_LossN,PnL_R39_CarryFwd,PnL_R41_TaxableProfitN,PnL_R43_CIT,CF_R67_CashTax,CF_R40_EBITDA,PL_R24_SeniorInt,PL_R27_SHLInt,Dep_R30_BookDep,Python_EBITDA,Python_tax_keur,Python_cash_tax_R67,Python_taxable_inc,Residual_CIT_gap
P24,yr13H1,13,H1,4352.48,,-5291.80,0,-5516.47,0.00,0.00,0,6108.94,318.92,1703.16,1785.56,6140.28,720.46,0,4869.71,
P25,yr13H2,13,H2,2298.72,,-5291.80,2298.72,-2993.09,0.00,120.19,-120.19,6210.19,246.46,1703.16,1785.56,6242.06,760.09,1480.55,4222.71,+1361
P26,yr14H1,14,H1,4338.14,,-1807.29,0,-1807.29,0.00,0.00,0,6094.60,162.37,1577.67,1785.56,6115.46,769.09,0,4505.16,
P27,yr14H2,14,H2,2558.45,,-1807.29,0,0.00,2558.45,955.24,-955.24,6195.61,83.96,1577.67,1785.56,6216.82,810.93,1580.02,4505.16,+625
P28,yr15H1,15,H1,4369.48,,0,0,0.00,0.00,0.00,0,6191.84,0.00,1356.59,1780.69,6187.85,831.89,0,4860.89,
P29,yr15H2,15,H2,2902.62,,3152.60,0,0.00,2902.62,1084.54,-1084.54,6259.88,0.00,1356.59,1780.69,6255.84,874.96,1706.84,4860.89,+622
P30,yr16H1,16,H1,4622.64,,0,0,0.00,0.00,0.00,0,6324.91,0.00,969.71,1164.12,6221.79,900.08,0,5286.79,
P31,yr16H2,16,H2,3272.87,,4106.00,0,0.00,3272.87,1224.50,-1224.50,6324.91,0.00,969.71,1164.12,6324.91,951.62,1851.70,5286.79,+627
P32,yr17H1,17,H1,4713.93,,0,0,0.00,0.00,0.00,0,6419.49,0.00,779.67,1164.12,6419.49,1000.79,0,5878.63,
P33,yr17H2,17,H2,3844.67,,4106.00,0,0.00,3844.67,1436.21,-1436.21,6525.89,0.00,779.67,1164.12,6525.89,1058.15,2058.95,5878.63,+623
P34,yr18H1,18,H1,4874.99,,0,0,0.00,0.00,0.00,0,6570.29,0.00,361.35,1164.12,6570.29,1099.95,0,6461.37,
P35,yr18H2,18,H2,4408.41,,4106.00,0,0.00,4408.41,1644.93,-1644.93,6679.19,0.00,361.35,1164.12,6679.19,1163.05,2263.00,6461.37,+618
