op_idx,year,half,frac,excel_pl13,excel_dep30,engine,diff,reason
0,0,H1,0.0,0.0,0.0,1854.1205,1854.1205,op_idx=0 is pre-COD; Excel=0; engine=0
1,1,H2,0.49589,1845.4388,1845.4388,1854.1205,8.6817,Excel applies leap-year frac (0.4959); engine constant=1758.20; Excel=1845.44 vs engine=1854.12 (diff=+8.68)
2,1,H1,0.50411,1876.0262,1876.0262,1854.1205,-21.9057,Excel applies leap-year frac (0.5041); engine constant=1758.20; Excel=1876.03 vs engine=1854.12 (diff=-21.91)
3,2,H2,0.49589,1845.4388,1845.4388,1854.1205,8.6817,Excel applies leap-year frac (0.4959); engine constant=1758.20; Excel=1845.44 vs engine=1854.12 (diff=+8.68)
4,2,H1,0.50411,1876.0262,1876.0262,1854.1205,-21.9057,Excel applies leap-year frac (0.5041); engine constant=1758.20; Excel=1876.03 vs engine=1854.12 (diff=-21.91)
5,3,H2,0.497268,1850.5645,1850.5645,1854.1205,3.556,Excel applies leap-year frac (0.4973); engine constant=1758.20; Excel=1850.56 vs engine=1854.12 (diff=+3.56)
6,3,H1,0.502732,1870.9004,1870.9004,1854.1205,-16.7799,Excel applies leap-year frac (0.5027); engine constant=1758.20; Excel=1870.90 vs engine=1854.12 (diff=-16.78)
7,4,H2,0.49589,1845.4388,1845.4388,1854.1205,8.6817,Excel applies leap-year frac (0.4959); engine constant=1758.20; Excel=1845.44 vs engine=1854.12 (diff=+8.68)
8,4,H1,0.50411,1876.0262,1876.0262,1854.1205,-21.9057,Excel applies leap-year frac (0.5041); engine constant=1758.20; Excel=1876.03 vs engine=1854.12 (diff=-21.91)
9,5,H2,0.49589,1845.4388,1845.4388,1854.1205,8.6817,Excel applies leap-year frac (0.4959); engine constant=1758.20; Excel=1845.44 vs engine=1854.12 (diff=+8.68)
10,5,H1,0.50411,1876.0262,1876.0262,1854.1205,-21.9057,Excel applies leap-year frac (0.5041); engine constant=1758.20; Excel=1876.03 vs engine=1854.12 (diff=-21.91)
11,6,H2,0.49589,1845.4388,1845.4388,1854.1205,8.6817,Excel applies leap-year frac (0.4959); engine constant=1758.20; Excel=1845.44 vs engine=1854.12 (diff=+8.68)
12,6,H1,0.50411,1876.0262,1876.0262,1854.1205,-21.9057,Excel applies leap-year frac (0.5041); engine constant=1758.20; Excel=1876.03 vs engine=1854.12 (diff=-21.91)
13,7,H2,0.497268,1850.5645,1850.5645,1854.1205,3.556,Excel applies leap-year frac (0.4973); engine constant=1758.20; Excel=1850.56 vs engine=1854.12 (diff=+3.56)
14,7,H1,0.502732,1870.9004,1870.9004,1854.1205,-16.7799,Excel applies leap-year frac (0.5027); engine constant=1758.20; Excel=1870.90 vs engine=1854.12 (diff=-16.78)
15,8,H2,0.49589,1845.4388,1845.4388,1854.1205,8.6817,Excel applies leap-year frac (0.4959); engine constant=1758.20; Excel=1845.44 vs engine=1854.12 (diff=+8.68)
16,8,H1,0.50411,1876.0262,1876.0262,1854.1205,-21.9057,Excel applies leap-year frac (0.5041); engine constant=1758.20; Excel=1876.03 vs engine=1854.12 (diff=-21.91)
17,9,H2,0.49589,1845.4388,1845.4388,1854.1205,8.6817,Excel applies leap-year frac (0.4959); engine constant=1758.20; Excel=1845.44 vs engine=1854.12 (diff=+8.68)
