period,date,legacy_equity_cashflow_keur,da_wired_equity_cashflow_keur,delta_keur,notes
2,2030-06-30,3070.19,0.0,-3070.19,"shl_bal=0.00, dscr=inf"
3,2030-12-31,3121.08,0.0,-3121.08,"shl_bal=0.00, dscr=inf"
4,2031-06-30,3105.37,0.0,-3105.37,"shl_bal=0.00, dscr=inf"
5,2031-12-31,3156.84,0.0,-3156.84,"shl_bal=0.00, dscr=inf"
6,2032-06-30,3150.43,0.0,-3150.43,"shl_bal=0.00, dscr=inf"
7,2032-12-31,3185.05,0.0,-3185.05,"shl_bal=0.00, dscr=inf"
8,2033-06-30,3179.22,0.0,-3179.22,"shl_bal=0.00, dscr=inf"
9,2033-12-31,3231.91,0.0,-3231.91,"shl_bal=0.00, dscr=inf"
10,2034-06-30,3210.04,0.0,-3210.04,"shl_bal=0.00, dscr=inf"
11,2034-12-31,3263.25,0.0,-3263.25,"shl_bal=0.00, dscr=inf"
12,2035-06-30,3272.21,0.0,-3272.21,"shl_bal=0.00, dscr=inf"
13,2035-12-31,3326.44,0.0,-3326.44,"shl_bal=0.00, dscr=inf"
14,2036-06-30,3341.23,0.0,-3341.23,"shl_bal=0.00, dscr=inf"
15,2036-12-31,3158.61,3158.61,0.0,"shl_bal=0.00, dscr=inf"
16,2037-06-30,3396.59,3396.59,0.0,"shl_bal=0.00, dscr=inf"
17,2037-12-31,3226.38,3226.38,0.0,"shl_bal=0.00, dscr=inf"
18,2038-06-30,3466.06,3466.06,0.0,"shl_bal=0.00, dscr=inf"
19,2038-12-31,3289.95,3289.95,0.0,"shl_bal=0.00, dscr=inf"
20,2039-06-30,3533.18,3533.18,0.0,"shl_bal=0.00, dscr=inf"
21,2039-12-31,3351.36,3351.36,0.0,"shl_bal=0.00, dscr=inf"
22,2040-06-30,3607.95,3607.95,0.0,"shl_bal=0.00, dscr=inf"
23,2040-12-31,3401.3,3401.3,0.0,"shl_bal=0.00, dscr=inf"
24,2041-06-30,3667.64,3667.64,0.0,"shl_bal=0.00, dscr=inf"
25,2041-12-31,3474.37,3474.37,0.0,"shl_bal=0.00, dscr=inf"
26,2042-06-30,6140.28,6140.28,0.0,"shl_bal=0.00, dscr=inf"
27,2042-12-31,5736.64,5736.64,0.0,"shl_bal=0.00, dscr=inf"
28,2043-06-30,6115.46,6115.46,0.0,"shl_bal=0.00, dscr=inf"
29,2043-12-31,5713.92,5713.92,0.0,"shl_bal=0.00, dscr=inf"
30,2044-06-30,6187.85,6187.85,0.0,"shl_bal=0.00, dscr=inf"
31,2044-12-31,5748.72,5748.72,0.0,"shl_bal=0.00, dscr=inf"
32,2045-06-30,6221.79,6221.79,0.0,"shl_bal=0.00, dscr=inf"
33,2045-12-31,5811.21,5811.21,0.0,"shl_bal=0.00, dscr=inf"
34,2046-06-30,6419.49,6419.49,0.0,"shl_bal=0.00, dscr=inf"
35,2046-12-31,5992.09,5992.09,0.0,"shl_bal=0.00, dscr=inf"
36,2047-06-30,6570.29,6570.29,0.0,"shl_bal=0.00, dscr=inf"
37,2047-12-31,6130.06,6130.06,0.0,"shl_bal=0.00, dscr=inf"
38,2048-06-30,6735.89,6735.89,0.0,"shl_bal=0.00, dscr=inf"
39,2048-12-31,6247.38,6247.38,0.0,"shl_bal=0.00, dscr=inf"
40,2049-06-30,6868.64,6868.64,0.0,"shl_bal=0.00, dscr=inf"
41,2049-12-31,6403.02,6403.02,0.0,"shl_bal=0.00, dscr=inf"
42,2050-06-30,7018.6,7018.6,0.0,"shl_bal=0.00, dscr=inf"
43,2050-12-31,6540.23,6540.23,0.0,"shl_bal=0.00, dscr=inf"
44,2051-06-30,7168.19,7168.19,0.0,"shl_bal=0.00, dscr=inf"
45,2051-12-31,6677.09,6677.09,0.0,"shl_bal=0.00, dscr=inf"
46,2052-06-30,7375.59,7375.59,0.0,"shl_bal=0.00, dscr=inf"
47,2052-12-31,6829.44,6829.44,0.0,"shl_bal=0.00, dscr=inf"
48,2053-06-30,7485.2,7485.2,0.0,"shl_bal=0.00, dscr=inf"
49,2053-12-31,6967.13,6967.13,0.0,"shl_bal=0.00, dscr=inf"
50,2054-06-30,7616.44,7616.44,0.0,"shl_bal=0.00, dscr=inf"
51,2054-12-31,7087.2,7087.2,0.0,"shl_bal=0.00, dscr=inf"
52,2055-06-30,7804.73,7804.73,0.0,"shl_bal=0.00, dscr=inf"
53,2055-12-31,7259.47,7259.47,0.0,"shl_bal=0.00, dscr=inf"
54,2056-06-30,7951.81,7951.81,0.0,"shl_bal=0.00, dscr=inf"
55,2056-12-31,7353.73,7353.73,0.0,"shl_bal=0.00, dscr=inf"
56,2057-06-30,8017.06,8017.06,0.0,"shl_bal=0.00, dscr=inf"
57,2057-12-31,7453.74,7453.74,0.0,"shl_bal=0.00, dscr=inf"
58,2058-06-30,8093.73,8093.73,0.0,"shl_bal=0.00, dscr=inf"
59,2058-12-31,7523.88,7523.88,0.0,"shl_bal=0.00, dscr=inf"
60,2059-06-30,8114.09,8114.09,0.0,"shl_bal=0.00, dscr=inf"
61,2059-12-31,7542.51,7542.51,0.0,"shl_bal=0.00, dscr=inf"
62,2060-01-01,56.12,56.12,0.0,"shl_bal=0.00, dscr=inf"
