year,Gap_CIT_kEUR,EBITDA_gap_kEUR,Dep_gap_kEUR,SHL_gap_kEUR,Senior_gap_kEUR,Loss_CF_kEUR
13,"+1,360",+11,+419,-72,-2,+739
14,+625,+8,+419,-28,-10,0
15,+622,-1,+419,-41,0,0
16,+627,+3,+419,-44,0,0
17,+623,-1,+419,-53,0,0
18,+618,-6,+419,-65,0,0
19,+613,-11,+419,0,0,0
20,+608,-16,+419,0,0,0
21,-21,-6,-219,0,0,0
22,-26,-11,-219,0,0,0
23,-32,-17,-219,0,0,0
24,-38,-23,-219,0,0,0
25,-45,-30,-219,0,0,0
26,-38,-23,-219,0,0,0
27,-45,-30,-219,0,0,0
28,-52,-38,-219,0,0,0
29,-60,-45,-219,0,0,0
30,-68,-54,-219,0,0,0
OBSERVED_RESIDUAL,"+5,271",,,,,
ATTRIBUTED,"+1,295",-289,"+1,159",-302,-12,+739
UNATTRIBUTED,"+3,977",(interaction / missing counterfactual),,,,
