period,date,shl_balance_keur,shl_interest_keur,shl_principal_keur,shl_pik_keur,equity_cf_keur,status,notes
2,2030-06-30,32703.69,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
3,2030-12-31,30889.97,1307.36,1813.72,0.00,0.00,CORRECTED,SHL balance correctly tracked
4,2031-06-30,28999.32,1214.72,1890.65,0.00,0.00,CORRECTED,SHL balance correctly tracked
5,2031-12-31,27001.75,1159.27,1997.57,0.00,0.00,CORRECTED,SHL balance correctly tracked
6,2032-06-30,24916.08,1064.77,2085.66,0.00,0.00,CORRECTED,SHL balance correctly tracked
7,2032-12-31,22724.35,993.32,2191.73,0.00,0.00,CORRECTED,SHL balance correctly tracked
8,2033-06-30,20438.75,893.61,2285.60,0.00,0.00,CORRECTED,SHL balance correctly tracked
9,2033-12-31,18023.89,817.06,2414.85,0.00,0.00,CORRECTED,SHL balance correctly tracked
10,2034-06-30,15522.62,708.77,2501.27,0.00,0.00,CORRECTED,SHL balance correctly tracked
11,2034-12-31,12879.91,620.53,2642.72,0.00,0.00,CORRECTED,SHL balance correctly tracked
12,2035-06-30,10114.19,506.49,2765.72,0.00,0.00,CORRECTED,SHL balance correctly tracked
13,2035-12-31,7192.07,404.32,2922.12,0.00,0.00,CORRECTED,SHL balance correctly tracked
14,2036-06-30,4134.45,283.61,3057.62,0.00,0.00,CORRECTED,SHL balance correctly tracked
15,2036-12-31,1140.66,164.83,2993.79,0.00,0.00,CORRECTED,SHL balance correctly tracked
16,2037-06-30,0.00,44.86,1140.66,0.00,0.00,CORRECTED,SHL balance correctly tracked
17,2037-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
18,2038-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
19,2038-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
20,2039-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
21,2039-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
22,2040-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
23,2040-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
24,2041-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
25,2041-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
26,2042-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
27,2042-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
28,2043-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
29,2043-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
30,2044-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
31,2044-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
32,2045-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
33,2045-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
34,2046-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
35,2046-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
36,2047-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
37,2047-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
38,2048-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
39,2048-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
40,2049-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
41,2049-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
42,2050-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
43,2050-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
44,2051-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
45,2051-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
46,2052-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
47,2052-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
48,2053-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
49,2053-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
50,2054-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
51,2054-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
