yr,half,col,PL_R13,PL_R16,CF_R40,gap40_vs_R16,PL_R24,PL_R27,PL_R30,PL_R32,PL_R34,PL_R35,PL_R36,PL_R37,PL_R41,PL_R43,CF_R67,CF_TI_noATAD,formula_gap
13,H1,32,1756.45,4352.48,6108.94,1756.45,318.92,1734.85,-2053.77,2298.72,0,2298.72,-5291.8,2298.72,0,0,0,4055.17,1756.45
13,H2,33,1785.56,4424.62,6210.19,1785.56,246.46,1703.16,-1949.62,2475.0,0,2475.0,-1807.29,1807.29,667.72,120.19,-120.19,4260.57,1785.56
14,H1,34,1756.45,4338.14,6094.6,1756.45,162.37,1617.32,-1779.69,2558.45,0,2558.45,1099.5,0,2558.45,0,0,4314.9,1756.45
14,H2,35,1785.56,4410.05,6195.61,1785.56,83.96,1577.67,-1661.63,2748.42,0,2748.42,2197.2,0,2748.42,955.24,-955.24,4533.99,1785.56
15,H1,36,1761.33,4430.51,6191.84,1761.33,0,1527.89,-1527.89,2902.62,0,2902.62,3152.6,0,2902.62,0,0,4663.95,1761.33
15,H2,37,1780.69,4479.19,6259.88,1780.69,0,1356.59,-1356.59,3122.61,0,3122.61,4106.0,0,3122.61,1084.54,-1084.54,4903.29,1780.69
16,H1,38,1756.45,4455.84,6212.29,1756.45,0,1182.98,-1182.98,3272.87,0,3272.87,4106.0,0,3272.87,0,0,5029.32,1756.45
16,H2,39,1785.56,4529.7,6315.26,1785.56,0,999.76,-999.76,3529.94,0,3529.94,4106.0,0,3529.94,1224.5,-1224.5,5315.5,1785.56
17,H1,40,1756.45,4665.83,6422.28,1756.45,0,821.16,-821.16,3844.67,0,3844.67,4106.0,0,3844.67,0,0,5601.12,1756.45
17,H2,41,1785.56,4743.16,6528.73,1785.56,0,608.89,-608.89,4134.28,0,4134.28,4106.0,0,4134.28,1436.21,-1436.21,5919.84,1785.56
18,H1,42,1756.45,4829.49,6585.95,1756.45,0,421.09,-421.09,4408.41,0,4408.41,4106.0,0,4408.41,0,0,6164.86,1756.45
18,H2,43,1785.56,4909.54,6695.11,1785.56,0,179.44,-179.44,4730.1,0,4730.1,4106.0,0,4730.1,1644.93,-1644.93,6515.66,1785.56
19,H1,44,1761.33,5003.76,6765.09,1761.33,0,0,0,5003.76,0,5003.76,4106.0,0,5003.76,0,0,6765.09,1761.33
19,H2,45,1780.69,5058.74,6839.43,1780.69,0,0,0,5058.74,0,5058.74,4106.0,0,5058.74,1811.25,-1811.25,6839.43,1780.69
20,H1,46,1756.45,5155.4,6911.85,1756.45,0,0,0,5155.4,0,5155.4,4106.0,0,5155.4,0,0,6911.85,1756.45
20,H2,47,1785.56,5240.84,7026.41,1785.56,0,0,0,5240.84,0,5240.84,4106.0,0,5240.84,1871.32,-1871.32,7026.41,1785.56
21,H1,48,0,7034.52,7034.52,0.0,0,0,2.73,7037.24,0,7037.24,4106.0,0,7037.24,0,0,7034.52,-2.73
21,H2,49,0,7151.11,7151.11,0.0,0,0,2.77,7153.88,0,7153.88,4106.0,0,7153.88,2554.4,-2554.4,7151.11,-2.77
22,H1,50,0,7199.56,7199.56,0.0,0,0,2.73,7202.29,0,7202.29,4106.0,0,7202.29,0,0,7199.56,-2.73
22,H2,51,0,7318.89,7318.89,0.0,0,0,2.77,7321.67,0,7321.67,4106.0,0,7321.67,2614.31,-2614.31,7318.89,-2.77
23,H1,52,0,7423.3,7423.3,0.0,0,0,2.73,7426.03,0,7426.03,4106.0,0,7426.03,0,0,7423.3,-2.73
23,H2,53,0,7504.87,7504.87,0.0,0,0,2.77,7507.64,0,7507.64,4106.0,0,7507.64,2688.06,-2688.06,7504.87,-2.77
24,H1,54,0,7549.77,7549.77,0.0,0,0,2.73,7552.49,0,7552.49,4106.0,0,7552.49,0,0,7549.77,-2.73
24,H2,55,0,7674.9,7674.9,0.0,0,0,2.77,7677.67,0,7677.67,4106.0,0,7677.67,2741.43,-2741.43,7674.9,-2.77
25,H1,56,0,7698.81,7698.81,0.0,0,0,2.73,7701.53,0,7701.53,4106.0,0,7701.53,0,0,7698.81,-2.73
25,H2,57,0,7826.41,7826.41,0.0,0,0,2.77,7829.18,0,7829.18,4106.0,0,7829.18,2795.53,-2795.53,7826.41,-2.77
26,H1,58,0,7867.93,7867.93,0.0,0,0,2.73,7870.66,0,7870.66,4106.0,0,7870.66,0,0,7867.93,-2.73
26,H2,59,0,7998.34,7998.34,0.0,0,0,2.77,8001.11,0,8001.11,4106.0,0,8001.11,2856.92,-2856.92,7998.34,-2.77
27,H1,60,0,8034.83,8034.83,0.0,0,0,2.73,8037.57,0,8037.57,4106.0,0,8037.57,0,0,8034.83,-2.73
27,H2,61,0,8123.13,8123.13,0.0,0,0,2.77,8125.89,0,8125.89,4106.0,0,8125.89,2909.42,-2909.42,8123.13,-2.77
28,H1,62,0,8120.43,8120.43,0.0,0,0,2.73,8123.15,0,8123.15,4106.0,0,8123.15,0,0,8120.43,-2.73
28,H2,63,0,8255.02,8255.02,0.0,0,0,2.77,8257.79,0,8257.79,4106.0,0,8257.79,2948.57,-2948.57,8255.02,-2.77
29,H1,64,0,8218.68,8218.68,0.0,0,0,2.73,8221.41,0,8221.41,4106.0,0,8221.41,0,0,8218.68,-2.73
29,H2,65,0,8354.9,8354.9,0.0,0,0,2.77,8357.67,0,8357.67,4106.0,0,8357.67,2984.23,-2984.23,8354.9,-2.77
30,H1,66,0,8261.71,8261.71,0.0,0,0,2.73,8264.44,0,8264.44,4106.0,0,8264.44,0,0,8261.71,-2.73
30,H2,67,0,8398.65,8398.65,0.0,0,0,2.77,8401.42,0,8401.42,4106.0,0,8401.42,2999.85,-2999.85,8398.65,-2.77
