canonical_concept,pack_id,model,cell_role,value_kind,unit,evidence_basis,mapping_verification_status,shared_source_id,review_note,status,confidence,verified_label_cell_tuho,verified_label_cell_oborovo,verified_value_cell_tuho,verified_value_cell_oborovo,verified_editable_cell_tuho,verified_editable_cell_oborovo,verified_formula_cell_tuho,verified_formula_cell_oborovo,verified_counterparty_label_cell_tuho,verified_counterparty_label_cell_oborovo,verified_formula_period_cell_tuho,verified_formula_period_cell_oborovo
bess.capacity_mwh,bess.capacity_mwh,OBOROVO,UNRESOLVED,unresolved,n/a,PROGRAMMATIC_WORKBOOK_INSPECTION,ABSENCE_CONFIRMED,,"BESS capacity (MWh): APPLICABLE_BESS, only Oborovo, not in registry. Not visible as an editable input cell in the source extraction. SOURCE_COORDINATE_UNRESOLVED.",APPLICABLE_BESS,UNRESOLVED,,,,,,,,,,,,
bess.cycles_per_year,bess.cycles_per_year,OBOROVO,UNRESOLVED,unresolved,n/a,PROGRAMMATIC_WORKBOOK_INSPECTION,ABSENCE_CONFIRMED,,"BESS cycles/year: APPLICABLE_BESS, only Oborovo, not in registry. Not visible as an editable input cell. SOURCE_COORDINATE_UNRESOLVED.",APPLICABLE_BESS,UNRESOLVED,,,,,,,,,,,,
bess.power_mw,bess.power_mw,OBOROVO,UNRESOLVED,unresolved,n/a,PROGRAMMATIC_WORKBOOK_INSPECTION,ABSENCE_CONFIRMED,,"BESS power (MW): APPLICABLE_BESS, only Oborovo, not in registry. Not visible as an editable input cell. SOURCE_COORDINATE_UNRESOLVED.",APPLICABLE_BESS,UNRESOLVED,,,,,,,,,,,,
bess.round_trip_efficiency,bess.round_trip_efficiency,OBOROVO,UNRESOLVED,unresolved,n/a,PROGRAMMATIC_WORKBOOK_INSPECTION,ABSENCE_CONFIRMED,,"BESS round-trip efficiency: APPLICABLE_BESS, only Oborovo, not in registry. Not visible as an editable input cell. SOURCE_COORDINATE_UNRESOLVED.",APPLICABLE_BESS,UNRESOLVED,,,,,,,,,,,,
debt.senior.all_in_rate_bps,debt.senior.all_in_rate_bps,BOTH,DERIVED_OUTPUT,numeric,bps,PROGRAMMATIC_WORKBOOK_INSPECTION,UNRESOLVED,,all_in_rate_bps is the user-entered all-in rate (mapped to registry project_setup.technical.interest_rate_pct). The pack column is display-only of the same single input. SOURCE_COORDINATE_UNRESOLVED as a separate editable cell.,DERIVED_FROM,CONFIRMED,,,,,,,,,,,,
debt.senior.margin_bps,debt.senior.margin_bps,BOTH,DERIVED_OUTPUT,numeric,bps,PROGRAMMATIC_WORKBOOK_INSPECTION,UNRESOLVED,,margin_bps is derived from interest_rate_pct (all-in - base). Not a separate user input. SOURCE_COORDINATE_UNRESOLVED as an editable cell.,DERIVED_FROM,CONFIRMED,,,,,,,,,,,,
equity.investor_1_share,equity.investor_1_share,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,Investor 1 ownership share is a C-column hardcode. Capital amount formulas are not ownership-share evidence.,ENGINE_GAP,CONFIRMED,A300,A317,C300,C317,C300,C317,,,,,,
equity.investor_2_share,equity.investor_2_share,BOTH,FORMULA_RESULT,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,Investor 2 ownership share is formula-derived and not user-editable.,ENGINE_GAP,CONFIRMED,A301,A318,,,,,C301,C318,,,,
equity.sponsor_share,equity.sponsor_share,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,Sponsor ownership share is a C-column hardcode. Capital amount formulas are not ownership-share evidence.,ENGINE_GAP,CONFIRMED,A298,A315,C298,C315,C298,C315,,,,,,
reserves.dsra,reserves.dsra,BOTH,DERIVED_OUTPUT,numeric,currency_keur,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,DSRA label and derived balance cells are recorded as label/formula evidence only. No editable DSRA balance cell is confirmed.,ENGINE_COMPUTED_OUTPUT,CONFIRMED,A327,A344,,,,,D346,D329,,,"D330,D331,D332","D347,D348,D349"
tax.legal_reserve_pct,tax.legal_reserve_pct,OBOROVO,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,Legal reserve cap is an Oborovo-only editable hardcode.,ENGINE_GAP,CONFIRMED,,A410,,D410,,D410,,,,,,
tax.loss_carryforward_max_years,tax.loss_carryforward_max_years,OBOROVO,EDITABLE_HARDCODE,numeric,years,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,Loss-carryforward maximum cap is an Oborovo-only editable hardcode and distinct from the registry runtime field.,ENGINE_GAP,CONFIRMED,,A407,,D407,,D407,,,,,,
