review_area,reviewer_type,owner,reviewer,review_status,current_status,evidence_complete,runtime_verified,governance_reviewed,governance_owner,stakeholder_decision_required,runtime_ready,evidence_ready,governance_ready,blocker_type,recommended_action,recommended_next_step,roadmap_owner,notes
Revenue,Commercial,Commercial,Commercial,IN_REVIEW,IN_REVIEW,no,yes,yes,Area owner,no,yes,no,yes,evidence,,,Phase 10 / Review,
CO2 / Balancing,Commercial / Audit,Commercial / Audit,Commercial / Audit,IN_REVIEW,IN_REVIEW,no,yes,yes,Governance,yes,yes,no,yes,evidence,None,None,Phase 10 / Review,Electricity revenue is the only revenue sub-line with strong committed evidence on both sides.
OPEX,Operations,Operations,Operations,IN_REVIEW,IN_REVIEW,yes,no,yes,Area owner,no,no,yes,yes,runtime_binding,Keep grouped unless a dedicated OPEX sub-line evidence branch is requested.,Keep grouped unless a dedicated OPEX sub-line evidence branch is requested.,Phase 10 / Review,Residual is documented rather than runtime-fixed here.
Senior Debt,Lender / Debt,Debt,Lender / Debt,READY_FOR_SIGNOFF,READY_FOR_SIGNOFF,yes,yes,yes,Area owner,no,yes,yes,yes,none,"Keep the opening balance row as a reconciliation aid and rely on principal, interest, and closing rows for authoritative debt behavior.","Keep the opening balance row as a reconciliation aid and rely on principal, interest, and closing rows for authoritative debt behavior.",Phase 10 / Review,No debt sizing rewrite is implied.
SHL,Sponsor / Audit,Sponsor / SHL,Sponsor / Audit,IN_REVIEW,IN_REVIEW,no,yes,yes,Area owner,no,yes,no,yes,evidence,"Treat this as an Excel-side evidence limitation and anchor review attention on principal, interest, and closing balance rows.","Treat this as an Excel-side evidence limitation and anchor review attention on principal, interest, and closing balance rows.",Phase 10 / Review,Missing evidence is not a zero opening balance.
Tax,Tax / Audit,Tax,Tax / Audit,IN_REVIEW,IN_REVIEW,no,yes,yes,Area owner,no,yes,no,yes,evidence,Use the Phase 6/9 depreciation evidence branches for any future ledger-level parity work.,Use the Phase 6/9 depreciation evidence branches for any future ledger-level parity work.,Phase 10 / Review,Explicitly kept separate from tax depreciation.
CFADS,Finance / Waterfall,Waterfall / Finance,Finance / Waterfall,GOVERNANCE_PENDING,GOVERNANCE_PENDING,no,yes,pending,Governance,yes,yes,no,no,governance,,,Phase 10 / Review,
Distributions,Governance / Sponsor,Governance / Sponsor,Governance / Sponsor,GOVERNANCE_PENDING,GOVERNANCE_PENDING,yes,yes,pending,Governance,yes,yes,yes,no,governance,Use runtime distribution as authoritative and keep DA staging separate.,Use runtime distribution as authoritative and keep DA staging separate.,Phase 10 / Review,No mixed flag-state values.
Returns,IC / Finance,Finance / Governance,IC / Finance,IN_REVIEW,IN_REVIEW,no,no,yes,Area owner,no,no,no,yes,evidence,None,None,Phase 10 / Review,See Total column for scalar value.
IRR Reporting,Finance / Governance,Finance / Governance,Finance / Governance,GOVERNANCE_PENDING,GOVERNANCE_PENDING,no,yes,yes,Governance,yes,yes,no,yes,evidence,None,None,Phase 10 / Review,This is not a runtime-calculation issue in the current review pack.
