step,phase,required,details,integrity_check
1,before_pilot,yes,"confirm current FINCO_DB_PATH and locate the active SQLite file","database path is known and writable"
2,before_pilot,yes,"stop the app before a manual cold backup when possible","no in-flight write concern during manual copy"
3,before_pilot,yes,"copy SQLite database file and WAL/SHM sidecars if present","backup contains db db-wal and db-shm when available"
4,before_pilot,yes,"copy locally retained workbook exports and generated review artifacts if they matter to the pilot session","operator artifact folder preserved"
5,before_pilot,yes,"copy local .env or equivalent environment file if used outside source control","environment can be recreated after restore"
6,after_pilot,yes,"repeat database and artifact backup after the session","latest saved scenario and export lineage state preserved"
7,before_destructive_change,yes,"take a fresh backup before replacing files or extracting a ZIP publish package","rollback point exists"
8,restore,yes,"stop the app before restoring backed-up files","app is not writing during restore"
9,restore,yes,"copy the database and sidecar files back into the active storage path","sqlite files restored in place"
10,restore,yes,"restore local artifacts and local environment file if used","operator context restored"
11,restore,yes,"restart the app with the expected pilot environment variables","app can start after restore"
12,restore,yes,"run the pilot smoke checklist after restore","restored environment is usable"
13,post_restore_check,yes,"verify saved scenario list is visible","scenario list loads"
14,post_restore_check,yes,"verify a saved scenario can load","saved boundary still readable"
15,post_restore_check,yes,"verify runtime summary is visible where expected","last clean runtime boundary still readable"
16,post_restore_check,yes,"verify export lineage and provenance remain readable","descriptive export context still visible"
17,guardrail,yes,"treat backup and restore as operational recovery only","backup restore is not audit replay and not replay-engine behavior"
