section,metric,period,excel_value,model_value,delta,severity,classification,likely_root_cause,recommended_action,source_note
OPEX,OPEX,15,1214.3854,1158.0162,-56.3692,WARN,calibration_tolerance,OPEX drift from inflation treatment or currency convention,Review opex engine assumptions,"Excel=1214.39, Model=1158.02, Δ=4.64%"
Senior Debt,Closing Balance,15,26949.3594,27955.4171,1006.0577,FAIL,calibration_breach,Senior closing balance >0.5% off — waterfall timing or rounding,Check waterfall closing balance vs DS schedule,"Excel=26949.36, Model=27955.42"
SHL,Closing Balance,15,1044.9569,35659.326,34614.3691,FAIL,calibration_breach,SHL closing balance gap — PIK timing difference between model and Excel,Documented in phase9_shl_period_bridge.csv classification=principal_timing_gap,"Excel=1044.96, Model=35659.33, Δ=3312.52%"
SHL,Closing Balance,29,1577.4858,33339.7358,31762.25,FAIL,calibration_breach,SHL closing balance gap — PIK timing difference between model and Excel,Documented in phase9_shl_period_bridge.csv classification=principal_timing_gap,"Excel=1577.49, Model=33339.74, Δ=2013.47%"
OPEX,OPEX,45,1604.0007,1651.7107,47.71,WARN,calibration_tolerance,OPEX drift from inflation treatment or currency convention,Review opex engine assumptions,"Excel=1604.00, Model=1651.71, Δ=2.97%"
Tax,Taxable Income (R35),P1-P61,MISSING_EVIDENCE,see runtime,N/A,INFO,MISSING_EVIDENCE,Excel: not in period_bridge CSV; separate phase6 R35 xlsx extraction needed,Excel: not in period_bridge CSV; separate phase6 R35 xlsx extraction needed,Source: MISSING_EVIDENCE
Tax,CIT Cash (R67),P1-P61,MISSING_EVIDENCE,see runtime,N/A,INFO,MISSING_EVIDENCE,Excel: not in period_bridge CSV; model: live runtime available,Excel: not in period_bridge CSV; model: live runtime available,Source: MISSING_EVIDENCE
CFADS,CFADS (R69),P1-P61,MISSING_EVIDENCE,see runtime,N/A,INFO,MISSING_EVIDENCE,Excel: not in period_bridge CSV; model: live runtime available,Excel: not in period_bridge CSV; model: live runtime available,Source: MISSING_EVIDENCE
Revenue,CO2 Revenue,P1-P61,MISSING_EVIDENCE,see runtime,N/A,INFO,partial evidence,Excel: not separately mapped in committed fixture; model: partial evidence via revenue_decomposition,Excel: not separately mapped in committed fixture; model: partial evidence via revenue_decomposition,Source: partial evidence
Revenue,Balancing,P1-P61,MISSING_EVIDENCE,see runtime,N/A,INFO,partial evidence,Excel: not separately mapped; model: revenue_decomposition balancing cost field,Excel: not separately mapped; model: revenue_decomposition balancing cost field,Source: partial evidence
Operations,Availability,P1-P61,MISSING_EVIDENCE,see runtime,N/A,INFO,MISSING_EVIDENCE,Excel: not in committed fixture; model: not mapped,Excel: not in committed fixture; model: not mapped,Source: MISSING_EVIDENCE
Governance,G20,ALL,BLOCKED,BLOCKED,N/A,WARN,BLOCKER,"0.29pp equity IRR residual, requires stakeholder approval. NOT approved in this phase.","0.29pp equity IRR residual, requires stakeholder approval. NOT approved in this phase.",UNCHANGED from Phase 9 closeout
Governance,R99 — Distribution Account flag,ALL,NOT APPROVED,NOT APPROVED,N/A,WARN,NOT APPROVED,R99/R102 source not fully wired in runtime; requires DA promotion design,R99/R102 source not fully wired in runtime; requires DA promotion design,UNCHANGED from Phase 9 closeout
Governance,R102 — SHL balance trigger,ALL,NOT APPROVED,NOT APPROVED,N/A,WARN,NOT APPROVED,R102 depends on R99 DA state; SHL balance trigger not fully validated,R102 depends on R99 DA state; SHL balance trigger not fully validated,UNCHANGED from Phase 9 closeout
