period,date,legacy_distribution_keur,da_distribution_keur,delta_keur,cumulative_delta_keur,primary_blocking_gate,blocked_reason,blocked_details,actual_dscr,target_dscr,period_index,senior_tenor_years,dsra_balance_keur,dsra_target_keur,jdsra_balance_keur,jdsra_target_keur,cash_available_keur,classification,notes
2,2030-06-30,3070.19,0.0,-3070.19,-3070.19,R99/R102/LOCKUP,DA equity_paid=0; legacy>0; gate or lockup blocked,DA equity_paid=0; legacy>0; gate or lockup blocked,inf,1.0,1,14,0,0,0,0,3070.19,ZEROED_BY_DA,lockup_active=False
3,2030-12-31,3121.08,0.0,-3121.08,-6191.28,R99/R102/LOCKUP,DA equity_paid=0; legacy>0; gate or lockup blocked,DA equity_paid=0; legacy>0; gate or lockup blocked,inf,1.0,2,14,0,0,0,0,3121.08,ZEROED_BY_DA,lockup_active=False
4,2031-06-30,3105.37,0.0,-3105.37,-9296.65,R99/R102/LOCKUP,DA equity_paid=0; legacy>0; gate or lockup blocked,DA equity_paid=0; legacy>0; gate or lockup blocked,inf,1.0,1,14,0,0,0,0,3105.37,ZEROED_BY_DA,lockup_active=False
5,2031-12-31,3156.84,0.0,-3156.84,-12453.49,R99/R102/LOCKUP,DA equity_paid=0; legacy>0; gate or lockup blocked,DA equity_paid=0; legacy>0; gate or lockup blocked,inf,1.0,2,14,0,0,0,0,3156.84,ZEROED_BY_DA,lockup_active=False
6,2032-06-30,3150.43,0.0,-3150.43,-15603.92,R99/R102/LOCKUP,DA equity_paid=0; legacy>0; gate or lockup blocked,DA equity_paid=0; legacy>0; gate or lockup blocked,inf,1.0,1,14,0,0,0,0,3150.43,ZEROED_BY_DA,lockup_active=False
7,2032-12-31,3185.05,0.0,-3185.05,-18788.98,R99/R102/LOCKUP,DA equity_paid=0; legacy>0; gate or lockup blocked,DA equity_paid=0; legacy>0; gate or lockup blocked,inf,1.0,2,14,0,0,0,0,3185.05,ZEROED_BY_DA,lockup_active=False
8,2033-06-30,3179.22,0.0,-3179.22,-21968.19,R99/R102/LOCKUP,DA equity_paid=0; legacy>0; gate or lockup blocked,DA equity_paid=0; legacy>0; gate or lockup blocked,inf,1.0,1,14,0,0,0,0,3179.22,ZEROED_BY_DA,lockup_active=False
9,2033-12-31,3231.91,0.0,-3231.91,-25200.11,R99/R102/LOCKUP,DA equity_paid=0; legacy>0; gate or lockup blocked,DA equity_paid=0; legacy>0; gate or lockup blocked,inf,1.0,2,14,0,0,0,0,3231.91,ZEROED_BY_DA,lockup_active=False
10,2034-06-30,3210.04,0.0,-3210.04,-28410.15,R99/R102/LOCKUP,DA equity_paid=0; legacy>0; gate or lockup blocked,DA equity_paid=0; legacy>0; gate or lockup blocked,inf,1.0,1,14,0,0,0,0,3210.04,ZEROED_BY_DA,lockup_active=False
11,2034-12-31,3263.25,0.0,-3263.25,-31673.4,R99/R102/LOCKUP,DA equity_paid=0; legacy>0; gate or lockup blocked,DA equity_paid=0; legacy>0; gate or lockup blocked,inf,1.0,2,14,0,0,0,0,3263.25,ZEROED_BY_DA,lockup_active=False
