setting_or_issue,required,default_if_absent,pilot_recommendation,risk_if_misconfigured,affects_area,notes
FINCO_SECRET_KEY,required,"dev-secret-please-change-in-production","set explicitly for every pilot environment","insecure session signing and warning on startup","auth","required in production and strongly recommended in pilot"
FINCO_ADMIN_USER,optional,"admin","set explicitly if operator wants non-default username","login confusion only if operator assumes a different username","auth","single-user auth only"
FINCO_ADMIN_PASSWORD,required_unless_hash_set,"fincoGPT2026!","set explicitly and do not rely on default","unsafe default credential posture","auth","overridden by FINCO_ADMIN_PASSWORD_HASH if hash is present"
FINCO_ADMIN_PASSWORD_HASH,optional,"not set","prefer for managed environments if bcrypt support exists","plain-password env handling if omitted","auth","hash path depends on bcrypt availability"
FINCO_SESSION_HOURS,optional,"24","keep explicit for pilot if shorter or longer sessions are desired","unexpected session expiry timing","auth","session TTL only"
FINCO_COOKIE_SECURE,optional,"true","set false for localhost HTTP pilot, true for HTTPS environments","login cookie may not work on local HTTP if left true","auth","does not affect runtime authority"
FINCO_COOKIE_SAMESITE,optional,"lax","leave default unless a controlled environment needs different cookie behavior","unexpected login or csrf behavior if changed carelessly","auth","cookie transport behavior only"
FINCO_CSRF_SECRET,optional,"same as FINCO_SECRET_KEY","leave aligned with FINCO_SECRET_KEY unless there is a clear operational need","csrf token confusion if rotated inconsistently","auth","login form protection only"
FINCO_DB_PATH,optional,"app/data/finco_runs.db","set explicitly for pilot if storage path should live outside repo tree","scenario and export tracking unavailable if path is unwritable","persistence","does not promote persistence into runtime authority"
FINCO_LOG_LEVEL,optional,"INFO","leave INFO for pilot unless deeper diagnostics are needed","too little or too much stdout logging","diagnostics","logging only"
python_version,required,"none","use Python 3.11+","dependency or runtime incompatibility","environment","runbook scope only"
requirements_txt_install,required,"none","install all listed dependencies into the active environment","app may not start","environment","fastapi uvicorn httpx pydantic"
openpyxl_availability,optional_for_app_required_for_some_tests,"not guaranteed","ensure available for workbook-oriented validation or use bundled spreadsheet package path","workbook tests may fail during collection or execution","tests","app runtime export path itself is separate from test dependency posture"
bcrypt_runtime_dependency,required_for_real_password_hash_flow,"not guaranteed in constrained local environments","ensure available in real deployment; use test shim only for tests","auth import/runtime issues in bare local test environments","auth","tests/conftest.py shim is test-only"
fastapi_dependency,required,"not installed unless environment is prepared","install via requirements before run or test client usage","app cannot start or tests cannot import app","app_and_tests","core framework dependency"
git_ref_lock_permission_issue,known_environment_issue,"n/a","use ZIP publish fallback when direct branch publication is blocked","local publish workflow friction","operations","does not affect app runtime"
pytest_cache_permission_warning,known_environment_issue,"n/a","treat as non-blocking unless it masks a real failure","noisy test output only","tests","warning observed in this workspace"
bundled_spreadsheet_package_path_issue,known_environment_issue,"n/a","use bundled package path for workbook tests in constrained environments","false-negative workbook test failures","tests","environment issue not product bug"
test_bcrypt_shim_status,known_test_harness_state,"enabled only when bcrypt module is absent","leave as test-only collection aid","misunderstanding test shim as production auth behavior","tests","does not change production behavior"
