period_index,period_label,year_index,half_year,excel_cf_r38_keur,python_flat_keur,python_actual_day_keur,python_current_projection_keur,delta_flat_keur,delta_actual_day_keur,delta_current_projection_keur,best_method,status,notes
1,Y01-H1,1,1,990.8123,999.0235,990.8123,990.8123,8.2112,0.0000,0.0000,ACTUAL_DAY,EXACT,
2,Y01-H2,1,2,1007.2347,999.0235,1007.2347,1007.2347,-8.2112,-0.0000,-0.0000,ACTUAL_DAY,EXACT,
3,Y02-H1,2,1,1006.5748,1014.9166,1006.5748,1006.5748,8.3418,-0.0000,-0.0000,ACTUAL_DAY,EXACT,
4,Y02-H2,2,2,1023.2584,1014.9166,1023.2584,1023.2584,-8.3418,0.0000,0.0000,ACTUAL_DAY,EXACT,
5,Y03-H1,3,1,1067.6613,1073.5276,1070.5864,1070.5864,5.8663,2.9251,2.9251,ACTUAL_DAY,PASS_STRICT,leap=True
6,Y03-H2,3,2,1079.3939,1073.5276,1076.4688,1076.4688,-5.8663,-2.9251,-2.9251,ACTUAL_DAY,PASS_STRICT,leap=True
7,Y04-H1,4,1,1081.1034,1090.0628,1081.1034,1081.1034,8.9594,0.0000,0.0000,ACTUAL_DAY,EXACT,
8,Y04-H2,4,2,1099.0222,1090.0628,1099.0222,1099.0222,-8.9594,0.0000,0.0000,ACTUAL_DAY,EXACT,
9,Y05-H1,5,1,1097.8306,1106.9287,1097.8306,1097.8306,9.0980,0.0000,0.0000,ACTUAL_DAY,EXACT,
10,Y05-H2,5,2,1116.0267,1106.9287,1116.0267,1116.0267,-9.0980,0.0000,0.0000,ACTUAL_DAY,EXACT,
11,Y06-H1,6,1,1179.2312,1189.0039,1179.2312,1179.2312,9.7726,0.0000,0.0000,ACTUAL_DAY,EXACT,
12,Y06-H2,6,2,1198.7765,1189.0039,1198.7765,1198.7765,-9.7726,0.0000,0.0000,ACTUAL_DAY,EXACT,
13,Y07-H1,7,1,1199.9580,1206.5512,1203.2455,1203.2455,6.5932,3.2876,3.2876,ACTUAL_DAY,PASS_STRICT,leap=True
14,Y07-H2,7,2,1213.1443,1206.5512,1209.8568,1209.8568,-6.5932,-3.2876,-3.2876,ACTUAL_DAY,PASS_STRICT,leap=True
15,Y08-H1,8,1,1214.3854,1224.4494,1214.3854,1214.3854,10.0640,0.0000,0.0000,ACTUAL_DAY,EXACT,
16,Y08-H2,8,2,1234.5134,1224.4494,1234.5134,1234.5134,-10.0640,0.0000,0.0000,ACTUAL_DAY,EXACT,
17,Y09-H1,9,1,1232.4916,1242.7056,1232.4916,1232.4916,10.2140,0.0000,0.0000,ACTUAL_DAY,EXACT,
18,Y09-H2,9,2,1252.9196,1242.7056,1252.9196,1252.9196,-10.2140,0.0000,0.0000,ACTUAL_DAY,EXACT,
19,Y10-H1,10,1,1250.9598,1261.3269,1250.9598,1250.9598,10.3671,0.0000,0.0000,ACTUAL_DAY,EXACT,
20,Y10-H2,10,2,1271.6940,1261.3269,1271.6940,1271.6940,-10.3671,0.0000,0.0000,ACTUAL_DAY,EXACT,
21,Y11-H1,11,1,1294.4085,1301.5206,1297.9548,1297.9548,7.1121,3.5463,3.5463,ACTUAL_DAY,PASS_STRICT,leap=True
22,Y11-H2,11,2,1308.6328,1301.5206,1305.0864,1305.0864,-7.1121,-3.5463,-3.5463,ACTUAL_DAY,PASS_STRICT,leap=True
23,Y12-H1,12,1,1310.0376,1320.8942,1310.0376,1310.0376,10.8567,0.0000,0.0000,ACTUAL_DAY,EXACT,
24,Y12-H2,12,2,1331.7509,1320.8942,1331.7509,1331.7509,-10.8567,0.0000,0.0000,ACTUAL_DAY,EXACT,
25,Y13-H1,13,1,1329.6362,1340.6553,1329.6362,1329.6362,11.0191,0.0000,0.0000,ACTUAL_DAY,EXACT,
26,Y13-H2,13,2,1351.6744,1340.6553,1351.6744,1351.6744,-11.0191,0.0000,0.0000,ACTUAL_DAY,EXACT,
27,Y14-H1,14,1,1349.6269,1360.8116,1349.6269,1349.6269,11.1848,0.0000,0.0000,ACTUAL_DAY,EXACT,
28,Y14-H2,14,2,1371.9964,1360.8116,1371.9964,1371.9964,-11.1848,0.0000,0.0000,ACTUAL_DAY,EXACT,
29,Y15-H1,15,1,1359.9125,1367.3846,1363.6383,1363.6383,7.4720,3.7258,3.7258,ACTUAL_DAY,PASS_STRICT,leap=True
30,Y15-H2,15,2,1374.8566,1367.3846,1371.1308,1371.1308,-7.4720,-3.7258,-3.7258,ACTUAL_DAY,PASS_STRICT,leap=True
31,Y16-H1,16,1,1401.8975,1413.5155,1401.8975,1401.8975,11.6179,0.0000,0.0000,ACTUAL_DAY,EXACT,
32,Y16-H2,16,2,1425.1334,1413.5155,1425.1334,1425.1334,-11.6179,0.0000,0.0000,ACTUAL_DAY,EXACT,
