section,metric,classification,status,delta_total,root_cause,recommended_action,governance_impact,notes
Revenue,Electricity Revenue,PASS,OK,56.12442608480342,,,None,
Revenue,CO2 Revenue,MISSING_EVIDENCE,REVIEW,N/A,Committed Excel extracts and runtime period fields do not expose CO2 separately.,Keep as explicit evidence gap or add a dedicated CO2 source map branch.,Stakeholder review only,Do not silently roll this into zero or total revenue.
Revenue,Balancing Revenue,MISSING_EVIDENCE,REVIEW,N/A,Balancing remains outside the committed extraction set and runtime summary exports.,Treat as sub-line follow-up only if stakeholders require separate mapping.,None,Total revenue remains the authoritative comparable line.
Revenue,Total Revenue,PASS,OK,56.12442608480342,,,None,
OPEX,Total OPEX,WARN,REVIEW,733.4953951426869,Known local-tax and minor-row grouping residual from prior calibration review.,Keep grouped unless a dedicated OPEX sub-line evidence branch is requested.,None,Residual is documented rather than runtime-fixed here.
OPEX,Contingency,RUNTIME_BINDING_PENDING,REVIEW,N/A,Contingency is baked into deterministic OPEX logic but not exported as a separate period row.,Add reporting-only breakout if lenders require contingency visibility.,Presentation only,Do not treat missing breakout as a zero contingency.
OPEX,EBITDA,PASS,OK,-677.370969057898,,,None,
Senior Debt,Opening Balance,WARN,REVIEW,25146.29258193518,The committed Excel bridge and runtime schedule do not share the same opening-balance cut point for the operational horizon.,"Keep the opening balance row as a reconciliation aid and rely on principal, interest, and closing rows for authoritative debt behavior.",Review only,No debt sizing rewrite is implied.
Senior Debt,Interest,WARN,REVIEW,-355.4283885138502,A small timing and day-count residual remains between the committed Excel extract and runtime debt schedule.,Document as a minor review residual unless lenders ask for a debt-source extraction refresh.,Review only,The residual is small relative to total debt service.
Senior Debt,Principal Repayment,WARN,REVIEW,0.46943188410659786,The tiny principal delta is rounding-level drift between the committed extract and runtime precision.,Treat as immaterial unless an exact tie-out is required for a formal audit appendix.,None,No runtime debt behavior change is needed.
Senior Debt,Debt Service,WARN,REVIEW,-354.95895662973635,Debt service inherits the same minor interest timing residual visible in the senior interest row.,Keep this as a transparent review delta rather than a model-fix candidate.,Review only,Derived from existing interest and principal rows.
Senior Debt,Closing Balance,WARN,REVIEW,25145.82315005106,Closing balance drift follows from the opening-balance cut-point difference carried through the operational bridge.,Use this row for reviewer traceability only; core runtime debt outputs remain unchanged.,Review only,No runtime change implied.
Senior Debt,DSCR,WARN,REVIEW,N/A,Distribution and downstream cash staging conventions still create a documented DSCR residual versus Excel.,Keep as calibration transparency item; do not rewrite debt logic in this branch.,G20 review context,"Known review residual, not a debt sizing bug."
