field_name,producing_module,consuming_module,unit,sign_convention,timing,default_value,blocked_behavior,runtime_behavior,validation_required,notes
equity_distribution_paid_keur,DistributionAccountEngine,SponsorCashflowRunner,kEUR,positive (inflow to sponsor),period-end,0.0,Audit candidate computed but not routed; sponsor receives 0.0; blocked_reasons=["R99_BLOCKED"],If R99 passes: pass explicit equity_distribution_paid_keur to SponsorEngine as distribution_received_keur; sponsor IRR recomputed from explicit inputs,Gate G15: sponsor handoff designed; G16: sponsor handoff validated,Primary contract field; 0.0 when blocked; >0 when promoted; must match equity_distribution_candidate_keur when gates pass
equity_distribution_candidate_keur,DistributionAccountEngine,N/A (audit only),kEUR,positive,period-end,N/A,Audit value only; not routed to SponsorEngine; available in audit rows,N/A (audit-only),N/A,Max possible distribution before gate evaluation; used for audit reconciliation; not passed downstream
distribution_received_keur,SponsorCashflowRunner,N/A (input parameter),kEUR,positive (inflow),period-end,0.0,SponsorCashflowRunner receives 0.0; holdco_distribution_by_period path used instead,Receive explicit equity_distribution_paid_keur from DistributionAccount; treat as cash inflow; update capital account balance,G16: sponsor handoff validated,Explicit input to SponsorCashflowRunner; replaces holdco_distribution_by_period when promoted; sign: always >= 0
equity_injected_keur,ProjectInputs,SponsorCashflowRunner,kEUR,negative (outflow),period 0 + construction,0.0,N/A (project inputs, not affected by DistributionAccount),N/A (project inputs),N/A,Existing sponsor equity injections; unchanged by DistributionAccount promotion
wht_on_distribution_keur,SponsorCashflowRunner,N/A (output),kEUR,negative (outflow),same period as distribution,0.0,Computed as 0 when distribution_received_keur=0,Computed as distribution_received_keur * wht_rate when distribution_received_keur>0,N/A,Withholding tax; SponsorCashflowRunner-owned calculation; independent of DistributionAccount gate
net_cashflow_keur,SponsorCashflowRunner,N/A (output),kEUR,positive or negative,period-end,0.0,Equals -equity_injected_keur when distribution=0,Equals distribution_received_keur - equity_injected_keur - wht_on_distribution_keur,N/A,SponsorCashflowRunner-owned; net sponsor cashflow per period
capital_account_balance_keur,SponsorCashflowRunner,N/A (output),kEUR,positive or negative,period-end,0.0,Cumulative equity injections - distributions when distribution=0,Updated each period: prior_balance + equity_injected_keur - distribution_received_keur - wht,N/A,SponsorCashflowRunner-owned; cumulative balance; may go negative in return phase
blocked_reasons,DistributionAccountEngine,N/A (audit only),N/A,N/A,period-end,[],List of active block reasons (e.g., ["R99_BLOCKED","OBOROVO_NOT_SUPPORTED"]),Empty list when all gates pass and runtime enabled,N/A,Audit field only; not passed to SponsorEngine; for reconciliation
is_oborovo,ProjectInfo,DistributionAccountEngine,boolean,N/A,per project,N/A,Oborovo guard active; equity_distribution_paid_keur=0.0; blocked_reasons includes OBOROVO_NOT_SUPPORTED,N/A,Oborovo guard; DistributionAccount-owned gate; prevents TUHO-specific distribution assumptions on Oborovo
enable_distribution_account_runtime,ProjectInfo,DistributionAccountEngine,boolean,N/A,per project,False,DistributionAccount in audit-only mode; no downstream routing,DistributionAccount passes explicit equity_distribution_paid_keur to SponsorEngine when True,G12 (future),Default-off kill-switch; must pass cross-module validation before enabling
