evidence_id,evidence_name,required_before,current_status,source_file,acceptable_threshold,missing_work,notes
E01,default-off zero drift,implementation,AVAILABLE,/root/.openclaw/workspace/finco1/reports/phase9_distributionaccount_runtime_wiring_validation.csv,distribution_total delta < 1 kEUR between flag=False and legacy,"none — E01 satisfied",TUHO flag=False produces 326,165 kEUR vs legacy 326,165 kEUR. Delta = 0.00. E01 PASS.
E02,TUHO DA-runtime distribution delta,implementation,AVAILABLE,/root/.openclaw/workspace/finco1/reports/phase9_distributionaccount_runtime_wiring_validation.csv,"delta between -44,000 and -40,000 kEUR",none — E02 satisfied,"TUHO flag=True produces 284,552 kEUR. Delta = -41,613 kEUR (13 lockup periods zeroed). E02 PASS."
E03,DSCR stability under DA runtime wiring,implementation,G07_PARTIAL,app/waterfall_core.py,"DSCR >= 1.0 for all periods under both flag=False and flag=True configurations; DSCR_stability < 0.1 variation between configurations","Full DSCR time-series comparison not yet measured","DSCR stability is measured gate G07. Not yet complete. Requires full tenor run with DSCR comparison between flag=False and flag=True."
E04,sponsor cashflow consistency,G20,NOT_STARTED,domain/sponsor/sponsor_cashflow_runner.py,"sponsor received distributions consistent with DA paid when distribution_account_received_by_period is provided","Sponsor cashflow test with DA wiring not yet run","SponsorEngine does not recompute R99/R102 gates. Cashflow consistency with DA paid amounts needs validation."
E05,SHL R102 unaffected by DA wiring,implementation,AVAILABLE,/root/.openclaw/workspace/finco1/reports/phase9_phasec_gate_refresh.csv,SHL R102 sweep candidate unchanged between flag=False and flag=True configurations,"none — E05 satisfied","SHL R102 input (distribution_account_r102_sweep_candidate_keur) implemented separately. SHL sweep logic unchanged. E05 PASS."
E06,TaxBridge combination behavior (DA wiring + TaxBridge),implementation,AVAILABLE,domain/financial_statements/tax_bridge.py and app/waterfall_core.py,"TaxBridge cash source reconciled with runtime in all dual-run configurations","none — E06 satisfied","TaxBridge dual-run reconciliation complete. PR #150 merged. Cash source dual-run validation shows cash_source agreement. E06 PASS."
E07,Oborovo guard,implementation,AVAILABLE,app/waterfall_core.py (_apply_distributionaccount_runtime_wiring),Oborovo distribution unchanged when use_distributionaccount_runtime_wiring=True,"none — E07 satisfied","Oborovo guard fires and blocks runtime wiring. distribution_keur unchanged (181,019 kEUR). Guard documented. E07 PASS."
E08,no hidden dual ownership,implementation,AVAILABLE,/root/.openclaw/workspace/finco1/reports/phase9_phasec_runtime_validation_matrix.csv,"no period where distribution_account balance and legacy distribution both non-zero","none — E08 satisfied","Dual-run comparison validates distribution_account balance and legacy distribution are mutually exclusive in same period. E08 PASS."
E09,rollback behavior,implementation,AVAILABLE,/root/.openclaw/workspace/finco1/tests/test_phase9_distributionaccount_runtime_wiring.py,"flag=False behavior bit-identical to pre-flag behavior; rollback killswitch trivially available by setting flag=False","none — E09 satisfied","Default-off flag provides rollback. flag=False is bit-identical to legacy. E09 PASS."
E10,Excel parity / calibration expectations,G20,PARTIAL,calibration_reference_FINAL.xlsx and tuho_usporedba.xlsx,"TUHO equity IRR within ±1.0pp of Excel (11.61%); Project IRR within ±0.5pp of Excel (9.47%); Avg DSCR within ±0.05 of Excel (1.451)","Current TUHO equity IRR = 11.81% (within ±1.0pp); Project IRR = 10.46% (+0.99pp above tolerance); Avg DSCR = 1.682 (+0.231 above tolerance)","TUHO equity IRR calibrated. Project IRR and Avg DSCR need attention. G08 PARTIAL. Excel parity for G20 promotion requires full parity."
E11,R99 gate activation evidence,implementation,AVAILABLE,domain/distribution_account/gates.py and domain/distribution_account/engine.py,"R99 gate activates when runtime_economic_mode=True or audit_economic_mode=True; blocked when both False","none — E11 satisfied","gate_active = audit_economic_mode OR runtime_economic_mode. R99 gate logic verified. E11 PASS."
E12,R102 gate activation evidence,implementation,AVAILABLE,domain/distribution_account/gates.py and domain/distribution_account/engine.py,"R102 gate activates when runtime_economic_mode=True or audit_economic_mode=True; blocked when both False","none — E12 satisfied","R102 gate same activation logic. E12 PASS."
E13,audit_economic_mode never routed to runtime,implementation,AVAILABLE,domain/distribution_account/gates.py and app/waterfall_core.py,"audit_economic_mode output never appears in runtime distribution_keur path","none — E13 satisfied","PR #153 separated audit_economic_mode from runtime_economic_mode. _apply_distributionaccount_runtime_wiring uses runtime_economic_mode=True only. E13 PASS."
E14,runtime_economic_mode documented as staging,implementation,AVAILABLE,docs/phase9_audit_economic_mode_contract_reconciliation.md and docs/phase9_r99_r102_runtime_flag_design_review.md,"runtime_economic_mode described as pre-G20 staging, not G20 promotion","none — E14 satisfied","runtime_economic_mode documented as staging-only. E14 PASS."
E15,SeniorDebtSizing dependency mapped,implementation,PARTIAL,domain/waterfall/waterfall_engine.py and app/waterfall_core.py,"SeniorDebtSizing engine wired to run_waterfall_v3_core; impact of SeniorDebtSizing on distribution boundary documented","SeniorDebtSizing engine exists but not yet validated in combination with DA wiring","SeniorDebtSizing PARTIAL. Impact on distribution boundary not yet documented for G20 promotion."
