dimension,score_1_to_10,rationale
guided_internal_pilot_workflow,9,"Core workflow is repository-verified end to end and supported by handoff and runbook materials."
browser_htmx_confidence,7,"Strongest-available smoke verification exists, but full live-browser automation remains future work."
deployment_runbook_readiness,8,"Single-user guided pilot runbook, backup/restore steps, and smoke checklist exist."
workbook_numeric_trust,8,"Representative institutional workbook metrics are validated against backend runtime outputs."
reviewer_handoff_clarity,8,"Reviewer quickstart, governance interpretation, and no-claims guidance are documented."
feedback_triage_readiness,8,"Issue template, session log, category model, and triage workflow exist."
test_quality,8,"Highest-value marker tests were upgraded where practical, with remaining gaps documented honestly."
runtime_authority_discipline,9,"Runtime remains backend-owned and unchanged through Phase 15."
export_workbook_authority_discipline,9,"Export, provenance, cover notes, and lineage remain descriptive only."
governance_discipline,9,"G20 remains BLOCKED and R99/R102 remain NOT APPROVED with no softening."
external_pilot_readiness,6,"Possible only with documented limitations and without broader production claims."
lender_audit_readiness,2,"Still not lender-ready and not audit-certified."
multi_user_saas_readiness,2,"No multi-user role model, approval workflow, or SaaS operating posture."
