yr,half,op_idx,col,ex_pl13,ex_dep30,ex_dep31,py_book,py_tax,py_legacy
13,H1,24,32,1756.45,1756.45,1752.76,1216.56,1178.19,1168.51
13,H2,25,33,1785.56,1785.56,1781.81,1216.56,1178.19,1187.88
14,H1,26,34,1756.45,1756.45,1752.76,1216.56,1178.19,1168.51
14,H2,27,35,1785.56,1785.56,1781.81,1216.56,1178.19,1187.88
15,H1,28,36,1761.33,1761.33,1757.63,1216.56,1178.19,1171.75
15,H2,29,37,1780.69,1780.69,1776.95,1216.56,1178.19,1184.63
16,H1,30,38,1756.45,1756.45,1752.76,1216.56,1178.19,1168.51
16,H2,31,39,1785.56,1785.56,1781.81,1216.56,1178.19,1187.88
17,H1,32,40,1756.45,1756.45,1752.76,1216.56,1178.19,1168.51
17,H2,33,41,1785.56,1785.56,1781.81,1216.56,1178.19,1187.88
18,H1,34,42,1756.45,1756.45,1752.76,1216.56,1178.19,1168.51
18,H2,35,43,1785.56,1785.56,1781.81,1216.56,1178.19,1187.88
19,H1,36,44,1761.33,1761.33,1757.63,1216.56,1178.19,1171.75
19,H2,37,45,1780.69,1780.69,1776.95,1216.56,1178.19,1184.63
20,H1,38,46,1756.45,1756.45,1752.76,1216.56,1178.19,1168.51
20,H2,39,47,1785.56,1785.56,1781.81,1216.56,1178.19,1187.88
21,H1,40,48,0.0,0.0,0.0,1216.56,1178.19,1168.51
21,H2,41,49,0.0,0.0,0.0,1216.56,1178.19,1187.88
22,H1,42,50,0.0,0.0,0.0,1216.56,1178.19,1168.51
22,H2,43,51,0.0,0.0,0.0,1216.56,1178.19,1187.88
23,H1,44,52,0.0,0.0,0.0,1216.56,1178.19,1171.75
23,H2,45,53,0.0,0.0,0.0,1216.56,1178.19,1184.63
24,H1,46,54,0.0,0.0,0.0,1216.56,1178.19,1168.51
24,H2,47,55,0.0,0.0,0.0,1216.56,1178.19,1187.88
25,H1,48,56,0.0,0.0,0.0,1216.56,1178.19,1168.51
25,H2,49,57,0.0,0.0,0.0,1216.56,1178.19,1187.88
26,H1,50,58,0.0,0.0,0.0,1216.56,1178.19,1168.51
26,H2,51,59,0.0,0.0,0.0,1216.56,1178.19,1187.88
27,H1,52,60,0.0,0.0,0.0,1216.56,1178.19,1171.75
27,H2,53,61,0.0,0.0,0.0,1216.56,1178.19,1184.63
28,H1,54,62,0.0,0.0,0.0,1216.56,1178.19,1168.51
28,H2,55,63,0.0,0.0,0.0,1216.56,1178.19,1187.88
29,H1,56,64,0.0,0.0,0.0,1216.56,1178.19,1168.51
29,H2,57,65,0.0,0.0,0.0,1216.56,1178.19,1187.88
30,H1,58,66,0.0,0.0,0.0,1216.56,1178.19,1168.51
30,H2,59,67,0.0,0.0,0.0,1216.56,1178.19,1187.88
