section,metric,excel_total,model_total,delta_total,status,classification,root_cause,recommended_action,governance_impact,notes,owner,requires_stakeholder_decision,requires_runtime_change,expected_roadmap_phase
Revenue,Electricity Revenue,423787.4869506285,423843.6113767133,56.12442608480342,OK,PASS,,,None,,Commercial,no,no,Phase 10
Revenue,CO2 Revenue,None,None,N/A,REVIEW,SOURCE_NOT_AVAILABLE,Committed Excel extracts and runtime period fields do not expose CO2 separately.,Keep as explicit evidence gap or add a dedicated CO2 source map branch.,Stakeholder review only,Do not silently roll this into zero or total revenue.,Commercial,no,no,Phase 10
Revenue,Balancing Revenue,None,None,N/A,REVIEW,SOURCE_NOT_AVAILABLE,Balancing remains outside the committed extraction set and runtime summary exports.,Treat as sub-line follow-up only if stakeholders require separate mapping.,None,Total revenue remains the authoritative comparable line.,Commercial,no,no,Phase 10
Revenue,Total Revenue,423787.4869506285,423843.6113767133,56.12442608480342,OK,PASS,,,None,,Commercial,no,no,Phase 10
CO2 / Balancing,Electricity Revenue,423787.5,423843.6,56.09999999997672,OK,PASS,,None,None,Electricity revenue is the only revenue sub-line with strong committed evidence on both sides.,Commercial / Audit,no,no,Phase 10
CO2 / Balancing,CO2 Revenue,SOURCE_NOT_AVAILABLE,SOURCE_NOT_AVAILABLE,N/A,REVIEW,SOURCE_NOT_AVAILABLE,Neither the committed Excel evidence set nor runtime period exports expose a standalone CO2 revenue row.,Preserve explicit evidence gap; do not synthesize a split.,Revenue-source interpretation only,Do not synthesize a CO2 split from total revenue.,Commercial / Audit,yes,no,Phase 10
CO2 / Balancing,Balancing Revenue,SOURCE_NOT_AVAILABLE,SOURCE_NOT_AVAILABLE,N/A,REVIEW,SOURCE_NOT_AVAILABLE,Standalone balancing revenue is not committed in the current Excel extracts or runtime export fields.,Preserve explicit evidence gap; do not synthesize a split.,Revenue-source interpretation only,Missing balancing evidence should stay explicit rather than being netted into a guessed split.,Commercial / Audit,yes,no,Phase 10
CO2 / Balancing,Grouped Revenue Evidence,423787.5,423843.6,56.09999999997672,REVIEW,GROUPED_SOURCE_ONLY,The committed evidence currently supports revenue only at grouped total level for CO2/balancing-sensitive review.,Keep grouped until stronger source evidence exists.,Revenue-source interpretation only,This grouped row helps reviewers separate evidence limitations from runtime-total concerns.,Commercial / Audit,yes,no,Phase 10
CO2 / Balancing,Runtime Aggregation Boundary,N/A,aggregate only,N/A,REVIEW,EVIDENCE_LIMITATION,"Runtime revenue is available as a total, but the current runtime export surface does not publish separate CO2 or balancing components.",Preserve explicit evidence gap; do not synthesize a split.,None,"This is a reporting/source-map limitation, not a runtime revenue defect.",Commercial / Audit,no,no,Phase 10
CO2 / Balancing,Excel Extraction Boundary,aggregate only,N/A,N/A,REVIEW,EVIDENCE_LIMITATION,The committed Excel bridge gives a total revenue row but not a durable CO2-versus-balancing split.,Preserve explicit evidence gap; do not synthesize a split.,Revenue-source interpretation only,This should be treated as an extraction/evidence-quality issue rather than a model defect.,Commercial / Audit,yes,no,Phase 10
OPEX,Total OPEX,84674.77873934136,85408.27413448405,733.4953951426869,REVIEW,WARN,Known local-tax and minor-row grouping residual from prior calibration review.,Keep grouped unless a dedicated OPEX sub-line evidence branch is requested.,None,Residual is documented rather than runtime-fixed here.,Operations,no,no,Phase 10
OPEX,Contingency,None,None,N/A,REVIEW,RUNTIME_BINDING_PENDING,Contingency is baked into deterministic OPEX logic but not exported as a separate period row.,Add reporting-only breakout if lenders require contingency visibility.,Presentation only,Do not treat missing breakout as a zero contingency.,Operations,no,yes,Phase 10
OPEX,EBITDA,339112.7082112871,338435.3372422292,-677.370969057898,OK,PASS,,,None,,Operations,no,no,Phase 10
Senior Debt,Opening Balance,756328.0823817672,781474.3749637025,25146.292581935297,REVIEW,WARN,The committed Excel bridge and runtime schedule do not share the same opening-balance cut point for the operational horizon.,"Keep the opening balance row as a reconciliation aid and rely on principal, interest, and closing rows for authoritative debt behavior.",Review only,No debt sizing rewrite is implied.,Debt,no,no,Phase 10
Senior Debt,Interest,22822.816668720287,22467.388280206447,-355.4283885138393,REVIEW,WARN,A small timing and day-count residual remains between the committed Excel extract and runtime debt schedule.,Document as a minor review residual unless lenders ask for a debt-source extraction refresh.,Review only,The residual is small relative to total debt service.,Debt,no,no,Phase 10
Senior Debt,Principal Repayment,43358.53056811588,43358.99999999999,0.4694318841138738,REVIEW,WARN,The tiny principal delta is rounding-level drift between the committed extract and runtime precision.,Treat as immaterial unless an exact tie-out is required for a formal audit appendix.,None,No runtime debt behavior change is needed.,Debt,no,no,Phase 10
Senior Debt,Debt Service,66181.34723683617,65826.38828020645,-354.9589566297218,REVIEW,WARN,Debt service inherits the same minor interest timing residual visible in the senior interest row.,Keep this as a transparent review delta rather than a model-fix candidate.,Review only,Derived from existing interest and principal rows.,Debt,no,no,Phase 10
Senior Debt,Closing Balance,712969.5518136513,738115.3749637026,25145.823150051292,REVIEW,WARN,Closing balance drift follows from the opening-balance cut-point difference carried through the operational bridge.,Use this row for reviewer traceability only; core runtime debt outputs remain unchanged.,Review only,No runtime change implied.,Debt,no,no,Phase 10
Senior Debt,DSCR,80.82066022188826,None,N/A,REVIEW,WARN,Distribution and downstream cash staging conventions still create a documented DSCR residual versus Excel.,Keep as calibration transparency item; do not rewrite debt logic in this branch.,G20 review context,"Known review residual, not a debt sizing bug.",Debt,no,no,Phase 10
SHL,Opening Balance,None,1111577.3079616884,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,The committed SHL bridge does not provide a full-horizon opening-balance series that can be lined up one-for-one with runtime periods.,"Treat this as an Excel-side evidence limitation and anchor review attention on principal, interest, and closing balance rows.",Review only,Missing evidence is not a zero opening balance.,Sponsor / SHL,no,no,Phase 10
SHL,Gross Accrued Interest,38755.380000000005,44068.95868964389,5313.578689643888,REVIEW,WARN,The remaining SHL gross-interest delta reflects timing and presentation differences between the committed bridge and the runtime accrued-interest schedule.,"Keep the row visible for reviewer scrutiny, but do not redesign SHL mechanics in this branch.",Review only,Gross accrued interest is the authoritative model-side SHL P&L bridge.,Sponsor / SHL,no,no,Phase 10
SHL,Cash Interest Paid,None,38160.27336911231,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,"Committed Excel bridge evidences gross accrued SHL interest, not a separate cash-interest split.",Keep separate from gross accrued interest and document as an Excel-side presentation gap.,None,Runtime field is real; Excel side is the missing piece.,Sponsor / SHL,no,no,Phase 10
SHL,PIK Capitalized,None,4622.641831005549,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,PIK is not separately extractable from the committed Excel evidence set.,Map Excel PIK rows only if stakeholders require the split.,None,Do not net PIK into cash interest.,Sponsor / SHL,no,no,Phase 10
SHL,Principal Repaid,14595.529999999999,37326.33183100554,22730.80183100554,REVIEW,WARN,"SHL principal timing moved closer to Excel after the controlled alignment work, but committed bridge totals still reflect a slightly different period framing.",Document as a timing reconciliation item and keep the runtime-alignment branch as the authoritative history.,Stakeholder review only,No new SHL timing change is made here.,Sponsor / SHL,no,no,Phase 10
SHL,Closing Balance,None,1078873.6179616887,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,The committed SHL bridge does not provide a clean full-horizon closing-balance series that matches runtime period boundaries exactly.,Keep as an Excel-side evidence limitation and rely on the runtime balance schedule plus prior Phase 9 review workbook for detail.,Review only,"Explicit evidence gap, not a silent zero.",Sponsor / SHL,no,no,Phase 10
SHL,Total SHL Service,None,75486.60520011785,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,"The runtime SHL service field exists, but the committed Excel evidence pack does not expose a separate total-service bridge row.",Use the runtime service row for lender review and only add Excel-side extraction if stakeholders require a service split.,Review only,Expands runtime-side SHL visibility without changing mechanics.,Sponsor / SHL,no,no,Phase 10
Tax,Book Depreciation,None,70691.53999999998,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,Book depreciation is available runtime-side but not committed Excel-side at full-horizon row granularity.,Use the Phase 6/9 depreciation evidence branches for any future ledger-level parity work.,Review only,Explicitly kept separate from tax depreciation.,Tax,no,no,Phase 10
Tax,Tax Depreciation,None,70691.53999999998,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,Tax depreciation evidence exists in prior diagnostics but not as a committed period-level Excel bridge row here.,Leave as evidence gap unless a tax-specific parity branch is opened.,Review only,No silent zero-fill.,Tax,no,no,Phase 10
Tax,R35 Taxable Income Before Losses,None,186251.52440432477,N/A,REVIEW,WARN,Known governed Phase 6 residual; Excel-side R35 row ownership remains partially unmapped in committed extracts.,Keep governed residual explicit; do not hardcode a parity plug.,G20 support evidence,"Residual is documented, not runtime-fixed.",Tax,no,no,Phase 10
Tax,R67 CIT Cash,None,35403.7115717776,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,Committed Excel extracts do not include a period-level R67 bridge in this pack.,Carry forward as missing Excel-side evidence rather than zero.,Review only,Runtime tax cash remains visible.,Tax,no,no,Phase 10
Tax,Losses Opening,None,118630.84165200125,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,Loss bucket evidence is runtime-side only in this branch.,Reference the dedicated Phase 6 loss-engine evidence if a reviewer asks for lineage.,None,Audit field available runtime-side.,Tax,no,no,Phase 10
Tax,Losses Used,None,4014.4774024044073,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,Committed Excel bridge does not expose period-level loss usage in this pack.,Keep visible as runtime-only audit detail.,None,Do not synthesize Excel values.,Tax,no,no,Phase 10
Tax,Losses Closing,None,129122.7281835694,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,Closing loss carryforward is visible in runtime audit fields but not committed Excel-side in this pack.,Preserve as a runtime-backed evidence row and add Excel extraction only if deeper tax review is requested.,Review only,Improves tax loss visibility without fabricating Excel values.,Tax,no,no,Phase 10
Tax,Taxable Profit After Losses,None,196743.41093589287,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,Taxable profit after losses is already exposed runtime-side but not committed on the Excel side of this pack.,Keep the runtime row visible and document the Excel-side evidence gap explicitly.,Review only,Useful for lender and tax reviewers even where Excel parity remains incomplete.,Tax,no,no,Phase 10
Tax,CIT Accrual,None,35413.81396846072,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,"The runtime audit field exists for CIT accrual, but the committed Excel evidence pack does not include a matching row.",Expose the runtime accrual row and preserve the missing Excel side explicitly.,Review only,Improves tax bridge completeness without changing formulas.,Tax,no,no,Phase 10
Tax,Cash Tax Current Period,None,35403.7115717776,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,"Current-period cash tax is already exposed through runtime audit fields, but the committed Excel evidence pack has no matching line.",Show the runtime value and keep the Excel-side gap documented.,Review only,Avoids treating runtime-available tax evidence as missing on both sides.,Tax,no,no,Phase 10
CFADS,EBITDA Cash Proxy,339112.7082112871,338435.3372422292,-677.370969057898,OK,PASS,,,None,,Waterfall / Finance,no,no,Phase 10
CFADS,Tax Cash,None,35403.7115717776,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,Excel tax cash row is not committed in the current evidence pack.,Keep as runtime evidence only.,Review only,Missing evidence is explicit.,Waterfall / Finance,no,no,Phase 10
CFADS,CFADS / R69,None,303031.62567045167,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,Period-level Excel R69 remains outside the committed evidence set.,Future tax/waterfall review can map this if required.,Review only,Runtime value is available.,Waterfall / Finance,no,no,Phase 10
CFADS,FCF for Distribution / R99,None,237205.23739024517,N/A,REVIEW,GOVERNANCE_BLOCKER,R99 runtime promotion remains not approved by governance.,Do not promote or rely on R99 as authoritative runtime source.,R99/R102 not approved,Shown for audit visibility only.,Waterfall / Finance,yes,no,Phase 10
CFADS,FCF for SHL / R102,None,237205.23739024517,N/A,REVIEW,GOVERNANCE_BLOCKER,R102 runtime promotion remains not approved by governance.,Keep audit-only until explicit approval.,R99/R102 not approved,No runtime promotion implied.,Waterfall / Finance,yes,no,Phase 10
Distributions,Excel Dividends / Distribution,151709.39358672153,165471.11047208743,13761.716885365895,REVIEW,ACCEPTED_CONVENTION,Excel dividend labeling and runtime distribution wiring are documented as definitionally different.,Use runtime distribution as authoritative and keep DA staging separate.,Stakeholder presentation choice,No mixed flag-state values.,Governance / Sponsor,yes,no,Phase 10
Distributions,DA-Wired / Pre-G20 Staging,None,0.0,N/A,REVIEW,GOVERNANCE_BLOCKER,DA-wired distribution remains audit-only pending governance approval.,Keep clearly separated from the default runtime path.,G20 / R99 review,Not authoritative for parity closeout.,Governance / Sponsor,yes,no,Phase 10
Distributions,Legacy Runtime Distribution,None,0.0,N/A,REVIEW,ACCEPTED_CONVENTION,"Legacy distribution remains a reporting lens, not the reviewer-facing primary distribution stream.",Retain for traceability only.,None,Separate from default runtime distribution row.,Governance / Sponsor,yes,no,Phase 10
Returns,Project IRR,0.0947,0.0941016247230615,-0.000598375276938512,PASS,PASS,Within documented tolerance versus Excel.,None,None,See Total column for scalar value.,Finance / Governance,no,no,Phase 10
