year,ex_cit,py_cash,gap,c2_dep,c3_shl,c4_sen,c5_ebitda,c6_loss,c7_all
13,120.19,1480.55,1360.36,1895.71,2019.28,2109.15,2083.93,2095.31,1822.14
14,955.24,1580.02,624.78,1626.12,1793.44,1832.26,1818.15,1825.72,1592.8
15,1084.54,1706.84,622.3,1730.7,1920.26,1930.3,1931.74,1930.3,1722.1
16,1224.5,1851.7,627.2,1876.28,2065.12,2075.88,2072.43,2075.88,1862.07
17,1436.21,2058.95,622.73,2087.74,2272.36,2287.34,2288.36,2287.34,2073.77
18,1644.93,2263.0,618.07,2298.42,2476.41,2498.02,2503.7,2498.02,2282.49
19,1811.25,2424.43,613.18,2438.24,2637.84,2637.84,2648.41,2637.84,2448.81
20,1871.32,2479.39,608.07,2493.2,2692.8,2692.8,2708.49,2692.8,2508.89
21,2554.4,2533.82,-20.58,2547.64,2109.67,2109.67,2115.45,2109.67,2553.41
22,2614.31,2588.12,-26.19,2601.93,2163.97,2163.97,2175.36,2163.97,2613.32
23,2688.06,2655.99,-32.07,2669.8,2231.84,2231.84,2249.11,2231.84,2687.07
24,2741.43,2703.19,-38.24,2717.01,2279.04,2279.04,2302.48,2279.04,2740.44
25,2795.53,2750.83,-44.7,2764.64,2326.68,2326.68,2356.58,2326.68,2794.54
26,2856.92,2819.17,-37.74,2832.99,2395.03,2395.03,2417.97,2395.03,2855.93
27,2909.42,2864.57,-44.86,2878.38,2440.42,2440.42,2470.47,2440.42,2908.43
28,2948.57,2896.25,-52.32,2910.06,2472.1,2472.1,2509.62,2472.1,2947.58
29,2984.23,2924.08,-60.16,2937.89,2499.93,2499.93,2545.28,2499.93,2983.24
30,2999.85,2931.47,-68.39,2945.28,2507.32,2507.32,2560.9,2507.32,2998.86
