category,metric,row_type,period_idx,period_label,excel_value,python_value,delta,delta_pct,excel_source,python_source,confidence,notes
Revenue,Electricity Revenue,Excel,0,Y01H1,4061.0,4061.0,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,0,Y01H1,4061.0,4061.0,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,0,Y01H1,4061.0,4061.0,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,1,Y01H2,4128.3,4128.3,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,1,Y01H2,4128.3,4128.3,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,1,Y01H2,4128.3,4128.3,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,2,Y02H1,4118.2,4118.2,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,2,Y02H1,4118.2,4118.2,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,2,Y02H1,4118.2,4118.2,-0.0,-0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,3,Y02H2,4186.5,4186.5,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,3,Y02H2,4186.5,4186.5,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,3,Y02H2,4186.5,4186.5,-0.0,-0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,4,Y03H1,4188.8,4188.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,4,Y03H1,4188.8,4188.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,4,Y03H1,4188.8,4188.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,5,Y03H2,4234.8,4234.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,5,Y03H2,4234.8,4234.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,5,Y03H2,4234.8,4234.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,6,Y04H1,4237.9,4237.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,6,Y04H1,4237.9,4237.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,6,Y04H1,4237.9,4237.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,7,Y04H2,4308.2,4308.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,7,Y04H2,4308.2,4308.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,7,Y04H2,4308.2,4308.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,8,Y05H1,4292.6,4292.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,8,Y05H1,4292.6,4292.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,8,Y05H1,4292.6,4292.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,9,Y05H2,4363.8,4363.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,9,Y05H2,4363.8,4363.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
