period,date,excel_cashflow_keur,model_shl_plus_dividends_cashflow_keur,delta_keur,model_distribution_keur,model_shl_interest_keur,model_shl_principal_keur,likely_driver,notes
0,2028-06-30,-29635.18,-33203.69,3568.51,0,0,0,investment_base_difference,"Excel=-29635, Model=-33204"
1,2030-07-01,959.08,0,959.08,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
2,2031-01-01,969.7,0,969.7,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
3,2031-07-01,966.96,0,966.96,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
4,2032-01-01,983.01,0,983.01,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
5,2032-07-01,976.22,0,976.22,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
6,2033-01-01,987.04,0,987.04,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
7,2033-07-01,987.52,0,987.52,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
8,2034-01-01,1003.96,0,1003.96,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
9,2034-07-01,999.8,0,999.8,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
10,2035-01-01,1016.43,0,1016.43,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
11,2035-07-01,1010.11,0,1010.11,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
12,2036-01-01,1026.94,0,1026.94,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
13,2036-07-01,1033.46,0,1033.46,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
14,2037-01-01,1044.96,0,1044.96,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
15,2037-07-01,1052.56,0,1052.56,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
16,2038-01-01,1070.14,0,1070.14,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
17,2038-07-01,1076.0,0,1076.0,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
18,2039-01-01,1093.96,0,1093.96,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
19,2039-07-01,1098.93,0,1098.93,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
20,2040-01-01,1117.23,0,1117.23,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
21,2040-07-01,1120.96,0,1120.96,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
22,2041-01-01,1133.43,0,1133.43,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
23,2041-07-01,1141.79,0,1141.79,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
24,2042-01-01,1172.27,0,1172.27,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
25,2042-07-01,3232.98,0,3232.98,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
26,2043-01-01,3167.87,0,3167.87,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
27,2043-07-01,3260.24,0,3260.24,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
28,2044-01-01,2416.58,0,2416.58,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
29,2044-07-01,6185.94,0,6185.94,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
30,2045-01-01,5181.53,0,5181.53,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
31,2045-07-01,6205.64,0,6205.64,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
32,2046-01-01,5098.57,0,5098.57,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
33,2046-07-01,6414.48,0,6414.48,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
34,2047-01-01,5101.23,0,5101.23,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
35,2047-07-01,6577.01,0,6577.01,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
36,2048-01-01,5059.9,0,5059.9,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
37,2048-07-01,6755.24,0,6755.24,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
38,2049-01-01,5039.04,0,5039.04,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
39,2049-07-01,6898.69,0,6898.69,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
40,2050-01-01,4618.94,0,4618.94,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
41,2050-07-01,7023.36,0,7023.36,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
