metric,section,period,excel_value,model_value,delta,classification,severity,root_cause,recommended_action,accepted_for_closeout
,,,"~145,740 MWh/yr","~145,742 MWh/yr",+2 MWh/yr,,LOW,,None,
,,,"423,787 kEUR","423,844 kEUR",+57 kEUR,,LOW,,None,
,,,"84,675 kEUR","85,408 kEUR",+733 kEUR,,MEDIUM,,Map sub-items,
,,,"339,113 kEUR","338,435 kEUR",-678 kEUR,,LOW,,None,
,,,"43,359 kEUR","43,359 kEUR",0,,LOW,,None,
,,,~1.2x,inf,N/A,,LOW,,Use senior_sweep mode,
,,,"32,704 kEUR","30,930 kEUR","-1,774 kEUR",,MEDIUM,,Verify reporting,
,,,P29 (2044-06-30),P25 (2042-06-30),4 periods,,MEDIUM,,PR#165 done,
,,,"38,755 kEUR","10,260+PIK kEUR",N/A,,LOW,,Use sum for comparison,
,,,7.93%,7.93%,0,,LOW,,None,
,,,0 kEUR,0 kEUR,0,,LOW,,None,
,,,EBIT+financing,EBITDA-tax,N/A,,MEDIUM,,Map CFADS formula,
,,,"151,209 kEUR","281,349 kEUR","+130,140 kEUR",,MEDIUM,,Use equity subset,
,,,P35,P15,20 periods,,LOW,,Document,
,,,9.47%,9.41%,-0.06pp,,LOW,,None,
,,,11.61%,~11.32%,-0.29pp,,MEDIUM,,Reconciliation IRR,
,,,2028-06-30,2030-06-30,2 years,,LOW,,Document,
,,,"-29,635 (excl IDC)","-33,204 (incl IDC)","-3,569 kEUR",,LOW,,Document,
,,,11.61%,Not implemented,N/A,,MEDIUM,,Create IRR view,
