artifact,label,current_interpretation,classification,action
reports/phase10_human_readable_calibration_gap_analysis.csv,MISSING_EVIDENCE,Legacy historical report retains umbrella label for frozen reviewer evidence,LEGACY_FROZEN_REFERENCE,Do not rewrite unless the artifact is reissued as an active source-of-truth workbook/report
reports/phase10_human_readable_calibration_source_map.csv,MISSING_EVIDENCE,Legacy source-map artifact predates precise split labels,LEGACY_FROZEN_REFERENCE,Keep frozen and rely on Phase 12 semantics docs for current interpretation
reports/phase9_tuho_full_line_item_horizontal_gap_analysis.csv,MISSING_EVIDENCE,Historical Phase 9 parity artifact still uses earlier evidence wording,LEGACY_FROZEN_REFERENCE,Retain as historical evidence; do not treat as current governance semantics source
reports/phase9_tuho_full_line_item_horizontal_source_map.csv,MISSING_EVIDENCE,Historical source map preserves earlier label vocabulary,LEGACY_FROZEN_REFERENCE,Retain frozen unless a new active source map is explicitly regenerated
reports/phase9_tuho_full_semester_horizontal_source_map.csv,MISSING_EVIDENCE,Historical semester workbook source map preserves prior semantics,LEGACY_FROZEN_REFERENCE,Retain frozen and cross-reference current semantics docs
reports/phase9_tuho_parity_gate_readiness.csv,MISSING_EVIDENCE,Historical gate-readiness artifact uses older evidence umbrella labels,LEGACY_FROZEN_REFERENCE,Keep frozen; current source-of-truth sits in Phase 12 governance semantics materials
docs/phase9_tuho_full_semester_horizontal_parity_workbook.md,MISSING_EVIDENCE,Historical workbook narrative documents period-level extract limitations with older wording,LEGACY_FROZEN_REFERENCE,Keep as historical branch evidence
docs/phase10_human_readable_calibration_workbook.md,MISSING_EVIDENCE,Phase 10 narrative still references historical workbook markers,LEGACY_FROZEN_REFERENCE,Retain; current active semantics live in Phase 12 cleanup/governance docs
reports/phase12_governance_semantics_dictionary.csv,MISSING_EVIDENCE,Current docs explicitly mark MISSING_EVIDENCE as a legacy umbrella label,ACTIVE_SOURCE_OF_TRUTH,Retain as the live interpretation guide
docs/phase12_governance_semantics_cleanup.md,MISSING_EVIDENCE,Current migration-status table defines active vs legacy-frozen semantics,ACTIVE_SOURCE_OF_TRUTH,Retain as current source-of-truth documentation
