project,group_code,item_code,item_name,year_index,basis,primary_driver,base_amount_keur,inflation_rate,inflation_factor,active,explicit_schedule_value_keur,manual_override_keur,contingency_rate,contingency_base_keur,base_component_keur,inflation_component_keur,volume_component_keur,step_change_component_keur,active_flag_component_keur,contingency_component_keur,manual_override_component_keur,resulting_amount_keur,total_movement_vs_base_keur,reconciliation_delta_keur,notes
TUHO,B.01,B.01.1,Asset Management Contract,1,fixed_annual_keur,INFLATION,138.0,0.02,1.0,True,,,,,138.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,1,fixed_annual_keur,INFLATION,67.0,0.02,1.0,True,,,,,67.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,
TUHO,B.01,B.01.3,Performance monitoring,1,fixed_annual_keur,INFLATION,35.0,0.02,1.0,True,,,,,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,
TUHO,B.01,B.01.4,Technical Inspections,1,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.0,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,1,fixed_annual_keur,INFLATION,18.0,0.02,1.0,True,,,,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,
TUHO,B.01,B.01.6,Bazefield,1,fixed_annual_keur,INFLATION,22.0,0.02,1.0,True,,,,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,2,fixed_annual_keur,INFLATION,138.0,0.02,1.02,True,,,,,138.0,2.759999999999991,0.0,0.0,0.0,0.0,0.0,140.76,2.759999999999991,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,2,fixed_annual_keur,INFLATION,67.0,0.02,1.02,True,,,,,67.0,1.3400000000000034,0.0,0.0,0.0,0.0,0.0,68.34,1.3400000000000034,0.0,
TUHO,B.01,B.01.3,Performance monitoring,2,fixed_annual_keur,INFLATION,35.0,0.02,1.02,True,,,,,35.0,0.7000000000000028,0.0,0.0,0.0,0.0,0.0,35.7,0.7000000000000028,0.0,
TUHO,B.01,B.01.4,Technical Inspections,2,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.02,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,2,fixed_annual_keur,INFLATION,18.0,0.02,1.02,True,,,,,18.0,0.35999999999999943,0.0,0.0,0.0,0.0,0.0,18.36,0.35999999999999943,0.0,
TUHO,B.01,B.01.6,Bazefield,2,fixed_annual_keur,INFLATION,22.0,0.02,1.02,True,,,,,22.0,0.4400000000000013,0.0,0.0,0.0,0.0,0.0,22.44,0.4400000000000013,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,3,fixed_annual_keur,INFLATION,138.0,0.02,1.0404,True,,,,,138.0,5.575199999999995,0.0,0.0,0.0,0.0,0.0,143.5752,5.575199999999995,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,3,fixed_annual_keur,INFLATION,67.0,0.02,1.0404,True,,,,,67.0,2.706800000000001,0.0,0.0,0.0,0.0,0.0,69.7068,2.706800000000001,0.0,
TUHO,B.01,B.01.3,Performance monitoring,3,fixed_annual_keur,INFLATION,35.0,0.02,1.0404,True,,,,,35.0,1.4140000000000015,0.0,0.0,0.0,0.0,0.0,36.414,1.4140000000000015,0.0,
TUHO,B.01,B.01.4,Technical Inspections,3,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.0404,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,3,fixed_annual_keur,INFLATION,18.0,0.02,1.0404,True,,,,,18.0,0.7271999999999998,0.0,0.0,0.0,0.0,0.0,18.7272,0.7271999999999998,0.0,
TUHO,B.01,B.01.6,Bazefield,3,fixed_annual_keur,INFLATION,22.0,0.02,1.0404,True,,,,,22.0,0.8887999999999998,0.0,0.0,0.0,0.0,0.0,22.8888,0.8887999999999998,0.0,
