module,status,priority,current_evidence,reusable_code,known_gaps,blocked_by,next_action,recommended_branch,notes
Revenue,CLOSED,P3,"Total Δ=0.0 horizon; PR #90 added splits","domain/revenue/*","Oborovo merchant curve refinements","none","none-immediate","phase7-revenue-formalization (future)","Reusable as-is"
OPEX,RUNTIME-READY,P3,"Offline = 84675; flag-on matches; inflation decomposition done","domain/opex/*","UI inputs; export integration; Oborovo template","none","none-immediate","phase7-opex-oborovo-template (future)","Default-off ready"
EBITDA-CFADS,RUNTIME-READY,P3,"Δ = OPEX flag-off only","derived","none","none","none","none","Closes with OPEX flag-on"
Construction,PARTIAL,P2,"Offline engines built; runtime not wired","domain/construction/*","Canonical module boundary","none","docs/design","phase7-construction-canonical-module-design","Stage 2 docs only"
Senior-Debt,PARTIAL,P1,"Δ=-355 minor; sizing source NOT mapped","domain/senior_sculpting.py senior_rate_schedule.py","Macro R50 sizing CFADS hardcoded; DSCR PPA/merchant switch not canonical","sizing-source-undocumented","docs source map","phase7-senior-debt-dscr-source-map","PRIORITY 1; Macro!R50 hardcoded values verified"
Depreciation,PARTIAL,P2,"Offline engine works; canonical decisions made","domain/depreciation_offline/*","Canonical module not runtime; book basis missing","module-not-canonical","docs/design","phase7-depreciation-canonical-module-design","Useful-life canonical complete"
Tax,PARTIAL,P3,"R35/R41/R43/R67 documented; residual +5271 governed","domain/tax/loss_carryforward.py domain/financial_statements/tax_bridge.py","Sign concern unresolved; SHL gross-accrued candidate","residual-not-closed","accept residual + governance","none-immediate","Loss window canonical (Croatia 10-period)"
SHL,BLOCKED,P1,"Gross accrued Δ=-3737 kEUR; PIK timing; no canonical module","domain/shl_fcf_waterfall.py (legacy fixture-bound)","No canonical SHL module; post-senior cash sweep undefined","no-canonical-module","docs/source map then design","phase7-shl-cash-sweep-source-map then phase7-shl-canonical-module-design","PRIORITY 1; largest gap"
Distribution-R99-R102,BLOCKED,P4,"Audit-only; gates fail","domain/distribution_account/*","All upstream modules first","upstream-not-canonical","hold","none-immediate","Wait for SHL + Senior Debt"
Sponsor,CLOSED,P3,"4616 LOC IRR/XIRR/MOIC stable","domain/sponsor/*","none","none","none","none","Reusable as-is"
