gate_id,gate_name,required_before_promotion,current_status,owner_module,evidence,blocker_if_failed,notes
G01,DistributionAccount class exists,FALSE,NOT_STARTED,domain/distribution_account/,No DistributionAccount class yet,BLOCKER: runtime routing has no home,Pre-promotion design only; DistributionAccount is future work
G02,R99/R102 runtime inputs defined,FALSE,NOT_STARTED,domain/distribution_account/,compute_tuho_r99_input_period() exists as audit only,BLOCKER: no runtime inputs for DistributionAccount,Currently outputs r99_fcf/r102_fcf as audit fields only
G03,Equity distribution routing implemented,FALSE,NOT_STARTED,domain/distribution_account/,No equity_distribution_keur field in WaterfallResult,BLOCKER: sponsor cash not routed,Requires DistributionAccount class
G04,SHL sweep receives R102 as runtime input,FALSE,NOT_STARTED,domain/shl/,SHL sweep currently post-processing (audit only),BLOCKER: SHL sweep not connected to R102,R102 must wire into SHL sweep mechanism
G05,DSCR stability — no drift above ±0.05,FALSE,NOT_STARTED,app/waterfall_core.py,DSCR not yet tested with R99/R102 runtime,widen_tolerance_or_reject: ±0.05,Distributions change DSCR denominator; must validate
G06,Circular dependency analysis — R99/R102 → DSCR → debt sizing → R99 convergence,FALSE,NOT_STARTED,domain/waterfall/,No circular dependency analysis done,BLOCKER: infinite loop risk if FCF feeds back into sizing,Proposed mitigation: distributions subordinate to DSCR maintenance
G07,Oborovo guard for R99/R102 flag,FALSE,NOT_STARTED,app/waterfall_core.py,No guard — tax_bridge guard exists but not R99/R102,BLOCKER: R99/R102 is TUHO-specific; Oborovo must be blocked,R99/R102 is TUHO-only (like use_tax_bridge_engine)
G08,R99/R102 audit values match TUHO Excel,FALSE,NOT_STARTED,domain/distribution_account/,Audit values exist but not validated against Excel fixtures,BLOCKER: not calibrated,Audit values must be validated vs TUHO Excel before promotion
G09,Canonical depreciation CIT source promotion,FALSE,FUTURE_WORK,domain/depreciation/,Canonical depreciation is audit only (not CIT source),BLOCKER: orthogonal to R99/R102 but must be tracked,Canonical depreciation must become CIT source in separate future branch before TaxBridge is replaced
G10,Macro!R50 explicit sizing CFADS wired,FALSE,FUTURE_WORK,domain/senior_debt_sizing/,Macro!R50 values not yet in FinancingParams,BLOCKER: orthogonal to R99/R102,Macro!R50 wiring enables true debt sizing calibration; not a prerequisite for R99/R102
G11,TaxBridge fixture ledger independence confirmed,FALSE,READY,domain/tax/,TaxBridge uses own ledger; canonical depreciation does not affect CIT,BLOCKER: none,TaxBridge depreciation is independent of canonical depreciation wiring
G12,SHL canonical wiring bounded,FALSE,READY,domain/shl/,SHL canonical is post-processing adapter; does not affect FCF or R99/R102,BLOCKER: none,SHL canonical does not touch R99/R102 computation
G13,SeniorDebtSizing is audit-only confirmed,FALSE,READY,domain/senior_debt_sizing/,SeniorDebtSizing attaches _canonical_senior_debt_sizing as audit only,BLOCKER: none,Sizing CFADS is proxy; does not affect post-DS FCF
G14,Canonical depreciation not CIT source confirmed,FALSE,READY,domain/depreciation/,use_depreciation_canonical_engine=True does not change CIT,BLOCKER: none,Canonical depreciation is post-processing audit only
G15,Phase 8 cross-module validation complete,FALSE,READY,app/waterfall_core.py,PR #117 cross-module matrix: all combos zero drift,BLOCKER: none,Confirms no hidden coupling between canonical adapters
G16,No DistributionAccount implementation in current codebase,FALSE,READY,domain/distribution_account/,domain/distribution_account/engine.py is audit stub only,BLOCKER: none,No runtime distribution routing exists yet
G17,R99/R102 remains BLOCKED after design review,FALSE,READY,docs/,This doc explicitly states R99/R102 BLOCKED,BLOCKER: violation if R99/R102 promoted before prerequisites,Design document must explicitly state BLOCKED
G18,DistributionAccount ownership boundary defined,FALSE,READY,docs/,Section 5 of this doc defines ownership,BLOCKER: none,domain/distribution_account/ owned by new DistributionAccount class (future)
G19,actual_cfads vs sizing_cfads invariant preserved,FALSE,READY,domain/senior_debt_sizing/,Canonical SeniorDebtSizing preserves invariant,BLOCKER: none,SeniorDebtSizing uses sizing_cfads; actual CFADS from waterfall
G20,TUHO-specific scope confirmed (not Oborovo),FALSE,READY,docs/,Section 12 confirms TUHO-only,BLOCKER: none,Oborovo does not have R99/R102 rows; guard needed
