project,flag_combo,total_runtime,total_da_governed,total_da_economic,identical,identical_economic,rounding,rounding_economic,expected_gate_diff,unexpected,blocking,phase_c_ready,phase_c_supported,validation_error
TUHO-WIND-1,baseline,326165.352432406,0.0,284552.0761275646,0,48,0,0,61,0,0,True,True,None
TUHO-WIND-1,shl_canonical,326165.352432406,0.0,284552.0761275646,0,48,0,0,61,0,0,True,True,None
TUHO-WIND-1,deprec_canonical,326165.352432406,0.0,284552.0761275646,0,48,0,0,61,0,0,True,True,None
TUHO-WIND-1,shl+deprec,326165.352432406,0.0,284552.0761275646,0,48,0,0,61,0,0,True,True,None
TUHO-WIND-1,co2_revenue_bridge,332911.31156111235,0.0,288544.59295733325,0,48,0,0,61,0,0,True,True,None
TUHO-WIND-1,co2_cit_bridge,325775.26232135383,0.0,284319.7085508478,0,48,0,0,61,0,0,True,True,None
TUHO-WIND-1,shl+co2_revenue,332911.31156111235,0.0,288544.59295733325,0,48,0,0,61,0,0,True,True,None
TUHO-WIND-1,deprec+co2_revenue,332911.31156111235,0.0,288544.59295733325,0,48,0,0,61,0,0,True,True,None
TUHO-WIND-1,tax_bridge,326165.352432406,0.0,270985.24339761597,0,24,0,0,61,0,0,False,False,None
TUHO-WIND-1,shl+deprec+tax_bridge,326165.352432406,0.0,270985.24339761597,0,24,0,0,61,0,0,False,False,None
TUHO-WIND-1,co2_revenue+cit,0.0,0.0,0.0,0,0,0,0,0,0,0,False,False,ValueError: use_co2_cit_bridge and use_co2_revenue_bridge cannot both be True; they target different computation chains
OBOROVO-SOLAR-1,baseline,181019.1125688387,0.0,147250.79730545607,0,47,0,0,60,0,0,True,True,None
OBOROVO-SOLAR-1,shl_canonical,181019.1125688387,0.0,147250.79730545607,0,47,0,0,60,0,0,True,True,None
OBOROVO-SOLAR-1,oborovo_shl,181019.1125688387,0.0,147250.79730545607,0,47,0,0,60,0,0,True,True,None
