item,category,runtime_impact,governance_impact,current_status,classification,owner,recommended_action,roadmap_phase,notes
Project IRR residual,Resolved residuals,None,None,closed in review pack,RESOLVED,Finance / Governance,Keep as resolved unless a new evidence conflict appears.,Phase 10,Project IRR remains within documented tolerance and is not a remaining calibration blocker.
Electricity revenue total tie-out,Resolved residuals,None,None,closed in review pack,RESOLVED,Commercial,Use as baseline revenue row in future review packs.,Phase 10,This remains the strongest committed revenue evidence row on both runtime and Excel sides.
XIRR construction-date convention,Accepted conventions,None,Reviewer interpretation required,documented,ACCEPTED_CONVENTION,Finance / Governance,Keep in the accepted-conventions registry and use IRR Reconciliation for meetings.,Phase 10,Excel and model may use different construction-date anchors for equity IRR presentation.
SHL IDC investment-base convention,Accepted conventions,None,Stakeholder interpretation,documented,ACCEPTED_CONVENTION,Finance / Sponsor,Retain as a convention item unless stakeholders request a distinct reporting-only lens.,Phase 10,SHL IDC investment-base treatment is a known convention affecting equity IRR bridge.
Distribution vs dividend definition,Accepted conventions,None,Presentation choice,documented,ACCEPTED_CONVENTION,Governance / Sponsor,Continue showing default runtime distributions separately from audit-only DA staging.,Phase 10,Runtime distribution_keur differs from Excel net dividend presentation and DA-wired staging.
Grouped CO2 / balancing revenue evidence,Accepted conventions,None,Reviewer caution required,documented,ACCEPTED_CONVENTION,Commercial / Audit,"Treat grouped revenue evidence as an evidence-quality boundary, not a runtime failure.",Phase 10,This branch formalizes grouped-versus-separate evidence handling for revenue sub-lines.
CO2 standalone evidence,Remaining evidence limitations,None,Stakeholder review context only,open evidence gap,EVIDENCE_LIMITATION,Commercial / Audit,Keep as explicit missing evidence unless a dedicated extraction branch is approved.,Phase 11,No committed runtime or Excel-side standalone CO2 row exists in the current pack.
Balancing standalone evidence,Remaining evidence limitations,None,Stakeholder review context only,open evidence gap,EVIDENCE_LIMITATION,Commercial / Audit,Preserve as missing evidence rather than synthesizing a balancing split.,Phase 11,Balancing remains unavailable as a durable committed sub-line on both sides.
Reconciliation IRR scalar,Remaining evidence limitations,None,Stakeholder signoff choice,not implemented,MISSING_EVIDENCE,Finance / Governance,Waive or open a later reporting-only implementation if reviewers require it.,Phase 11,"The workbook now explains the IRR gap clearly, but there is still no separate approved reconciliation scalar."
G20 gate signoff,Governance blockers,None,Blocks final gate acceptance,blocked,GOVERNANCE_BLOCKER,Governance,Keep blocked until stakeholder signoff is complete.,Phase 10,"Technical evidence is mature, but governance approval still sits outside this branch."
R99/R102 runtime promotion,Governance blockers,Audit-only fields remain non-authoritative,Blocks runtime promotion,blocked,GOVERNANCE_BLOCKER,Governance / Finance,Maintain audit-only posture until explicit approval.,Phase 10,This remains a governance decision rather than a runtime-instability issue.
MOIC reporting view,Remaining engineering work,None,None,follow-up candidate,ENGINEERING_FOLLOWUP,Finance / Reporting,Add a reporting-only MOIC view if external reviewers ask for it.,Phase 11,"This is enhancement work, not a current model defect."
Deeper revenue source extraction,Remaining engineering work,None,Improves evidence clarity only,follow-up candidate,ENGINEERING_FOLLOWUP,Commercial / Reporting,Pursue only if separate CO2 or balancing rows become review-critical.,Phase 11,"Future extraction work should improve evidence, not rewrite revenue formulas."
Equity IRR residual acceptance,Stakeholder decision items,None,Required for final interpretation comfort,pending stakeholder decision,STAKEHOLDER_DECISION,Governance / IC,Accept the convention-driven residual or request a future reporting-only enhancement.,Phase 10,The IRR sheet now isolates interpretation from runtime correctness more clearly.
Grouped revenue evidence acceptance,Stakeholder decision items,None,Affects how reviewers read revenue sub-line maturity,pending stakeholder decision,STAKEHOLDER_DECISION,Commercial / Governance,Accept grouped evidence as sufficient for current review or request deeper extraction in Phase 11.,Phase 10,"This is a quality-of-evidence question, not a runtime revenue correction."
Phase 11 export/product polish transition,Recommended Phase 11 carry-forward items,None,Improves review workflow maturity,carry forward,ENGINEERING_FOLLOWUP,Product / Reporting,Move remaining presentation and workflow enhancements into the Phase 11 roadmap.,Phase 11,"Phase 10 closeout should end broad calibration ambiguity, not attempt productization work."
