period,date,excel_cashflow_keur,source_sheet,source_cell,cashflow_component,notes
1,2028-06-30,-29635.1762,Eq,Eq!G28,r28=G27+G24,SHL_total=-29135.18; SHL_principal=-29135.18; dividend=-500.00
2,2030-07-01,959.0841,Eq,Eq!H28,r28=G27+G24,SHL_total=959.08; SHL_interest=959.08
3,2031-01-01,969.6961,Eq,Eq!I28,r28=G27+G24,SHL_total=969.70; SHL_interest=969.70
4,2031-07-01,966.9581,Eq,Eq!J28,r28=G27+G24,SHL_total=966.96; SHL_interest=966.96
5,2032-01-01,983.0066,Eq,Eq!K28,r28=G27+G24,SHL_total=983.01; SHL_interest=983.01
6,2032-07-01,976.2225,Eq,Eq!L28,r28=G27+G24,SHL_total=976.22; SHL_interest=976.22
7,2033-01-01,987.0423,Eq,Eq!M28,r28=G27+G24,SHL_total=987.04; SHL_interest=987.04
8,2033-07-01,987.5214,Eq,Eq!N28,r28=G27+G24,SHL_total=987.52; SHL_interest=987.52
9,2034-01-01,1003.957,Eq,Eq!O28,r28=G27+G24,SHL_total=1003.96; SHL_interest=1003.96
10,2034-07-01,999.7975,Eq,Eq!P28,r28=G27+G24,SHL_total=999.80; SHL_interest=999.80
11,2035-01-01,1016.4257,Eq,Eq!Q28,r28=G27+G24,SHL_total=1016.43; SHL_interest=1016.43
12,2035-07-01,1010.1052,Eq,Eq!R28,r28=G27+G24,SHL_total=1010.11; SHL_interest=1010.11
13,2036-01-01,1026.945,Eq,Eq!S28,r28=G27+G24,SHL_total=1026.94; SHL_interest=1026.94
14,2036-07-01,1033.4633,Eq,Eq!T28,r28=G27+G24,SHL_total=1033.46; SHL_interest=1033.46
15,2037-01-01,1044.9569,Eq,Eq!U28,r28=G27+G24,SHL_total=1044.96; SHL_interest=1044.96
16,2037-07-01,1052.5617,Eq,Eq!V28,r28=G27+G24,SHL_total=1052.56; SHL_interest=1052.56
17,2038-01-01,1070.1369,Eq,Eq!W28,r28=G27+G24,SHL_total=1070.14; SHL_interest=1070.14
18,2038-07-01,1075.9973,Eq,Eq!X28,r28=G27+G24,SHL_total=1076.00; SHL_interest=1076.00
19,2039-01-01,1093.9582,Eq,Eq!Y28,r28=G27+G24,SHL_total=1093.96; SHL_interest=1093.96
20,2039-07-01,1098.9258,Eq,Eq!Z28,r28=G27+G24,SHL_total=1098.93; SHL_interest=1098.93
21,2040-01-01,1117.2278,Eq,Eq!AA28,r28=G27+G24,SHL_total=1117.23; SHL_interest=1117.23
22,2040-07-01,1120.9577,Eq,Eq!AB28,r28=G27+G24,SHL_total=1120.96; SHL_interest=1120.96
23,2041-01-01,1133.425,Eq,Eq!AC28,r28=G27+G24,SHL_total=1133.43; SHL_interest=1133.43
24,2041-07-01,1141.7882,Eq,Eq!AD28,r28=G27+G24,SHL_total=1141.79; SHL_interest=1141.79
25,2042-01-01,1172.27,Eq,Eq!AE28,r28=G27+G24,SHL_total=1172.27; SHL_principal=8.28; SHL_interest=1163.99
26,2042-07-01,3232.9795,Eq,Eq!AF28,r28=G27+G24,SHL_total=3232.98; SHL_principal=1498.46; SHL_interest=1734.52
27,2043-01-01,3167.8678,Eq,Eq!AG28,r28=G27+G24,SHL_total=3167.87; SHL_principal=1465.03; SHL_interest=1702.84
