period,date,excel_cashflow_keur_if_available,model_shl_plus_dividends_cashflow_keur,model_distribution_keur,model_shl_interest_keur,model_shl_principal_keur,model_wht_keur,model_pik_keur,model_investment_base_keur,delta_keur,likely_difference_driver,notes
2,2030-06-30,MISSING_EVIDENCE,1296.70,0.00,1296.70,1773.49,0.00,0.00,-33203.69,MISSING_EVIDENCE,MISSING_EVIDENCE,initial_investment
3,2030-12-31,MISSING_EVIDENCE,1226.38,0.00,1226.38,1894.70,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,shi_phase
4,2031-06-30,MISSING_EVIDENCE,1151.26,0.00,1151.26,1954.11,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,shi_phase
5,2031-12-31,MISSING_EVIDENCE,1073.78,0.00,1073.78,2083.06,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,shi_phase
6,2032-06-30,MISSING_EVIDENCE,991.18,0.00,991.18,2159.25,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,shi_phase
7,2032-12-31,MISSING_EVIDENCE,905.57,0.00,905.57,2279.48,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,shi_phase
8,2033-06-30,MISSING_EVIDENCE,815.19,0.00,815.19,2364.03,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,shi_phase
9,2033-12-31,MISSING_EVIDENCE,721.45,0.00,721.45,2510.46,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,shi_phase
10,2034-06-30,MISSING_EVIDENCE,621.91,0.00,621.91,2588.13,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,shi_phase
11,2034-12-31,MISSING_EVIDENCE,519.29,0.00,519.29,2743.95,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,shi_phase
12,2035-06-30,MISSING_EVIDENCE,410.50,0.00,410.50,2861.71,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,shi_phase
13,2035-12-31,MISSING_EVIDENCE,297.03,0.00,297.03,3029.41,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,shi_phase
14,2036-06-30,MISSING_EVIDENCE,176.91,0.00,176.91,3164.32,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,shi_phase
15,2036-12-31,MISSING_EVIDENCE,2993.79,2993.79,51.45,1297.58,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
16,2037-06-30,MISSING_EVIDENCE,3351.73,3351.73,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
17,2037-12-31,MISSING_EVIDENCE,3226.38,3226.38,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
18,2038-06-30,MISSING_EVIDENCE,3466.06,3466.06,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
19,2038-12-31,MISSING_EVIDENCE,3289.95,3289.95,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
20,2039-06-30,MISSING_EVIDENCE,3533.18,3533.18,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
21,2039-12-31,MISSING_EVIDENCE,3351.36,3351.36,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
22,2040-06-30,MISSING_EVIDENCE,3607.95,3607.95,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
23,2040-12-31,MISSING_EVIDENCE,3401.30,3401.30,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
24,2041-06-30,MISSING_EVIDENCE,3667.64,3667.64,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
25,2041-12-31,MISSING_EVIDENCE,3474.37,3474.37,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
26,2042-06-30,MISSING_EVIDENCE,6140.28,6140.28,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
27,2042-12-31,MISSING_EVIDENCE,5736.64,5736.64,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
28,2043-06-30,MISSING_EVIDENCE,6115.46,6115.46,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
29,2043-12-31,MISSING_EVIDENCE,5713.92,5713.92,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
30,2044-06-30,MISSING_EVIDENCE,6187.85,6187.85,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
31,2044-12-31,MISSING_EVIDENCE,5748.72,5748.72,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
