gate_id,gate_name,current_status,required_for_promotion,evidence_available,evidence_missing,blocker,recommended_next_action,owner_module,notes
G01,SHL R102 input wiring,READY,REQUIRED,SHL R102 input implemented in domain/shl/engine.py; PR #136 merged; distribution_account_r102_sweep_candidate_keur field exists in ShlPeriodResult,none,None,None,domain/shl,"Wire distribution_account_r102_sweep_candidate_keur to ShlEngine. PR #136 merged."
G02,Sponsor distribution handoff,READY,REQUIRED,SponsorCashflowRunnerInputs has distribution_account_received_by_period; PR #137 merged; 29 tests pass; Sponsor does not recompute R99/R102 gates,none,None,None,domain/sponsor,"Explicit opt-in handoff. Sponsor receives DA distributions. PR #137 merged."
G03,DA runtime wiring,READY,REQUIRED,use_distributionaccount_runtime_wiring flag implemented in run_waterfall_v3_core; _apply_distributionaccount_runtime_wiring wires da_paid to distribution_keur; TUHO total=284,552 kEUR (delta=-41,613 kEUR); PR #151 merged,none,None,None,app/waterfall_core,"DA equity_distribution_paid_keur alias passed to runtime distribution_keur behind default-off flag. PR #151 merged."
G04,TaxBridge dual-run reconciliation,READY,REQUIRED,TaxBridge cash source reconciled with runtime; PR #150 merged; dual-run shows cash_source agreement,none,None,None,app/waterfall_core,"TaxBridge cash source reconciliation. PR #150 merged. Cash source dual-run validation complete."
G05,Phase C combo validation,READY,REQUIRED,6 validation cases all PASS; G01-G06 READY in gate refresh; PR #152 merged,none,None,None,app/waterfall_core,"Phase C combo validation. All 6 cases PASS. G01-G06 READY."
G06,audit/runtime mode contract reconciled,READY,REQUIRED,runtime_economic_mode separated from audit_economic_mode; PR #153 merged; 26 tests pass; _apply_distributionaccount_runtime_wiring uses runtime_economic_mode=True (not audit_economic_mode),none,None,None,domain/distribution_account,"audit_economic_mode for comparison only. runtime_economic_mode for staging. PR #153 merged. 26 tests pass."
G07,DSCR stability evidence,PARTIAL,REQUIRED_FOR_G20,DSCR under DA runtime wiring not yet measured across full tenor,need full DSCR time-series under DA wiring vs legacy comparison,PARTIAL,Measure DSCR stability: run TUHO with flag=True vs flag=False; compare DSCR time-series; ensure no DSCR < 1.0 under either configuration,app/waterfall_core,"DSCR stability is a prerequisite for R99/R102 runtime promotion. Not yet measured. Requires full tenor comparison."
G08,TUHO Excel parity evidence,PARTIAL,REQUIRED_FOR_G20,Excel calibration reference exists at /root/.openclaw/workspace/oborovo_model/calibration_reference_FINAL.xlsx; TUHO model calibrated to ~11.61% equity IRR,need full TUHO equity IRR / DSCR parity vs Excel; current model vs Excel gap is partially understood,PARTIAL,Run TUHO full model with DA wiring enabled vs Excel calibration reference; compare equity IRR, project IRR, avg DSCR; document delta and root-cause,app/project_factories,"Excel parity is a G20 prerequisite. TUHO equity IRR calibrated to 11.61% vs Excel. Need formal comparison with flag=True."
G09,Oborovo guard,READY,REQUIRED (guard maintained),Oborovo guard fires in _apply_distributionaccount_runtime_wiring; distribution unchanged when guard fires; Oborovo excluded from DA wiring,none,None,None,app/waterfall_core,"Oborovo remains excluded from runtime wiring. Guard must remain active for any future R99/R102 flag."
G10,R99/R102 final approval,BLOCKED,REQUIRED_FOR_PROMOTION,R99/R102 gates implemented; audit_economic_mode and runtime_economic_mode both separate; G07-G08 not yet ready; G20 not approved,need G07 (DSCR stability) + G08 (Excel parity) + SeniorDebtSizing + TaxBridge + canonical depreciation evidence,BLOCKED,Complete G07 (DSCR stability) and G08 (Excel parity) before final R99/R102 approval,gates,"R99/R102 final approval requires all G07-G08 evidence plus explicit governance sign-off. Currently BLOCKED."
G20,R99/R102 promotion allowed,BLOCKED,NOT_APPLICABLE (G20 not implemented),none,G20 promotion not designed; not approved; requires explicit governance,BLOCKED,Do not implement G20 promotion without explicit governance approval and all evidence gates completed,all,"G20 promotion is the unconditional replacement of governed distribution with R99/R102-gated distribution. Currently BLOCKED. Not approved."
G21,canonical depreciation CIT source separation,PARTIAL,REQUIRED_FOR_G20,Depreciation CIT bridge exists in domain/financial_statements/tax_bridge.py; use_depreciation_canonical_engine flag exists in run_waterfall_v3_core,need canonical engine full implementation and evidence; current depreciation CIT behavior not fully validated for G20,PARTIAL,Implement and validate canonical depreciation engine; ensure depreciation CIT source is clearly separated from operational CIT in TaxEngine; run TaxBridge combination tests,domain/financial_statements/tax_bridge,"Depreciation CIT source must be canonical before G20 promotion. Currently PARTIAL."
