subsystem,current_owner,future_owner,runtime_or_audit,upstream_dependency,downstream_dependency,promotion_dependency,current_status,risk_level,notes
DistributionAccount.equity_distribution_paid_keur,DistributionAccountEngine (audit),DistributionAccountEngine (runtime),audit,R99/R102 gate evaluation,WaterfallEngine.distribution_keur,Sponsor tuple validation + R99 gate wiring,BLOCKED,HIGH,Structurally hard-coded to 0.0 in engine.py:167 — needs logic fix
DistributionAccount.equity_distribution_candidate_keur,DistributionAccountEngine (audit),DistributionAccountEngine (runtime),audit,cash_for_dist,R99 gate input,Gate evaluation logic,BLOCKED,MED,Simplified to cash_for_dist — needs real gate evaluation
DistributionAccount.cash_swept_to_shl_keur,DistributionAccountEngine (audit),DistributionAccountEngine (runtime),audit,DistributionAccount gate results,ShlEngine.r102_sweep_applied,R102 gate wiring to SHL,BLOCKED,HIGH,Hard-coded 0.0 — SHL port unconnected
DistributionAccount.r99_gate_result,DistributionAccountEngine (audit),DistributionAccountEngine (runtime),audit,R99 gate inputs (actual_dscr,target,lockup),WaterfallEngine.distribution_keur override,R99 gate validation,Safe after precondition,MED,Gate evaluated but not controlling runtime
DistributionAccount.r102_gate_result,DistributionAccountEngine (audit),DistributionAccountEngine (runtime),audit,R102 gate inputs,ShlEngine.r102_sweep_applied,R102 gate validation,Safe after precondition,MED,Gate evaluated but not controlling SHL
DistributionAccount.dscr_gate_result,DistributionAccountEngine (audit),DistributionAccountEngine (runtime),audit,actual_dscr,distribution allowed flag,DSCR validation,MEDIUM,LOW,DSCR gate already evaluated
DistributionAccount.lockup_gate_result,DistributionAccountEngine (audit),DistributionAccountEngine (runtime),audit,period_index,senior_tenor_years,distribution allowed flag,LOW,LOW,Lockup gate covers tenor + reserves
WaterfallEngine.distribution_keur,WaterfallEngine (runtime),WaterfallEngine (runtime),runtime,cf_after_reserves, Sponsor allocated_per_sponsor_keur,DistributionAccount gate validation (future),SAFE (current),RUNTIME authoritative — directly from cash sweep
WaterfallEngine.cf_after_tax,WaterfallEngine (runtime),WaterfallEngine (runtime),runtime,cf_after_reserves - tax,actual_cfads,TaxEngine authoritative,SAFE (current),RUNTIME — from TaxEngine result
WaterfallEngine.actual_dscr,WaterfallEngine (runtime),WaterfallEngine (runtime),runtime,ebitda,revenue,cash_flow computation,SAFE (current),RUNTIME — computed per period
ShlEngine.r102_sweep_applied_keur,ShlEngine (runtime),ShlEngine (runtime),runtime,available_cash,r102_candidate input (DistributionAccount),R102 gate validation,MED,SHL port exists but never populated
ShlEngine.distribution_account_r102_sweep_candidate_keur,ShlEngine (input port),DistributionAccountEngine (output),audit,r102_candidate=None means internal logic,available_cash,DistributionAccount wiring to SHL,BLOCKED (port unconnected),HIGH,Input port never wired from waterfall_core.py
Sponsor.allocated_per_sponsor_keur,SponsorWaterfallTier (adapter),SponsorWaterfallTier (runtime),runtime,distribution_keur,LP/GP capital accounts,DistributionAccount paid validation,SAFE (current adapter),LOW,Tuple derived from distribution_keur — audit semantics only
Sponsor.cumulative_distributions_keur,SponsorWaterfallTier (adapter),SponsorWaterfallTier (runtime),runtime,allocated_per_sponsor_keur,capital_account_tier annotation,DistributionAccount paid validation,SAFE (current adapter),LOW,Accumulated from allocation tuples
R99.fcf_for_distribution_keur,R99InputResult (audit),R99InputResult (audit) or runtime,audit,actual_cfads,DistributionAccount gate input,Safe to use as audit benchmark,SAFE (audit only),LOW,Audit-only — not wired to runtime
R99.gate_passed,R99InputResult (audit),DistributionAccountEngine (runtime),audit,actual_dscr,r99_fcf_for_distribution_keur override,DistributionAccount gate wiring,R99 BLOCKED for runtime,HIGH,Gate exists in audit layer only
R102.fcf_for_shl_keur,R102InputResult (audit),R102InputResult (audit) or runtime,audit,actual_cfads,ShlEngine.cash_for_shl_service,DistributionAccount wiring to SHL,BLOCKED,HIGH,Audit-only — SHL port unconnected
WaterfallPeriod.distribution_keur,WaterfallEngine (runtime),WaterfallEngine (runtime),runtime,cf_after_reserves, Sponsor allocated_per_sponsor_keur,None currently (DistributionAccount gate not wired),SAFE (current),RUNTIME authoritative for equity distributions
TaxEngine.compute_period_tax,TaxEngine (runtime),TaxEngine (runtime),runtime,ebitda + ATAD + fiscal_reintegration + CO2,cf_after_tax,Canonical depreciation as CIT source (pending),SAFE (current),CIT-aware post PR #142
CanonicalDepreciation,domain.depreciation (audit),domain.depreciation (CIT-authoritative),audit,capex_items + horizon_years,TaxEngine.taxable_income,canonical depreciation CIT validation,BLOCKED (not CIT-authoritative),HIGH,Must become CIT-authoritative before TaxEngine promotion
SeniorDebtSizing,domain.debt.sizing (audit),domain.debt.sizing (runtime),audit,ebitda_schedule + gearing_ratio,debt_schedule input to WaterfallEngine,SeniorDebtSizing runtime promotion,BLOCKED,HIGH,Must be stable before distribution promotion
HoldCo.overlay,HoldCoOverlay (runtime),HoldCoOverlay (runtime),runtime,available_distribution_by_period,SPV distributions,None,HOLDCO_SAFE,LOW,HoldCo overlay already runtime — not affected by DistributionAccount promotion
CO2 CIT bridge,TaxEngine (runtime),TaxEngine (runtime),runtime,co2_revenue_keur,taxable_income,None,SAFE NOW (PR #142),LOW,Y1 ~611 kEUR wired to taxable income — no distribution impact
