period,date,legacy_distribution_keur,da_distribution_keur,distribution_delta_keur,legacy_dscr,da_wired_dscr,dscr_delta,senior_ds_keur,cfads_or_cash_available_keur,lockup_active,blocked_reason,blocked_details,status,notes
2,2030-06-30,3070.19,0.0,-3070.19,inf,inf,N/A,0,3070.19,False,distribution_account,DA equity_paid=0; lockup or gate blocked,ZEROED,"lockup=False, senior_ds=0"
3,2030-12-31,3121.08,0.0,-3121.08,inf,inf,N/A,0,3121.08,False,distribution_account,DA equity_paid=0; lockup or gate blocked,ZEROED,"lockup=False, senior_ds=0"
4,2031-06-30,3105.37,0.0,-3105.37,inf,inf,N/A,0,3105.37,False,distribution_account,DA equity_paid=0; lockup or gate blocked,ZEROED,"lockup=False, senior_ds=0"
5,2031-12-31,3156.84,0.0,-3156.84,inf,inf,N/A,0,3156.84,False,distribution_account,DA equity_paid=0; lockup or gate blocked,ZEROED,"lockup=False, senior_ds=0"
6,2032-06-30,3150.43,0.0,-3150.43,inf,inf,N/A,0,3150.43,False,distribution_account,DA equity_paid=0; lockup or gate blocked,ZEROED,"lockup=False, senior_ds=0"
7,2032-12-31,3185.05,0.0,-3185.05,inf,inf,N/A,0,3185.05,False,distribution_account,DA equity_paid=0; lockup or gate blocked,ZEROED,"lockup=False, senior_ds=0"
8,2033-06-30,3179.22,0.0,-3179.22,inf,inf,N/A,0,3179.22,False,distribution_account,DA equity_paid=0; lockup or gate blocked,ZEROED,"lockup=False, senior_ds=0"
9,2033-12-31,3231.91,0.0,-3231.91,inf,inf,N/A,0,3231.91,False,distribution_account,DA equity_paid=0; lockup or gate blocked,ZEROED,"lockup=False, senior_ds=0"
10,2034-06-30,3210.04,0.0,-3210.04,inf,inf,N/A,0,3210.04,False,distribution_account,DA equity_paid=0; lockup or gate blocked,ZEROED,"lockup=False, senior_ds=0"
11,2034-12-31,3263.25,0.0,-3263.25,inf,inf,N/A,0,3263.25,False,distribution_account,DA equity_paid=0; lockup or gate blocked,ZEROED,"lockup=False, senior_ds=0"
12,2035-06-30,3272.21,0.0,-3272.21,inf,inf,N/A,0,3272.21,False,distribution_account,DA equity_paid=0; lockup or gate blocked,ZEROED,"lockup=False, senior_ds=0"
13,2035-12-31,3326.44,0.0,-3326.44,inf,inf,N/A,0,3326.44,False,distribution_account,DA equity_paid=0; lockup or gate blocked,ZEROED,"lockup=False, senior_ds=0"
14,2036-06-30,3341.23,0.0,-3341.23,inf,inf,N/A,0,3341.23,False,distribution_account,DA equity_paid=0; lockup or gate blocked,ZEROED,"lockup=False, senior_ds=0"
15,2036-12-31,3158.61,3158.61,0.0,inf,inf,N/A,0,3158.61,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
16,2037-06-30,3396.59,3396.59,0.0,inf,inf,N/A,0,3396.59,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
17,2037-12-31,3226.38,3226.38,0.0,inf,inf,N/A,0,3226.38,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
18,2038-06-30,3466.06,3466.06,0.0,inf,inf,N/A,0,3466.06,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
19,2038-12-31,3289.95,3289.95,0.0,inf,inf,N/A,0,3289.95,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
20,2039-06-30,3533.18,3533.18,0.0,inf,inf,N/A,0,3533.18,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
21,2039-12-31,3351.36,3351.36,0.0,inf,inf,N/A,0,3351.36,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
