model,sheet,row,active_cell,label,field_id_candidate,canonical_field_id,disposition,technology_scope,runtime_status,scenario_eligible,priority,confidence,review_note
TUHO,Project Identity,2,,Project Name,project.project_name,registry.project_setup.identity.project_name,MAPPED_TO_REGISTRY,Common,RUNTIME_FULLY_BOUND,FALSE,P0,CONFIRMED,Registry-backed exact match
TUHO,Project Identity,3,,Project Company,project.project_company,ui.project.project_company,MAPPED_TO_REGISTRY,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Workbook label; not in registry; display only
TUHO,Project Identity,4,,Project Code,project.project_code,ui.project.project_code,MAPPED_TO_REGISTRY,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Workbook label; not in registry; display only
TUHO,Project Identity,5,,Country,project.country,registry.project_setup.identity.country_market,MAPPED_TO_REGISTRY,Common,RUNTIME_PARTIALLY_BOUND,FALSE,P1_ENGINE,CONFIRMED,Pack 'country' column maps to registry 'country_market'
TUHO,Project Schedule,9,,Financial Close,schedule.financial_close,,TRUE_DUPLICATE,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Same as registry project_setup.technical.cod_date (engine_path info.financial_close).
TUHO,Project Schedule,10,,Scheduled Construction Time,schedule.scheduled_construction_time,,TRUE_DUPLICATE,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Same as registry project_setup.technical.construction_months.
TUHO,Project Schedule,14,,Investment Horizon,schedule.investment_horizon,,TRUE_DUPLICATE,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Same as registry project_setup.technical.horizon_years.
TUHO,Project Schedule,15,,Project Life,schedule.project_life,,TRUE_DUPLICATE,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Same as registry project_setup.technical.horizon_years.
TUHO,Project Schedule,16,,Model Horizon,schedule.model_horizon,,TRUE_DUPLICATE,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Same as registry project_setup.technical.horizon_years.
TUHO,Project Schedule,18,,Model Period,schedule.model_period,,TRUE_DUPLICATE,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Same as registry project_setup.info.period_frequency (display only).
TUHO,Technical & Yield,58,,Period,technical.period,,TRUE_DUPLICATE,Wind,N/A,FALSE,P2_ENGINE,CONFIRMED,Same as registry project_setup.info.period_frequency (display only).
TUHO,Technical & Yield,59,,Curtailment,technical.curtailment,,ENGINE_GAP,Wind,N/A,FALSE,P2_ENGINE,CONFIRMED,No registry field; engine does not consume (TUHO wind has no curtailment model).
TUHO,Technical & Yield,61,,Discount,technical.discount,,ENGINE_GAP,Wind,N/A,FALSE,P2_ENGINE,CONFIRMED,No registry field. WACC/discount rate is engine-internal.
TUHO,Technical & Yield,62,,Power Curve Adjustment,technical.power_curve_adjustment,,ENGINE_GAP,Wind,N/A,FALSE,P2_ENGINE,CONFIRMED,No registry field. Engine does not consume.
TUHO,Technical & Yield,66,,Historical average,technical.historical_average,,ENGINE_GAP,Wind,N/A,FALSE,P2_ENGINE,CONFIRMED,Historical average (yield reference). No registry field. Diagnostic only.
TUHO,Revenue,92,,Scenario,revenue.scenario,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Scenario label. Display only.
TUHO,Revenue,93,,if Profile,revenue.if_profile,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,IF (intrinsic forecasting) profile. No registry field.
TUHO,Revenue,94,,Index,revenue.index,,MAPPED_TO_REGISTRY,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Mapped to registry ProjectInputs.revenue.ppa_index (RUNTIME_PARTIALLY_BOUND).
TUHO,Revenue,96,,Index,revenue.index,,MAPPED_TO_REGISTRY,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Mapped to registry ProjectInputs.revenue.ppa_index (RUNTIME_PARTIALLY_BOUND).
TUHO,Revenue,111,,Inflation index,revenue.inflation_index,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Inflation index. Distinct from opex inflation; no registry field.
TUHO,Revenue,112,,Balancing costs,revenue.balancing_costs,,MAPPED_TO_REGISTRY,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Mapped to registry ProjectInputs.revenue.balancing_cost_eur_per_mwh (RUNTIME_PARTIALLY_BOUND in cross-walk; pack provides the editable cell).
TUHO,Revenue,116,,Amount,revenue.amount,,DERIVED_FROM_EXISTING_INPUT,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Revenue amount derived from tariff * production. Not a user input.
TUHO,Revenue,117,,Payment year,revenue.payment_year,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Payment year. No registry field.
TUHO,Revenue,123,,CO2 price,revenue.co2_price,,MAPPED_TO_REGISTRY,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Mapped to registry ProjectInputs.revenue.co2_price_eur (RUNTIME_PARTIALLY_BOUND).
TUHO,Revenue,124,,UNFCC's Retainer,revenue.unfcc_s_retainer,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,UNFCCC retainer. No registry field.
TUHO,Project & Debt Sizing,159,,Scenario,debt_sizing.scenario,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Debt-sizing scenario label. Display only; no engine consumer.
TUHO,Project & Debt Sizing,167,,Debt Sizing,debt_sizing.debt_sizing,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Debt-sizing toggle (sculpting vs flat). The actual sculpting/flat decision is exposed via debt.senior.interest_rate_pct; this pack row is a legacy artefact.
TUHO,Senior Debt & Refinancing,177,,Senior Loan,debt.senior_loan,,DERIVED_FROM_EXISTING_INPUT,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Senior loan amount is derived from gearing_ratio * total_capex in the engine; not a user input.
TUHO,Senior Debt & Refinancing,182,,Used %,debt.used,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Debt-used toggle. No registry field.
TUHO,Senior Debt & Refinancing,192,,Facility Bank 1,debt.facility_bank_1,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Bank-1 facility share. No registry field. No engine consumer.
TUHO,Senior Debt & Refinancing,197,,Commitment Fee,debt.commitment_fee,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Senior debt commitment fee. No registry field. Engine does not consume.
TUHO,Senior Debt & Refinancing,200,,Structuring Fee,debt.structuring_fee,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Senior debt structuring fee. No registry field.
TUHO,Senior Debt & Refinancing,201,,Arrangement Fee,debt.arrangement_fee,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Senior debt arrangement fee. No registry field. Engine does not consume (debt is sized in the engine).
TUHO,Senior Debt & Refinancing,205,,Annual DSCR Increase,debt.annual_dscr_increase,,DERIVED_FROM_EXISTING_INPUT,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Derived from target DSCR + sweep; not a user-editable input in the Finco1 engine.
TUHO,Senior Debt & Refinancing,206,,Lock-up,debt.lock_up,,TRUE_DUPLICATE,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Pack lock_up is the same concept as engine.dscr.lockup; documented in unresolved_pack_id_evidence as engine-owned.
TUHO,Senior Debt & Refinancing,209,,Operation,debt.operation,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Operation toggle. No registry field.
TUHO,Senior Debt & Refinancing,215,,Swap Margin,debt.swap_margin,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Swap margin. No engine consumer (engine does not model swaps).
TUHO,Senior Debt & Refinancing,216,,Forward Swap Margin,debt.forward_swap_margin,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Forward swap margin. No registry field. No engine consumer (engine does not model swaps).
TUHO,Senior Debt & Refinancing,217,,Credit Valuation Adjustment,debt.credit_valuation_adjustment,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,CVA. No registry field. No engine consumer.
TUHO,Senior Debt & Refinancing,222,,Year of refinancing,debt.year_of_refinancing,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Refinancing year. No engine consumer (no refinancing modelled).
TUHO,Senior Debt & Refinancing,227,,Margin,debt.margin,,DERIVED_FROM_EXISTING_INPUT,Common,N/A,TRUE,P2_ENGINE,CONFIRMED,Derived from interest_rate_pct - base_rate; not a separate user input.
TUHO,Senior Debt & Refinancing,230,,Swap additionnal,debt.swap_additionnal,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Additional swap toggle. No engine consumer.
TUHO,Senior Debt & Refinancing,233,,Up-front fee (% of total refinancing),debt.up_front_fee_of_total_refinancing,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Up-front fee. No registry field.
TUHO,Junior / VAT / LC / Rates,242,,Maturity,facilities.maturity,,TRUE_DUPLICATE,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Same as debt.senior.tenor_years.
TUHO,Junior / VAT / LC / Rates,245,,J-DSCR,facilities.j_dscr,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Junior DSCR. No registry field.
TUHO,Junior / VAT / LC / Rates,249,,Junior Front End Fee,facilities.junior_front_end_fee,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Junior front-end fee. No registry field.
TUHO,Junior / VAT / LC / Rates,253,,Hedge Coverage,facilities.hedge_coverage,,MAPPED_TO_REGISTRY,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Mapped to registry ProjectInputs.financing.hedge_coverage (RUNTIME_PARTIALLY_BOUND in cross-walk; pack provides the editable cell).
TUHO,Junior / VAT / LC / Rates,259,,Amount paid in certificates,facilities.amount_paid_in_certificates,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,No registry field; no engine consumer.
TUHO,Junior / VAT / LC / Rates,261,,VAT% for VAT loan repayment,facilities.vat_for_vat_loan_repayment,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,VAT loan. No registry field.
TUHO,Junior / VAT / LC / Rates,269,,VAT collected,facilities.vat_collected,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,VAT collected. No registry field. No engine consumer.
TUHO,Junior / VAT / LC / Rates,274,,L/C Fee,facilities.l_c_fee,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,L/C fee. No registry field.
TUHO,Junior / VAT / LC / Rates,275,,Amount,facilities.amount,,DERIVED_FROM_EXISTING_INPUT,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,Facility amount derived from capex + financing structure.
TUHO,Junior / VAT / LC / Rates,281,,Buffer on external source,facilities.buffer_on_external_source,,ENGINE_GAP,Common,N/A,FALSE,P2_ENGINE,CONFIRMED,No registry field; no engine consumer.
