period,date,opening_shl_balance_keur,available_cash_pre_shl_keur,senior_debt_service_keur,dscr,lockup_active,shl_interest_keur,shl_principal_keur,repayment_allowed,repayment_trigger_reason,repayment_blocker,distribution_keur,notes
1,2030-06-30,32703.69,1081.087,1989.107,1.543504,False,0.0,0.0,False,SHL disbursement/opening period bypasses SHL service,disbursement-period guard,0.0,
2,2030-12-31,32703.69,1099.006,2022.075,1.543504,False,1099.006,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
3,2031-06-30,32912.043,1093.474,2011.897,1.543504,False,1093.474,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
4,2031-12-31,33112.806,1111.598,2045.244,1.543504,False,1111.598,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
5,2032-06-30,33324.921,1109.342,2041.092,1.543504,False,1109.342,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
6,2032-12-31,33529.692,1121.532,2063.522,1.543504,False,1121.532,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
7,2033-06-30,33744.877,1119.477,2059.74,1.543504,False,1119.477,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
8,2033-12-31,33952.387,1138.032,2093.88,1.543504,False,1138.032,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
9,2034-06-30,34171.632,1130.332,2079.711,1.543504,False,1130.332,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
10,2034-12-31,34385.069,1149.066,2114.182,1.543504,False,1149.066,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
11,2035-06-30,34610.577,1152.221,2119.986,1.543504,False,1152.221,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
12,2035-12-31,34819.386,1171.318,2155.124,1.543504,False,1171.318,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
13,2036-06-30,35040.003,1176.525,2164.704,1.543504,False,1176.525,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
14,2036-12-31,35245.222,1189.454,2188.492,1.543504,False,1189.454,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
15,2037-06-30,35460.877,1196.019,2200.57,1.543504,False,1196.019,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
16,2037-12-31,35659.326,1215.842,2237.044,1.543504,False,1215.842,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
17,2038-06-30,35868.997,1220.482,2245.58,1.543504,False,1220.482,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
18,2038-12-31,36059.032,1240.711,2282.8,1.543504,False,1240.711,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
19,2039-06-30,36259.813,1244.116,2289.065,1.543504,False,1244.116,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
20,2039-12-31,36441.581,1264.737,2327.005,1.543504,False,1264.737,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
21,2040-06-30,36633.629,1270.445,2337.508,1.543504,False,1270.445,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
22,2040-12-31,36807.77,988.065,2363.195,1.418106,False,988.065,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
23,2041-06-30,37287.109,1291.461,2376.175,1.543504,False,1291.461,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
24,2041-12-31,37461.93,931.494,2415.559,1.385623,False,931.494,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
