period,date,excel_production_mwh,model_production_mwh,excel_revenue_keur,model_revenue_keur,excel_opex_keur,model_opex_keur,excel_ebitda_keur,model_ebitda_keur,excel_senior_opening_keur,model_senior_opening_keur,excel_senior_interest_keur,model_senior_interest_keur,excel_senior_principal_keur,model_senior_principal_keur,excel_senior_closing_keur,model_senior_closing_keur,excel_shl_opening_keur,model_shl_opening_keur,excel_shl_interest_keur,model_shl_interest_keur,excel_shl_pik_keur,model_shl_pik_keur,excel_shl_principal_keur,model_shl_principal_keur,excel_shl_closing_keur,model_shl_closing_keur,excel_distribution_keur,model_distribution_keur,excel_dscr,model_dscr,lockup
1,2030-01-01,72271.06849315068,0,4060.9881853157603,0,990.8123479452053,0,3070.175837370555,0,43358.53056811588,0,1297.0824859814552,0,819.278908110608,0,42539.25166000527,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,False
2,2030-07-01,73468.93150684932,0,4128.2973817574575,0,1007.2346520547948,0,3121.062729702663,0,42539.25166000527,0,1293.6659088159379,0,857.7732984378715,0,41681.478361567395,0,959.0841363352793,0,959.0841363352793,0,0,0,0,0,959.0841363352793,0,0,0,1.2,0,False
3,2031-01-01,72271.06849315068,0,4118.2246415183245,0,1006.5748296438359,0,3111.6498118744885,0,41681.478361567395,0,1246.9130033747222,0,897.7787216611821,0,40783.69963990621,0,969.6961392641024,0,969.6961392641024,0,0,0,0,0,969.6961392641024,0,0,0,1.2,0,False
4,2031-07-01,73468.93150684932,0,4186.482508504817,0,1023.2583903561645,0,3163.2241181486525,0,40783.69963990621,0,1240.2776212713698,0,939.9614804225889,0,39843.738159483626,0,966.9580868385842,0,966.9580868385842,0,0,0,0,0,966.9580868385842,0,0,0,1.2,0,False
5,2032-01-01,72471.80327868853,0,4188.797873554913,0,1067.6613112590164,0,3121.1365622958965,0,39843.738159483626,0,1198.5217792473559,0,946.3922861917731,0,38897.34587329185,0,983.0065664554968,0,983.0065664554968,0,0,0,0,0,983.0065664554968,0,0,0,1.2,0,False
6,2032-07-01,73268.19672131147,0,4234.828619418153,0,1079.3938531409835,0,3155.4347662771693,0,38897.34587329185,0,1182.9115072799977,0,985.5730423947261,0,37911.77283089713,0,976.2224968567675,0,976.2224968567675,0,0,0,0,0,976.2224968567675,0,0,0,1.2,0,False
7,2033-01-01,72271.06849315068,0,4237.935760967838,0,1081.103353785008,0,3156.83240718283,0,37911.77283089713,0,1134.141215284296,0,1035.1697616495014,0,36876.60306924763,0,987.0422762337442,0,987.0422762337442,0,0,0,0,0,987.0422762337442,0,0,0,1.2,0,False
8,2033-07-01,73468.93150684932,0,4308.1777901551495,0,1099.0221939029916,0,3209.155596252158,0,36876.60306924763,0,1121.4584733392303,0,1083.8079341514817,0,35792.795135096145,0,987.5214302490326,0,987.5214302490326,0,0,0,0,0,987.5214302490326,0,0,0,1.2,0,False
9,2034-01-01,72271.06849315068,0,4292.607296335956,0,1097.8306254634479,0,3194.7766708725076,0,35792.795135096145,0,1070.751408909494,0,1124.2277153913317,0,34668.567419704814,0,1003.9570126085323,0,1003.9570126085323,0,0,0,0,0,1003.9570126085323,0,0,0,1.2,0,False
10,2034-07-01,73468.93150684932,0,4363.755483568043,0,1116.026713178312,0,3247.728770389731,0,34668.567419704814,0,1054.3096558636896,0,1177.0503379006848,0,33491.51708180413,0,999.7975465716818,0,999.7975465716818,0,0,0,0,0,999.7975465716818,0,0,0,1.2,0,False
11,2035-01-01,72271.06849315068,0,4379.2544240161005,0,1179.2312480549087,0,3200.0231759611916,0,33491.51708180413,0,1001.90803670136,0,1188.0099304051178,0,32303.50715139901,0,1016.42572503576,0,1016.42572503576,0,0,0,0,0,1016.42572503576,0,0,0,1.2,0,False
12,2035-07-01,73468.93150684932,0,4451.8387514859805,0,1198.7765173596867,0,3253.0622341262942,0,32303.50715139901,0,982.3855452597676,0,1243.8294047269264,0,31059.677746672085,0,1010.105208854714,0,1010.105208854714,0,0,0,0,0,1010.105208854714,0,0,0,1.2,0,False
13,2036-01-01,72471.80327868853,0,4476.564819508761,0,1199.9579846217634,0,3276.6068348869967,0,31059.677746672085,0,934.2923619964222,0,1308.8511695951356,0,29750.82657707695,0,1026.944962176298,0,1026.944962176298,0,0,0,0,0,1026.944962176298,0,0,0,1.2,0,False
14,2036-07-01,73268.19672131147,0,4525.757839503362,0,1213.1443361011238,0,3312.6135034022386,0,29750.82657707695,0,904.7556926828844,0,1363.0377678272607,0,28387.78880924969,0,1033.4633032954396,0,1033.4633032954396,0,0,0,0,0,1033.4633032954396,0,0,0,1.2,0,False
15,2037-01-01,72271.06849315068,0,4554.605129717309,0,1214.3854160324913,0,3340.219713684818,0,28387.78880924969,0,849.2285877255958,0,1438.4294528638552,0,26949.359356385834,0,1044.9569309561723,0,1044.9569309561723,0,0,0,0,0,1044.9569309561723,0,0,0,1.2,0,False
16,2037-07-01,73468.93150684932,0,4630.095822475054,0,1234.513351104853,0,3395.5824713702013,0,26949.359356385834,0,819.5599617603114,0,1506.0150629273064,0,25443.34429345853,0,1052.5616730953666,0,1052.5616730953666,0,0,0,0,0,1052.5616730953666,0,0,0,1.2,0,False
17,2038-01-01,72271.06849315068,0,4650.61166496919,0,1232.491552846292,0,3418.1201121228987,0,25443.34429345853,0,761.1447121344489,0,1580.9781267097133,0,23862.366166748816,0,1070.1369251366348,0,1070.1369251366348,0,0,0,0,0,1070.1369251366348,0,0,0,1.2,0,False
18,2038-07-01,73468.93150684932,0,4727.6936262670215,0,1252.9195896338,0,3474.774036633222,0,23862.366166748816,0,725.6810688710166,0,1655.261485534099,0,22207.104681214718,0,1075.997273278736,0,1075.997273278736,0,0,0,0,0,1075.997273278736,0,0,0,1.2,0,False
19,2039-01-01,72271.06849315068,0,4744.997048569943,0,1250.9598123963683,0,3494.0372361735754,0,22207.104681214718,0,664.3317051787275,0,1730.779697519943,0,20476.324983694776,0,1093.9581593562618,0,1093.9581593562618,0,0,0,0,0,1093.9581593562618,0,0,0,1.2,0,False
20,2039-07-01,73468.93150684932,0,4823.6434084909915,0,1271.693952933325,0,3551.9494555576666,0,20476.324983694776,0,622.7077942263621,0,1812.101587522563,0,18664.223396172212,0,1098.9258334749043,0,1098.9258334749043,0,0,0,0,0,1098.9258334749043,0,0,0,1.2,0,False
21,2040-01-01,72471.80327868853,0,4851.238247892874,0,1294.4084857808857,0,3556.829762111988,0,18664.223396172212,0,561.4302087698579,0,1874.441853866348,0,16789.781542305864,0,1117.2277686030066,0,1117.2277686030066,0,0,0,0,0,1117.2277686030066,0,0,0,1.2,0,False
22,2040-07-01,73268.19672131147,0,4904.548558309279,0,1308.6327548554013,0,3595.9158034538773,0,16789.781542305864,0,510.595912014346,0,1952.0439754859935,0,14837.73756681987,0,1120.9576994757822,0,1120.9576994757822,0,0,0,0,0,1120.9576994757822,0,0,0,1.2,0,False
23,2041-01-01,72271.06849315068,0,4936.291656769975,0,1310.0375677980037,0,3626.254088971971,0,14837.73756681987,0,443.8750409051849,0,2040.5908903300906,0,12797.146676489778,0,1133.4250295806082,0,1133.4250295806082,0,0,0,0,0,1133.4250295806082,0,0,0,1.2,0,False
24,2041-07-01,73468.93150684932,0,5018.108645556218,0,1331.750897651009,0,3686.357747905209,0,12797.146676489778,0,389.1754494839169,0,2136.4694750867507,0,10660.677201403027,0,1141.7881577366957,0,1141.7881577366957,0,0,0,0,0,1141.7881577366957,0,0,0,1.2,0,False
25,2042-01-01,72271.06849315068,0,7438.571995726028,0,1329.6362325786215,0,6108.935763147407,0,10660.677201403027,0,318.91711977919414,0,2556.3858936037486,0,8104.291307799278,0,1172.269975776684,0,1163.9894121507368,0,0,0,8.280563625947146,0,1163.9894121507368,0,0,0,1.4124361191535666,0,False
