item,excel_sheet,excel_cell_or_range,excel_formula_or_description,model_source,model_field_or_method,matches_model,evidence_status,notes
Excel equity IRR result cell,Eq,D28,XIRR of equity cashflow row vs equity investment dates. Value = 11.61%,WaterfallResult.equity_irr,equity_irr field,UNKNOWN,MISSING_EVIDENCE,Cell value confirmed from Sprint 21 gap register. Formula not extracted.
Excel equity IRR cashflow row,Eq,D? (row unknown),Equity CF stream: initial investment + semi-annual SHL interest + distributions,domain/waterfall/waterfall_engine.py lines 1082-1091,equity_cf_list (shl_plus_dividends inline),UNKNOWN,MISSING_EVIDENCE,Row range not extracted from Excel. Need to extract Eq sheet row range.
Excel investment base,Eq,D? or C?,"Likely -(SHL + IDC + share_capital) at FC date = -(32,703.69) kEUR",t0 = -(shl_amount + shl_idc + share_capital),investment_base,UNKNOWN,MISSING_EVIDENCE,Not confirmed from Excel. Based on capital structure analysis.
Excel dates / XIRR timing,Eq,?,"Semi-annual dates aligned with period end dates (2030-06-30, 2030-12-31, etc.)",WaterfallResult.periods[i].date,period end dates,LIKELY_MATCH,PARTIAL,Model uses period end dates. Excel likely same but not confirmed.
SHL interest,Excel model,Row 28 (TUHO Comparison),"SHL cash interest (Y1H2 onwards, ~990-165 kEUR per period declining)",period.shl_interest_keur,shi_list,MATCHED,AVAILABLE,TUHO Comparison file shows model SHL interest. Excel model interest structure similar.
SHL principal,Excel model,N/A,SHL principal repaid via PIK+sweep (not in equity CF for shl_plus_dividends),period.shl_principal_keur,shp_list,MATCHED,AVAILABLE,"shp tracked separately, not included in equity CF stream"
Dividends/distributions,Excel model,?,Equity distributions after SHL repaid (from period ~15 onwards in model),period.distribution_keur,dist_list,MATCHED,AVAILABLE,Distributions from period 15 onwards when SHL balance = 0
WHT,N/A,N/A,TUHO has WHT = 0% on SHL interest. No WHT applicable.,shl_wht_rate=0.0,wht_keur=0,MATCHED,AVAILABLE,WHT=0 confirmed for TUHO. Not a gap driver.
SHL IDC,Excel model,Row 30 (SHL Balance Y1H1),"SHL IDC capitalized in opening balance = 32,703.69 kEUR",shl_idc_keur=3568.69,included in shl_balance,MATCHED,AVAILABLE,"IDC included in SHL opening balance. Model and Excel both show 32,703.69."
Terminal cash/residual,N/A,N/A,No terminal cash in current model. Period 61 (2060-01-01) is final operational period.,periods[-1].shl_balance_keur=0.0,terminal_balance=0,MATCHED,AVAILABLE,SHL fully repaid. No residual terminal cash.
model corrected shl_plus_dividends,N/A,N/A,"equity_irr = xirr([t0] + equity_cf_list), t0=-(33,203.69), CF=shi when bal>0 else dist",run_waterfall_v3_core with use_distributionaccount_runtime_wiring=True,shl_plus_dividends,14.74% (model) / 15.49% (manual),AVAILABLE,Model equity_irr = 14.74%. Manual corrected = 15.49% (small diff due to investment base timing)
model build_sponsor_cashflows buggy,N/A,N/A,build_sponsor_cashflows adds shi+shp on top of equity_cf for shl_plus_dividends,domain/returns/sponsor_cashflows.py,double-count bug,BUG,FIXED,Produces 26.66% vs correct 14.96%. Bug documented in PR #158.
