subsystem,current_owner,future_owner,runtime_or_audit,upstream_dependency,downstream_dependency,promotion_dependency,current_status,risk_level,notes
CO2 certificate revenue,domain/revenue/generation.py,TaxEngine,runtime,none,ebitda_keur,CO2→CIT bridge,MISSING,HIGH,"Generated by revenue_decomposition_schedule() but not wired to period.revenue_keur. ~611 kEUR Y1 for TUHO at co2_price=4.191 EUR/MWh currently invisible to tax/distribution chain."
Waterfall EBITDA,app/waterfall_core.py,app/waterfall_core.py,runtime,revenue_keur,CIT input,CO2→revenue bridge,CO2-MISSING,HIGH,"ebitda = max(0, rev - opex) uses revenue WITHOUT CO2. CO2 bypasses EBITDA entirely."
TaxEngine/CIT,domain/tax/engine.py,domain/tax/engine.py,runtime,ebitda_keur,depreciation_keur,post-tax cash,Depreciation-canonical,PARTIAL,MEDIUM,"Takes ebitda_keur from waterfall. Does not have explicit co2_revenue_keur field. CIT base excludes CO2 revenue."
Depreciation canonical,domain/depreciation/canonical_wiring.py,TaxEngine,futuristic,asset data,tax bridge,TaxBridge promotion,NOT_WIRED,HIGH,"Replaces depreciation_keur and tax_depreciation_audit_keur when flag=True. NOT wired to TaxEngine — audit/post-processing only."
TaxBridge,domain/depreciation/tax_bridge.py,TaxEngine,futuristic,depreciation,CIT validation,depreciation→CIT,NOT_PROMOTED,HIGH,"NOT wired to TaxEngine — audit only. Produces DepreciationTaxAuditRow per period. Validates canonical vs runtime depreciation. Must be promoted before depreciation→CIT wiring."
DistributionAccount,domain/distribution_account/engine.py,domain/distribution_account/engine.py,futuristic,r99/r102 gates,sponsor handoff,gate ownership+CO2 bridge,BLOCKED,HIGH,"compute() evaluates gates but returns equity_distribution_paid_keur=0 always. audit-only mode. enable_r99_r102_runtime=False everywhere."
R99 gate,domain/distribution_account/engine.py,domain/distribution_account/engine.py,futuristic,post-tax cash,distribution eligibility,CO2→CIT chain,BLOCKED,HIGH,"r99_fcf_for_distribution_keur excludes CO2. Gate evaluation not connected to actual post-tax cashflow chain. Blocked until CO2→CIT→DistributionAccount complete."
R102 gate,domain/distribution_account/engine.py,domain/distribution_account/engine.py,futuristic,SHL sweep,SHL cash,DistributionAccount runtime,BLOCKED,HIGH,"SHL sweep logic not wired to runtime. Requires DistributionAccount runtime mode + SHL canonical wiring. Blocked until DistributionAccount promoted."
Sponsor explicit tuple,domain/sponsor/sponsor_cashflow_runner.py,domain/sponsor/sponsor_cashflow_runner.py,runtime,DistributionAccount,capital account,none,WIRING_DONE,LOW,"distribution_account_received_by_period is explicit tuple wired from DistributionAccount. Default None path does not consume CO2-adjusted cash. Tuple wiring is complete."
SeniorDebtSizing,domain/senior_debt_sizing,waterfall,futuristic,sizing_cfads,debt capacity,Macro!R50,PARTIAL,MEDIUM,"Takes sizing_cfads from Macro!R50 for debt capacity computation. Macro!R50 wiring is partial/explicit input only. Debt sizing may be optimistic if sizing_cfads includes CO2 but actual_cfads does not."
SHL canonical,domain/shl,domain/shl,runtime-optional,post-senior cash,SHL service,R102 gate,WIRING_DONE,LOW,"SHL sweep canonical is wired. Optional runtime mode depends on R102 gate completion. Current status: wiring done but runtime gated on R102."
actual_cfads,app/waterfall_core.py,app/waterfall_core.py,runtime,ebitda,CIT,DSCR co2 inclusion,CO2-MISSING,MEDIUM,"CF!R69: currently excludes CO2 → understates cash available for distribution. Affects DSCR denominator and distribution eligibility. Depends on CO2→revenue bridge."
sizing_cfads,Macro!R50,SeniorDebtSizing,config,none,debt sizing,none,EXPLICIT_INPUT,LOW,"Macro!R50 used for debt capacity computation. Explicit input without CO2 adjustment. Requires verification whether CO2 is included in sizing assumptions vs actuals."
HoldCo distribution,domain/sponsor,domain/sponsor,runtime,post-tax cash,sponsor cashflow,none,NOMINAL,LOW,"holdco_distribution_by_period path. Default None does not consume CO2-adjusted cash. Tuple wiring from DistributionAccount is complete."
Waterfall revenue_keur,app/waterfall_core.py,app/waterfall_core.py,runtime,gross revenue,EBITDA,CO2 bridge,CO2-MISSING,HIGH,"period.revenue_keur used in EBITDA computation. CO2 not included. Must be updated to include co2_revenue_keur alongside gross revenue."
