canonical_field_id,registry_field_id,registry_label,registry_kind,registry_binding_status,registry_scenario_policy,registry_source_of_truth,registry_engine_path,registry_snapshot_key,registry_excel_hint_tuho,registry_excel_hint_oborovo,save_path,save_evidence_type,save_pipeline,adapter_path,adapter_evidence_type,adapter_detail,projectinputs_path,engine_consumer,engine_consumer_evidence_type,test_evidence,test_evidence_scope,runtime_validation_status,scenario_mapping_status,verified_tuho_input_cell,verified_oborovo_input_cell,verified_tuho_scenario_cell,verified_oborovo_scenario_cell,verified_tuho_scenario_range,verified_oborovo_scenario_range,runtime_binding_status,excel_mapping_status,confidence,notes
registry.project_setup.identity.project_name,project_setup.identity.project_name,Project Name,INPUT,BOUND,NOT_ALLOWED,INPUT_SET,info.name,project_name,Inputs!B2,Inputs!B2,app/persistence/projects_repository.py::save_project,EXACT_SYMBOL,,app/input_adapter.py::_resolve_user_inputs,INLINE_LOGIC,"INLINE_LOGIC in _resolve_user_inputs: if project_name is not None, proj.info.name = project_name",ProjectInputs.info.name,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION — specific consumer not a single symbol),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,D2,D2,,,,,RUNTIME_FULLY_BOUND,VERIFIED_BOTH_MODELS,CONFIRMED,
registry.project_setup.identity.project_type,project_setup.identity.project_type,Project Type,TEMPLATE_INPUT,TEMPLATE_LOCKED,NOT_ALLOWED,TEMPLATE,,project_type,Inputs!B3,Inputs!B3,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,TEMPLATE_LOCKED,SOURCE_COORDINATE_UNRESOLVED,CONFIRMED,
registry.project_setup.identity.country_market,project_setup.identity.country_market,Country / Market,INPUT,PARTIAL,NOT_ALLOWED,INPUT_SET,info.country_iso,country_market,Inputs!B4,Inputs!B4,app/persistence/projects_repository.py::save_project,EXACT_SYMBOL,,app/input_adapter.py::_resolve_user_inputs,INLINE_LOGIC,"INLINE_LOGIC in _resolve_user_inputs: if country_iso is not None, proj.info.country_iso = _country_iso(country_iso)",ProjectInputs.info.country_iso,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION — specific consumer not a single symbol),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,D5,D5,,,,,RUNTIME_PARTIALLY_BOUND,VERIFIED_BOTH_MODELS,PROBABLE,
registry.project_setup.identity.currency,project_setup.identity.currency,Currency,INPUT,PARTIAL,NOT_ALLOWED,INPUT_SET,,currency,Inputs!B5,Inputs!B5,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,PROBABLE,
registry.project_setup.identity.scenario,project_setup.identity.scenario,Scenario,INPUT,PARTIAL,NOT_ALLOWED,INPUT_SET,,scenario,,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,PROBABLE,
registry.project_setup.technical.capacity_mw,project_setup.technical.capacity_mw,Installed Capacity,INPUT,BOUND,OVERRIDE,INPUT_SET,technical.capacity_mw,capacity_mw,Inputs!H7,Inputs!H7,app/persistence/projects_repository.py::save_project,EXACT_SYMBOL,,app/input_adapter.py::_set_technical_capacity,EXACT_SYMBOL,,ProjectInputs.technical.capacity_mw,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION — specific consumer not a single symbol),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,GENERIC_ROUTE_ONLY,VERIFIED_TUHO_ONLY,D51,D51,E9,,G9:L9,,RUNTIME_FULLY_BOUND,VERIFIED_BOTH_MODELS,CONFIRMED,
registry.project_setup.technical.p50_hours,project_setup.technical.p50_hours,P50 Operating Hours,INPUT,BOUND,OVERRIDE,INPUT_SET,technical.operating_hours_p50,p50_hours,Inputs!H8,Inputs!H8,app/persistence/projects_repository.py::save_project,EXACT_SYMBOL,,app/input_adapter.py::_set_technical_p50_hours,EXACT_SYMBOL,,ProjectInputs.technical.operating_hours_p50,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION — specific consumer not a single symbol),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,D67,D64,,,,,RUNTIME_FULLY_BOUND,VERIFIED_BOTH_MODELS,CONFIRMED,
registry.project_setup.technical.capacity_factor,project_setup.technical.capacity_factor,Capacity Factor (P50),DERIVED_DISPLAY,DISPLAY_ONLY,NOT_ALLOWED,DERIVED_UI,,capacity_factor,,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,DISPLAY_ONLY,SOURCE_COORDINATE_UNRESOLVED,CONFIRMED,
registry.project_setup.technical.cod_date,project_setup.technical.cod_date,Commercial Operation Date,INPUT,BOUND,NOT_ALLOWED,INPUT_SET,info.cod_date,cod_date,Inputs!H9,Inputs!H9,app/persistence/projects_repository.py::save_project,EXACT_SYMBOL,,app/input_adapter.py::_resolve_user_inputs,INLINE_LOGIC,"INLINE_LOGIC in _resolve_user_inputs: if cod_date is not None, proj.info.cod_date = cod_date",ProjectInputs.info.cod_date,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION — specific consumer not a single symbol),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.project_setup.technical.construction_months,project_setup.technical.construction_months,Construction Duration,INPUT,BOUND,NOT_ALLOWED,INPUT_SET,info.construction_months,construction_months,Inputs!H10,Inputs!H10,app/persistence/projects_repository.py::save_project,EXACT_SYMBOL,,app/input_adapter.py::_resolve_user_inputs,INLINE_LOGIC,"INLINE_LOGIC in _resolve_user_inputs: if construction_months is not None, proj.info.construction_months = int(construction_months)",ProjectInputs.info.construction_months,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION — specific consumer not a single symbol),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
