excel_col,period_index,operating_period_index,cf_r69_cfads_keur,cf_r70_senior_ds_keur,cf_r70_formula,post_senior_cash_keur,cf_r99_fcf_for_dist_keur,cf_r99_formula,cf_r102_fcf_for_shl_keur,cf_r102_formula,cf_r104_net_shl_keur,cf_r104_formula,ds_r120_shl_beginning_keur,ds_r135_gross_accrued_int_keur,cf_r116_cash_avail_for_int_keur,ds_r122_net_int_paid_keur,ds_r138_pik_capitalized_keur,ds_r137_principal_repaid_keur,ds_r139_shl_ending_keur,ds_r127_ds_incl_wth_keur,ds_r128_ds_excl_wth_keur,pct_cash_int_paid,pct_pik,cash_sweep_pct,classification,notes
G,1,0,0.0,0.0,"=-SUM(DS!G49:G50,DS!G84:G85)",0.0,0.0,"=IF(AND(OR(G$128<$B$99,G$3=0,G98<0,G81<G76,G95<G90),G$3<=$B$10),0,G98)",0.0,=G99,0.0,=-DS!G128,0.0,3568.6878,0.0,3568.6878,3568.6878,0.0,32703.864,0.0,0.0,1.0,1.0,,SHL_Inactive,construction; PIK
H,2,1,3070.1758,-2116.3614,"=-SUM(DS!H49:H50,DS!H84:H85)",953.8144,953.8144,"=IF(AND(OR(H$128<$B$99,H$3=0,H98<0,H81<H76,H95<H90),H$3<=$B$10),0,H98)",953.8144,=H99,-953.8144,=-DS!H128,32703.864,1297.4026,0.0,1297.4026,343.5882,0.0,33047.4522,953.8144,953.8144,1.0,0.2648,1.0,SHL_Active,PIK
I,3,1,3121.0627,-2151.4392,"=-SUM(DS!I49:I50,DS!I84:I85)",969.6235,969.6235,"=IF(AND(OR(I$128<$B$99,I$3=0,I98<0,I81<I76,I95<I90),I$3<=$B$10),0,I98)",969.6235,=I99,-969.6235,=-DS!I128,33047.4522,1332.763,0.0,1332.763,363.1395,0.0,33410.5917,969.6235,969.6235,1.0,0.2725,1.0,SHL_Active,PIK
J,4,2,3111.6498,-2144.6917,"=-SUM(DS!J49:J50,DS!J84:J85)",966.9581,966.9581,"=IF(AND(OR(J$128<$B$99,J$3=0,J98<0,J81<J76,J95<J90),J$3<=$B$10),0,J98)",966.9581,=J99,-966.9581,=-DS!J128,33410.5917,1325.4394,0.0,1325.4394,358.4813,0.0,33769.0729,966.9581,966.9581,1.0,0.2705,1.0,SHL_Active,PIK
K,5,2,3163.2241,-2180.2391,"=-SUM(DS!K49:K50,DS!K84:K85)",982.985,982.985,"=IF(AND(OR(K$128<$B$99,K$3=0,K98<0,K81<K76,K95<K90),K$3<=$B$10),0,K98)",982.985,=K99,-982.985,=-DS!K128,33769.0729,1361.8651,0.0,1361.8651,378.8801,0.0,34147.953,982.985,982.985,1.0,0.2782,1.0,SHL_Active,PIK
L,6,3,3121.1366,-2144.9141,"=-SUM(DS!L49:L50,DS!L84:L85)",976.2225,976.2225,"=IF(AND(OR(L$128<$B$99,L$3=0,L98<0,L81<L76,L95<L90),L$3<=$B$10),0,L98)",976.2225,=L99,-976.2225,=-DS!L128,34147.953,1362.1759,0.0,1362.1759,385.9534,0.0,34533.9064,976.2225,976.2225,1.0,0.2833,1.0,SHL_Active,PIK
M,7,3,3155.4348,-2168.4845,"=-SUM(DS!M49:M50,DS!M84:M85)",986.9502,986.9502,"=IF(AND(OR(M$128<$B$99,M$3=0,M98<0,M81<M76,M95<M90),M$3<=$B$10),0,M98)",986.9502,=M99,-986.9502,=-DS!M128,34533.9064,1392.7099,0.0,1392.7099,405.7597,0.0,34939.666,986.9502,986.9502,1.0,0.2913,1.0,SHL_Active,PIK
N,8,4,3156.8324,-2169.311,"=-SUM(DS!N49:N50,DS!N84:N85)",987.5214,987.5214,"=IF(AND(OR(N$128<$B$99,N$3=0,N98<0,N81<N76,N95<N90),N$3<=$B$10),0,N98)",987.5214,=N99,-987.5214,=-DS!N128,34939.666,1386.0996,0.0,1386.0996,398.5782,0.0,35338.2442,987.5214,987.5214,1.0,0.2876,1.0,SHL_Active,PIK
O,9,4,3209.1556,-2205.2664,"=-SUM(DS!O49:O50,DS!O84:O85)",1003.8892,1003.8892,"=IF(AND(OR(O$128<$B$99,O$3=0,O98<0,O81<O76,O95<O90),O$3<=$B$10),0,O98)",1003.8892,=O99,-1003.8892,=-DS!O128,35338.2442,1425.1478,0.0,1425.1478,421.2586,0.0,35759.5029,1003.8892,1003.8892,1.0,0.2956,1.0,SHL_Active,PIK
P,10,5,3194.7767,-2194.9791,"=-SUM(DS!P49:P50,DS!P84:P85)",999.7975,999.7975,"=IF(AND(OR(P$128<$B$99,P$3=0,P98<0,P81<P76,P95<P90),P$3<=$B$10),0,P98)",999.7975,=P99,-999.7975,=-DS!P128,35759.5029,1418.6236,0.0,1418.6236,418.826,0.0,36178.3289,999.7975,999.7975,1.0,0.2952,1.0,SHL_Active,PIK
Q,11,5,3247.7288,-2231.36,"=-SUM(DS!Q49:Q50,DS!Q84:Q85)",1016.3688,1016.3688,"=IF(AND(OR(Q$128<$B$99,Q$3=0,Q98<0,Q81<Q76,Q95<Q90),Q$3<=$B$10),0,Q98)",1016.3688,=Q99,-1016.3688,=-DS!Q128,36178.3289,1459.0274,0.0,1459.0274,442.6586,0.0,36620.9875,1016.3688,1016.3688,1.0,0.3034,1.0,SHL_Active,PIK
