gate_name,gate_type,blocked_reason,current_status,promotion_prerequisite,owner_module,notes
r99_gate,equity_distribution,no_router_exists — r99_fcf_for_distribution_keur computed but not wired to downstream consumer,BLOCKED,DistributionAccount class must exist and consume r99 as input,domain/distribution_account/,R99 = max(0, R84+R98-SHL_required); TUHO-specific gate; Oborovo must not apply
r102_gate,shl_sweep,no_shl_sweep_runtime_input — r102_fcf_for_shl_keur computed but not wired to ShlEngine,BLOCKED,ShlEngine must receive r102 as runtime input for sweep,domain/distribution_account/,R102 = max(0, R99-equity_distribution_taken); TUHO-specific; Oborovo must not apply
dscr_gate,dscr_threshold,dscr_stability_not_validated — distributions change DSCR denominator; ±0.05 threshold not tested,BLOCKED,DSCR stability analysis must pass (±0.05 threshold),app/waterfall_core.py,DSCR gate: dscr < target_distribution_dscr → blocked; subordinate to SeniorDebtEngine
lockup_gate,tuho_lockup,lockup_conditions_defined_but_not_wired — year<=tenor AND (dscr<lockup OR dsra<target OR jdsra<target) — already in compute_tuho_r99_input_period() logic,FUTURE_WORK,Already implemented in engine.py audit function; needs wiring into DistributionAccount class,domain/distribution_account/,Tuho-specific; equivalent logic already in compute_tuho_r99_input_period(); Oborovo not applicable
cash_sufficiency_gate,cash,insufficient_cash_guard_exists_in_engine — max(0, available) already computed; not wired to prevent negative distributions,FUTURE_WORK,Already in engine.py; needs explicit gate result in DistributionAccount result,domain/distribution_account/,Guard: available < 0 → distribution = 0
oborovo_guard,oborovo,R99/R102 TUHO-specific gates would incorrectly apply to Oborovo — no Oborovo equivalent gates exist,BLOCKED,Oborovo guard must raise ValueError (like use_tax_bridge_engine pattern),app/waterfall_core.py,is_oborovo=True → skip TUHO gates; use Oborovo-specific logic (TBD in future branch)
dsra_top_up_gate,dsra,dsra_top_up not wired to DsraEngine — top-up amount computed but no downstream consumer,BLOCKED,DsraEngine must receive dsra_top_up_keur as runtime input,domain/distribution_account/,if dsra_balance < dsra_target: top_up = min(required-current, available)
senior_debt_outstanding_gate,r99_senior,R99 senior debt outstanding test not defined — cumulative_fcf vs senior_outstanding check TBD,FUTURE_WORK,Requires senior_debt_outstanding_keur from SeniorDebtEngine; gate definition TBD,domain/distribution_account/,Future R99 gate condition; not in current compute_tuho_r99_input_period()
shl_balance_gate,shl,R102 shl_balance_zero test: if shl_balance<=0, sweep=0 — already implicit in shl_required_cash=0 case,FUTURE_WORK,Already implicit; needs explicit gate result in DistributionAccount result,domain/distribution_account/,R102 gate: shl_balance_keur <= 0 → r102_gate_passed=False
equity_distribution_routing_gate,equity,R99 gate passes but no equity_distribution_keur field exists in WaterfallResult — no router to SponsorEngine,BLOCKED,DistributionAccount class must produce equity_distribution_keur output; SponsorEngine must consume it,domain/distribution_account/,equity_distribution_keur is NEW field — not yet in WaterfallResult
circular_dependency_gate,circular,circular dependency R99→DSCR→debt_sizing→FCF→R99 not analyzed — convergence not proven,BLOCKED,Circular dependency analysis must prove convergence; proposed mitigation: distributions subordinate to DSCR maintenance,domain/waterfall/,Proposed mitigation: DSCR gate applied BEFORE distribution; debt sizing uses sizing_cfads (independent); no within-period feedback
default_off_flag_gate,flag,enable_r99_r102_runtime flag not yet added to ProjectInfo or DistributionAccountConfig,BLOCKED,ProjectInfo must include enable_r99_r102_runtime=False default; G2 explicit approval required before True,domain/inputs.py,enable_r99_r102_runtime=False default required; True requires G2 sign-off per Phase 8 G2 rule
shl_required_cash_input_gate,shl,R102 requires shl_required_cash_keur from ShlEngine output — not yet wired as input to DistributionAccount,BLOCKED,ShlEngine must expose shl_required_cash_keur; DistributionAccount must receive it as input,domain/shl/,shl_required_cash_keur = cash_interest + pik + principal (gross SHL cash requirement per period)
distribution_account_balance_gate,balance,closing_distribution_account_balance_keur not tracked — no opening/closing balance field in WaterfallPeriod,BLOCKED,DistributionAccount must track opening/closing balance; closing must not go negative,domain/distribution_account/,opening + residual - sweep - dsra_topup = closing; negative closing = guard violation
r99_excel_validation_gate,validation,r99_fcf_for_distribution_keur audit values not yet validated against TUHO Excel fixtures,FUTURE_WORK,Phase 7F TUHO Excel fixture validation required before runtime promotion,domain/distribution_account/,compute_tuho_r99_input_period() must match TUHO!DS!R19 R99 values exactly
r102_excel_validation_gate,validation,r102_fcf_for_shl_keur audit values not yet validated against TUHO Excel fixtures,FUTURE_WORK,Phase 7F TUHO Excel fixture validation required before runtime promotion,domain/distribution_account/,compute_tuho_r99_input_period() must match TUHO!DS!R102 R102 values exactly
audit_export_gate,audit,DistributionAuditRow exists but no CSV export pipeline for DistributionAccount-specific fields,BLOCKED,reports/phase9_distribution_account_audit.csv export pipeline required,FUTURE_WORK,Existing audit.py provides DistributionAuditRow; needs export to CSV
g2_approval_gate,governance,G2 explicit approval not yet received — no sign-off on DSCR impact or circular dependency containment,FUTURE_WORK,Phase 8 G2 rule: explicit approval required before enable_r99_r102_runtime=True,docs/,G2 approval gate: DSCR impact analysis + circular dependency proof + sign-off
cross_module_validation_gate,validation,cross-module validation matrix must be re-run with DistributionAccount runtime active,BLOCKED,Full Phase 8-style cross-module matrix must pass with enable_r99_r102_runtime=True,FUTURE_WORK,Phase 8 PR #117 passed 0.00 drift for existing combos; DistributionAccount adds new combos to validate
